Anilla,NombreEspecie,E,S,G,Ala,Peso,Tarso,Dia,Mes ,Año,Hora C,Hora F,Ancho tarso,Cola,Pico,Lugar,Municipio,Provincia,Anillador,Observaciones
230056,Riparia riparia,4,0,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230081,Riparia riparia,4,1,1,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230088,Riparia riparia,4,1,3,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230095,Riparia riparia,4,2,3,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
188649,Hirundo rustica,6,2,3,121,20.5,,26,6,1988,11,12,,,,Cortijo La Atalaya,Puebla del Rio,Sevilla,Manuel Vazquez,
188865,Hirundo rustica,5,1,3,,,,12,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
188889,Hirundo rustica,5,1,3,,,,26,3,1988,16,17,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191639,Hirundo rustica,4,2,3,,,,12,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191642,Hirundo rustica,4,0,3,,,,5,3,1988,17,18,,107,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191645,Hirundo rustica,4,2,4,,,,6,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191646,Hirundo rustica,4,0,3,,,,12,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191646,Hirundo rustica,4,1,2,,,,19,3,1988,15,16,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191657,Hirundo rustica,4,2,2,,,,6,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191657,Hirundo rustica,4,2,2,,,,12,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191659,Hirundo rustica,4,2,4,,,,6,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191662,Hirundo rustica,4,2,4,,,,13,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191662,Hirundo rustica,4,2,,,,,16,4,1988,,,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,Muerta en nido
191664,Hirundo rustica,4,2,3,,,,6,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191664,Hirundo rustica,4,2,3,,,,2,4,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191648,Hirundo rustica,4,0,3,,,,5,3,1988,17,18,,103,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191648,Hirundo rustica,4,0,3,,,,6,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191648,Hirundo rustica,4,0,4,,,,26,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191665,Hirundo rustica,4,0,3,,,,6,3,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191665,Hirundo rustica,4,0,3,,,,2,4,1988,18,19,,106,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191666,Hirundo rustica,4,0,3,,,,6,3,1988,17,18,,84,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191679,Hirundo rustica,4,2,3,,,,19,3,1988,15,16,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191682,Hirundo rustica,4,1,3,,,,19,3,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191683,Hirundo rustica,4,2,3,,,,19,3,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
230680,Hirundo rustica,4,0,0,121,19.3,,26,6,1988,11,12,,,,Cortijo La Atalaya,Puebla del Rio,Sevilla,Manuel Vazquez,
2168411,Anthus pratensis,2,0,,,,,12,3,1988,,,,,,Fuentes,Puebla del Rio,Sevilla,Manuel Vazquez,Cazada por gavilan
2168825,Anthus pratensis,4,0,4,,,,26,3,1989,19,20,,,,La Estrella,Palomares del Rio,Sevilla,Manuel Vazquez,
2223679,Motacilla alba,5,2,3,88,22.5,,3,2,1989,18,19,,,,C/ Sanchez Arjona,Sevilla,Sevilla,Manuel Vazquez,
7044881,Anas platyrhynchos,3,2,,,,,25,9,1999,,,,,,Laguna del Gobierno,La Lantejuela,Sevilla,Manuel Vazquez,Encontrado muerto
7044864,Mivuls migrans,2,0,,,,,4,3,2000,,,,,,Los Montes,Puebla del Rio,Sevilla,Alfonso Romero,Encontrado solo anilla
4003534,Falco naumanni,2,0,,,,,16,6,1991,,,,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto
4003539,Falco naumanni,1,0,,,,,23,6,1991,,,,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto
4003540,Falco naumanni,1,0,,,,,23,6,1991,,,,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto
4003541,Falco naumanni,1,0,,,,,23,6,1991,,,,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto
4003544,Falco naumanni,1,0,,,,,23,6,1991,,,,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto
4003551,Falco naumanni,1,0,,,,,30,6,1991,,,,,,Villar de las Culebras,Osuna,Sevilla,Manuel Vazquez,Encontrado muerto
5010269,Falco tinnunculus,1,0,,,,,21,7,1991,,,,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto
7009760,Fulica atra,1,0,,,,,30,6,1990,,,,,,Laguna Escalera,El Rubio,Sevilla,Manuel Vazquez,Atropellado
T027808,Cahradrius alexandrinus,4,0,,,,,1,10,2000,,,,,,Laguna del Gobierno,La Lantejuela,Sevilla,Manuel Vazquez,Encontrado muerto
4003661,Coracias garrulus,1,0,,,,,13,7,1991,,,,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto
7045436,Asio otus,1,0,,,,,25,7,2000,,,,,,Pino Dorado,Puebla del Rio,Sevilla,Alfonso Romero,Encontrado muerto
3090235,Upupa epops,3,0,,,,,5,9,1994,,,,,,Manecorro,Almonte,Huelva,JL Arroyo,
T007755,Caildris ferruginea,4,0,,,,,6,5,1998,,,,,,Marismas del Odiel,Huelva,Huelva,JL Arroyo,
4048368,Tringa totanus,4,0,,,,,24,9,1998,,,,,,Marismas del Odiel,Huelva,Huelva,JL Arroyo,
9015558,Ciconia ciconia,2,0,,,,,12,6,1994,,,,,,Dehesa de Abajo,Puebla del Rio,Sevilla,Manuel Vazquez,Encontrado solo anilla
9004110,Ciconia ciconia,4,0,,,,,12,6,1994,,,,,,Dehesa de Abajo,Puebla del Rio,Sevilla,Manuel Vazquez,Encontrado solo anilla
3037708,Cyanopica cyana,4,0,,,,,3,3,1991,,,,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,
3037708,Cyanopica cyana,4,0,2,127,67,,18,3,1991,,,,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,
3037708,Cyanopica cyana,4,0,1,,,,7,4,1991,,,,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,
3037709,Cyanopica cyana,4,0,,,,,20,2,1991,,,,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,
3037709,Cyanopica cyana,4,0,,,,,16,3,1991,,,,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,
3037709,Cyanopica cyana,4,0,,,,,17,3,1991,,,,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,
3037710,Cyanopica cyana,4,0,0,,75,,6,4,1991,,,,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,
3037711,Cyanopica cyana,4,0,0,,,,3,3,1991,,,,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,
3037114,Cyanopica cyana,4,0,,,,,3,3,1991,,,,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,
3037114,Cyanopica cyana,4,0,0,,77.5,,7,4,1991,,,,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,
176655,Cettia cetti,4,2,0,,,,21,6,1987,,,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
176664,Cettia cetti,3,0,0,,,,5,7,1987,,,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
191389,Cettia cetti,4,2,1,,,,11,3,1988,,,,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,
191400,Cettia cetti,4,1,2,,,,11,3,1988,,,,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,
230331,Cettia cetti,3,2,3,57,10.5,,14,12,1988,,,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
231629,Cettia cetti,3,2,4,57,11,,17,11,1988,,,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
231630,Cettia cetti,2,2,4,55.5,,,29,12,1988,,,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
231698,Cettia cetti,4,1,1,,,,20,4,1988,,,,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,
231665,Cettia cetti,4,2,3,,,,11,3,1988,,,,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,
309697,Cettia cetti,4,1,3,63,13,,3,11,1990,,,,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,
268253,Cisticola juncidis,3,0,4,47,9,,12,11,1988,,,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
268255,Cisticola juncidis,3,0,4,46,7.5,,12,11,1988,,,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
268287,Cisticola juncidis,3,0,4,48,8,,12,11,1988,,,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
271225,Cisticola juncidis,3,0,4,50,8.5,,12,11,1988,,,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
271403,Cisticola juncidis,3,0,5,52,9.5,,12,11,1988,,,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
271414,Cisticola juncidis,3,0,4,50,8,,12,11,1988,,,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
271428,Cisticola juncidis,3,0,3,52,805,,12,11,1988,,,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
271430,Cisticola juncidis,3,0,4,48,8,,12,11,1988,,,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
2223884,Lanius senator,4,2,,,,,20,7,1989,,,,,,Valcaliente,Constantina,Sevilla,Manuel Vazquez,Ahogado en alberca
191453,Acrocephalus scirpaceus,4,0,0,65.5,11,,14,5,1988,7,9,,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,
309767,Acrocephalus scirpaceus,4,0,1,61,,,15,8,1990,8,9,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
309906,Acrocephalus scirpaceus,2,0,1,,,,22,7,1990,8,9,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
2168534,Acrocephalus arundinaceus,4,2,0,91,32.2,,14,5,1988,7,8,,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,
2255177,Acrocephalus arundinaceus,4,1,0,95,,,13,6,1990,9,10,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
2255195,Acrocephalus arundinaceus,4,2,1,,,,22,7,1990,9,10,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
2255197,Acrocephalus arundinaceus,4,0,2,,,,7,7,1990,19,20,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
2258410,Acrocephalus arundinaceus,4,2,1,,,,22,7,1990,9,10,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
176742,Hippolais pallida,3,0,1,,,,2,8,1987,6,7,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
176744,Hippolais pallida,4,2,0,,,,2,8,1987,10,11,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
191481,Hippolais pallida,4,1,0,,,,21,7,1988,8,9,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
2226034,Sylvia borin,2,0,3,,22,,17,9,1990,12,13,,,,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,
2169107,Sylvia atricapilla,6,1,3,,,,1,1,1988,,,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2169107,Sylvia atricapilla,6,1,3,,,,24,1,1988,,,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2195584,Sylvia atricapilla,5,2,0,,,,30,1,1988,9,10,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2195594,Sylvia atricapilla,3,1,0,,,,5,12,1987,10,11,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2195601,Sylvia atricapilla,5,1,1,,,,30,1,1988,9,10,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2220251,Sylvia atricapilla,4,1,3,,,,24,1,1988,16,17,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
271105,Sylvia atricapilla,4,2,5,,,,14,3,1989,16,17,,,,La Estrella,Palomares del Rio,Sevilla,Manuel Vazquez,
271120,Sylvia atricapilla,4,1,1,,,,4,3,1989,12,13,,,,La Estrella,Palomares del Rio,Sevilla,Manuel Vazquez,
2168425,Sylvia atricapilla,3,1,1,,,,20,12,1987,12,13,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2168425,Sylvia atricapilla,3,1,1,,,,21,12,1987,17,18,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2168425,Sylvia atricapilla,3,1,2,,,,25,12,1987,17,18,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2168436,Sylvia atricapilla,5,2,2,,,,30,1,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2168458,Sylvia atricapilla,5,2,2,,,,14,2,1988,9,10,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2168459,Sylvia atricapilla,5,2,3,,,,14,2,1988,10,11,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2168466,Sylvia atricapilla,5,2,2,,,,31,1,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2168484,Sylvia atricapilla,5,1,3,,,,14,2,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2169066,Sylvia atricapilla,2,2,1,,,,20,12,1987,10,11,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2169066,Sylvia atricapilla,4,2,2,,,,21,2,1988,15,16,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2169066,Sylvia atricapilla,4,2,3,,,,6,3,1988,14,15,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2169068,Sylvia atricapilla,2,2,2,,,,1,1,1988,17,18,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2169068,Sylvia atricapilla,4,2,4,,,,31,1,1988,17,18,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2169101,Sylvia atricapilla,3,1,2,,,,1,1,1988,17,18,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2169106,Sylvia atricapilla,5,1,4,,,,24,1,1988,17,18,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2169114,Sylvia atricapilla,4,1,3,,,,21,2,1988,16,17,,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
2169141,Sylvia atricapilla,6,2,3,,,,13,2,1988,18,19,,,,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,
2169143,Sylvia atricapilla,5,1,4,,,,13,2,1988,16,17,,,,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,
2169145,Sylvia atricapilla,5,2,3,,,,13,2,1988,18,19,,,,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,
2169147,Sylvia atricapilla,5,2,3,,,,13,2,1988,18,19,,,,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,
2169149,Sylvia atricapilla,5,2,2,,,,13,2,1988,18,19,,,,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,
2169783,Sylvia atricapilla,5,2,0,,,,30,1,1988,9,10,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2169790,Sylvia atricapilla,3,1,0,,,,5,12,1987,10,11,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2169792,Sylvia atricapilla,6,1,2,,,,30,1,1988,9,10,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2169851,Sylvia atricapilla,6,1,3,,,,12,2,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2169853,Sylvia atricapilla,6,2,5,,,,12,2,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2220885,Sylvia atricapilla,5,1,2,,,,14,2,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2255150,Sylvia atricapilla,4,1,3,74.5,19.5,,6,11,1990,16,17,,,,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,
2255263,Sylvia atricapilla,4,2,3,70,,,14,1,1990,19,20,,,,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,
2255272,Sylvia atricapilla,5,1,3,,,,24,3,1990,18,19,,,,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,
2286625,Sylvia atricapilla,4,2,0,70.5,17.5,,4,1,1990,12,13,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2286627,Sylvia atricapilla,4,2,1,75,19.5,,4,1,1990,11,12,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2286631,Sylvia atricapilla,4,2,0,73.5,17.5,,4,1,1990,9,10,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
2286634,Sylvia atricapilla,4,2,1,71.5,19.5,,4,1,1990,10,11,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
33854,Sylvia melanocephala,6,1,0,,,,30,1,1988,9,10,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191314,Sylvia melanocephala,6,1,2,,,,12,2,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191364,Sylvia melanocephala,5,1,3,,,,26,12,1988,12,13,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
268004,Sylvia melanocephala,3,2,2,,,,30,10,1988,11,12,,,,Huerta La Libertad,Puebla del Rio,Sevilla,Manuel Vazquez,
309100,Sylvia melanocephala,6,1,5,,,,10,2,1990,18,19,,,,Valcaliente,Constantina,Sevilla,Manuel Vazquez,
309317,Sylvia melanocephala,4,1,0,58,,,29,7,1990,18,19,,,,Cantera del Duende,El Rubio,Sevilla,Manuel Vazquez,
309317,Sylvia melanocephala,4,1,1,58,,,9,9,1990,19,20,,,,Cantera del Duende,El Rubio,Sevilla,Manuel Vazquez,
4003522,Pica pica,4,0,,,,,17,11,1992,,,,,,El Acebuche,Almonte,Huelva,Hector Garrido,
4003522,Pica pica,4,0,,,,,19,10,1993,,,,,,El Acebuche,Almonte,Huelva,Hector Garrido,
2223884,Lanius senator,2,0,,,,,20,7,1989,,,,,,Valcaliente,Constantina,Sevilla,Manuel Vazquez,Ahogado en alberca
191310,Phylloscopus collybita,4,0,1,56,,,12,2,1988,18,19,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191317,Phylloscopus collybita,4,0,4,54,,,12,2,1988,17,18,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191348,Phylloscopus collybita,4,0,3,,,,19,1,1988,18,19,,,,Vuelta Cojo,Puebla del Rio,Sevilla,Manuel Vazquez,
191382,Phylloscopus collybita,4,0,2,51,,,11,3,1988,16,17,,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,
191395,Phylloscopus collybita,4,0,4,54,,,11,3,1988,18,19,,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,
191410,Phylloscopus collybita,4,0,2,,,,31,1,1988,17,18,,,,Dehesa Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
191428,Phylloscopus collybita,4,0,1,57,,,13,2,1988,18,19,,,,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,
191430,Phylloscopus collybita,4,0,1,57,,,13,2,1988,18,19,,,,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,
191617,Phylloscopus collybita,4,0,3,,,,31,8,1988,17,18,,,,Dehesa Carchena,Coria del Rio,Sevilla,Manuel Vazquez,
