MODO;METAL;ESPECIE;DIA ;MES ;AÑO;LUGAR;MUNICIPIO ;PROVINCIA;EDAD;SEXO;ANILLADOR;Grasa;Ala;peso;tarso;pico;cola;Hora;Dias;Kms;Observaciones
C;7059054;Anas platyrhynchos;9;6;2006;Alcolea del Rio;Alcolea del Rio;Sevilla;A;0;M.Vazquez;;;;;;;;2464;238;Cazada escopeta
A;7060401;Anas platyrhynchos;7;10;2002;Laguna del Gobierno;Lantejuela;Sevilla;4;1;M.Vazquez;;;;;;;;;;Anillamiento
C;7060401;Anas platyrhynchos;15;1;2003;Marchena;Marchena;Sevilla;6;1;Particular;;;;;;;;100;12;Encontrado muerto
A;9045353;Ardea cinerea;23;5;2006;Zalamea La Real;Zalamea La Real;Huelva;1;0;R. Olivares;;;;;;;;;;Anillamiento
C;9045353;Ardea cinerea;29;8;2006;Moguer;Moguer;Huelva;3;0;M.Vazquez;;;;;;;;98;50;Encontrado muerto
A;SE10612;Ardea purpurea;21;6;1968;Las Nuevas PND;Doñana;Huelva;1;0;M.Vazquez;;;;;;;;;;Anillamiento
C;SE10612;Ardea purpurea;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Particular;;;;;;;;;;Cazada escopeta solo anilla
A;6067827;Bubulcus ibis;2;7;1993;Casa Torres;Zorita;Caceres;1;0;Catedra de Vertebrados;;;;;;;;;;Anillamiento
C;6067827;Bubulcus ibis;15;2;1999;Moralejo;Estepa;Sevilla;A;0;M.Vazquez;;;;;;;;2054;233;Encontrado muerto
A;F10080;Bubulcus ibis;20;6;1974;Campanario;Campanario;Badajoz;1;0;Museo Ciencias;;;;;;;;;;Anillamiento
C;F10080;Bubulcus ibis;1;1;1994;Aracena;Aracena;Huelva;A;0;Cazador;;;;;;;;7129;135;Cazada escopeta solo anilla
A;9025091;Ciconia ciconia;21;7;2006;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;0;P.Rodriguez;;;;;;;;;;Anillamiento
C;9025091;Ciconia ciconia;15;1;2007;Chliclana de la Frontera;Chliclana de la Frontera;Cadiz;5;0;M.Vazquez;;;;;;;;187;82;Colision con tendido electrico
A;9026345;Ciconia ciconia;10;6;1999;Dehesa Boyal de Pilas;Aznalcazar;Sevilla;1;0;M.Vazquez;;;;;;;;;;Anillamiento
C;9026345;Ciconia ciconia;5;12;2005;Basurero Miramundo;Medina Sidonia;Cadiz;A;0;Particular;;;;;;;;2370;48;Anilla leida telescopio
A;G018537;Ciconia ciconia;30;5;1990;Jerez de la Frontera;Jerez de la Frontera;Cadiz;1;0;O. del Junco;;;;;;;;;;Anillamiento
C;G018537;Ciconia ciconia;15;5;1993;Basurero;Dos Hermanas;Sevilla;9;0;M.Vazquez;;;;;;;;1081;71;Encontrado muerto
A;6015685;Egretta garcetta;28;7;1986;Puebla del Rio;Puebla del Rio;Sevilla;1;0;Vilches;;;;;;;;;;Anillamiento
C;6015685;Egretta garcetta;9;6;1987;Pinzon;Utrera;Sevilla;3;0;Particular;;;;;;;;;;Envenenada
A;6022851;Egretta garcetta;3;10;1990;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;0;P.Rodriguez;;;;;;;;;;Anillamiento
C;6022851;Egretta garcetta;11;12;1992;Almodovar del Rio;Almodovar del Rio;Cordoba;2;0;Particular;;;;;;;;800;110;Encontrado muerto
A;6040616;Egretta garcetta;17;7;1988;Corta de la Isleta;Puebla del Rio;Sevilla;1;0;Catedra de Vertebrados;;;;;;;;;;Anillamiento
C;6040616;Egretta garcetta;2;11;1988;Lebrija;Lebrija;Sevilla;3;0;M.Vazquez;;;;;;;;105;40;Cazada escopeta
A;6050205;Egretta garcetta;7;7;1989;Corta de la Isleta;Puebla del Rio;Sevilla;1;0;Catedra de Vertebrados;;;;;;;;;;Anillamiento
C;6050205;Egretta garcetta;15;12;1989;Lebrija;Lebrija;Sevilla;3;0;M.Vazquez;;;;;;;;158;49;Cazada escopeta
A;DE08298;Egretta garcetta;22;7;1971;La Rocina PND;El Rocio;Huelva;1;0;EBD;;;;;;;;;;Anillamiento
C;DE08298;Egretta garcetta;1;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;M.Vazquez;;;;;;;;;;Cazada escopeta solo anilla
A;5080412;Falco tinnunculus;6;2;2004;La Fao PND;Aznalcazar;Sevilla;5;1;JL del Valle;;;;;;;;;;Anillamiento
C;5080412;Falco tinnunculus;23;1;2007;Caracoles;Aznalcazar;Sevilla;6;2;M.Vazquez;;;;;;;11-dic;1082;2;control
A;5080459;Falco tinnunculus;20;12;2004;La Fao PND;Aznalcazar;Sevilla;5;1;JL del Valle;;;;;;;;;;Anillamiento
C;5080459;Falco tinnunculus;23;1;2007;Caracoles;Aznalcazar;Sevilla;6;1;M.Vazquez;;;;;;;11-dic;764;2;control
A;1006016;Phoenicopterus ruber;15;8;1998;Laguna de Fuente de Piedra;Funtedepiedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;1006016;Phoenicopterus ruber;15;12;2002;El Puerto de Santa Maria;El Puerto de Santa Maria;Cadiz;A;0;EBD;;;;;;;;1583;142;Colision con tendido electrico
A;9001910;Phoenicopterus ruber;17;6;1987;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;9001910;Phoenicopterus ruber;15;7;1987;Las Nuevas PND;Doñana;Huelva;3;0;Particular;;;;;;;;;;Cazada escopeta
A;9002447;Phoenicopterus ruber;17;6;1987;Laguna de Fuente de Piedra;Funtedepiedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;9002447;Phoenicopterus ruber;1;12;2000;Bonanza;Sanlucar de Barrameda;Cadiz;A;0;M.Vazquez;;;;;;;;4916;147;Cazada escopeta
