MODO;METAL;ESPECIE;DIA ;MES ;AÑO;LUGAR;MUNICIPIO ;PROVINCIA;EDAD;SEXO;ANILLADOR;Grasa;Ala;peso;tarso;pico;cola;Hora;Dias;Kms;Observaciones
C;7009036;Netta rufina;27;11;1988;Cantaritas;Puebla del Rio;Sevilla;2;0;Cazador;;;;;;;;1288;15;Cazada escopeta
A;7060100;Netta rufina;1;12;2001;Cañada de los Pajaros;Puebla del Rio;Sevilla;4;2;CDP;;;;;;;;;;Anillamiento
C;7060100;Netta rufina;25;10;2006;Embalse de Alanje;Alanje;Badajoz;A;0;Particular;;;;;;;;1789;180;Encontrado muerto
A;7064223;Aythya ferina;16;7;2002;Caño Cardales PND;Aznalcazar;Sevilla;3;2;F. Ibañez;;;;;;;;;;Anillamiento
C;7064223;Aythya ferina;5;5;2005;Trebujena;Trebujena;Cadiz;A;0;M. Vazquez;;;;;;;;1024;24;Cazada escopeta
A;7021727;Netta rufina;30;7;1988;Caño Travieso PND;Aznalcazar;Sevilla;1;1;A. Herrera;;;;;;;;;;Anillamiento
C;7021727;Netta rufina;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;5;0;Cazador;;;;;;;;;;Cazada escopeta
A;7014268;Aythya ferina;10;7;1986;Los Cardales PND;Hinojos;Huelva;1;2;I. Fernandez;;;;;;;;;;Anillamiento
C;7014268;Aythya ferina;15;3;1987;Isla Minima;Puebla del Rio;Sevilla;5;0;LEO BIAGGI;;;;;;;;;;Colision con tendido electrico
A;7031226;Aythya ferina;25;8;1988;PN Doñana;Almonte;Huelva;3;0;PND;;;;;;;;;;Anillamiento
C;7031226;Aythya ferina;13;8;1989;Lucio Las Gavetas;Puebla del Rio;Sevilla;5;0;LEO BIAGGI;;;;;;;;;;Encontrado muerto
A;C6543;Gyps fulvus;28;7;1995;Alberuela de la Liena;Alberuela de la Liena;Huesca;3;0;GO Oscense;;;;;;;;;;Anillamiento
C;C6543;Gyps fulvus;23;9;1995;Basurero de Ayerbe;Ayerbe;Huesca;3;0;FJ Ramos;;;;;;;;57;55;Envenenado
A;C7452;Gyps fulvus;4;10;1994;CREA Guadalajara;Sigüenza;Guadalajara;3;2;CREA;;;;;;;;;;Anillamiento
C;C7452;Gyps fulvus;29;10;1994;El Arahal;El Arahal;Sevilla;3;0;Zamalla;;;;;;;;25;492;Encontrado exahusto y liberado en buen estado
A;1100036;Gyps fulvus;13;12;1986;El Chorro;Ardales;Malaga;3;0;G Malaca;;;;;;;;;;Anillamiento
C;1100036;Gyps fulvus;5;2;1987;El Arahal;El Arahal;Sevilla;5;0;Zamalla;;;;;;;;54;75;Cazada escopeta
A;1101866;Gyps fulvus;9;5;1998;Valdevacas;Montejo;Segovia;1;0;G. Doval;;;;;;;;;;Anillamiento
C;1101866;Gyps fulvus;13;7;1998;Constantina;Constantina;Sevilla;3;0;Zamalla;;;;;;;;66;375;Encontrado exahusto y liberado en buen estado
A;1103443;Gyps fulvus;19;1;2007;Cazorla;Cazorla;Jaen;5;0;M. Vazquez;;;;;;;;;;Anillamiento
C;1103443;Gyps fulvus;10;9;2008;Finca El Torilejo;Almodovar del Campo;Ciudad Real;7;0;CREA;;;;;;;;601;140;Encontrado muerto
A;8000198;Hieraetus pennatus;8;6;1985;Hato Raton;Aznalcazar;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;8000198;Hieraetus pennatus;4;9;1987;La Pañoleta;Camas;Sevilla;7;0;LEO BIAGGI;;;;;;;;;;Encontrado exahusto y liberado en buen estado
A;8005926;Hieraetus pennatus;8;7;2004;Cabezo de Torres;Murcia;Murcia;1;0;ANSE;;;;;;;;;;Anillamiento
C;8005926;Hieraetus pennatus;18;1;2005;Ojuelos;Marchena;Sevilla;5;0;Zamalla;;;;;;;;194;380;Encontrado muerto
A;7044621;Buteo buteo;22;5;1999;Casilla Jona;Osuna;Sevilla;1;0;Zamalla;;;;;;;;;;Anillamiento
C;7044621;Buteo buteo;1;2;2000;Cazalilla;Cazalilla;Jaen;5;0;Particular;;;;;;;;255;136;Encontrado muerto
A;8002149;Buteo buteo;30;3;1993;Dehesa de Abajo;Puebla del Rio;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;8002149;Buteo buteo;12;4;1996;Finca Santa Teresa;Osuna;Sevilla;9;0;E. Gomez;;;;;;;;;;Encontrado muerto
A;7009784;Milvus migrans;9;6;1991;CREA Porzuna;Mairena del Aljarafe;Sevilla;4;0;M. Vazquez;;;;;;;;;;Anillamiento
C;7009784;Milvus migrans;12;7;1991;Sevilla;Sevilla;Sevilla;4;0;AMA;;;;;;;;33;9;Encontrado muerto
A;7035905;Milvus migrans;24;5;1996;RB Doñana;Almonte;Huelva;1;0;Vilches;;;;;;;;;;Anillamiento
C;7035905;Milvus migrans;22;7;2005;Trebujena;Trebujena;Cadiz;A;0;M. Vazquez;;;;;;;;3346;24;Envenenado
A;5001284;Circus pygargus;8;7;1994;Almonte;Almonte;Huelva;3;1;LEO BIAGGI;;;;;;;;;;Anillamiento
C;5001284;Circus pygargus;20;9;1994;Ribatejada;Ribatejada;Madrid;3;0;Particular;;;;;;;;74;463;Encontrado muerto
A;5010924;Circus pygargus;4;6;1997;Oilvares;Oilvares;Sevilla;1;1;P. Parreño;;;;;;;;;;Anillamiento
C;5010924;Circus pygargus;18;6;2000;Escacena del Campo;Escacena del Campo;Huelva;9;0;G. Alcarallon;;;;;;;;1054;23;Atropellado
A;5012981;Circus pygargus;13;6;1997;Bonares;Bonares;Huelva;8;1;EBD;;;;;;;;;;Anillamiento
C;5012981;Circus pygargus;15;5;1998;Niebla;Niebla;Huelva;A;0;G. Alcarallon;;;;;;;;336;5;Atropellado
A;5056965;Circus pygargus;9;6;2002;Gerena;Gerena;Sevilla;1;1;EBD;;;;;;;;;;Anillamiento
C;5056965;Circus pygargus;30;4;2003;Carmona;Carmona;Sevilla;5;1;M. Vazquez;;;;;;;;325;50;Atropellado
A;6022181;Circus pygargus;21;6;1996;Villarasa;Villarasa;Huelva;1;2;G Larus;;;;;;;;;;Anillamiento
C;6022181;Circus pygargus;5;8;1996;Laguna de Ruiz Sanchez;Ecija;Sevilla;3;2;Zamalla;;;;;;;;46;134;Encontrado muerto
A;8000273;Falco peregrinus;28;4;1994;PN Doñana;Almonte;Huelva;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;8000273;Falco peregrinus;20;1;1995;Jerez de la Frontera;Jerez de la Frontera;Cadiz;5;0;Zamalla;;;;;;;;;;Encontrado herido y no liberado
A;4003502;Falco naumanni;2;8;1990;Tarifa;Tarifa;Cadiz;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;4003502;Falco naumanni;9;11;1990;Algeciras;Algeciras;Cadiz;3;0;Particular;;;;;;;;97;18;Encontrado herido y no liberado
A;4003533;Falco naumanni;7;6;1991;Porzuna;Mairena del Aljarafe;Sevilla;4;1;M. Vazquez;;;;;;;;;;Anillamiento
C;4003533;Falco naumanni;12;7;1991;Sevilla;Sevilla;Sevilla;4;1;Particular;;;;;;;;35;9;Encontrado herido y no liberado
A;4021992;Falco naumanni;6;6;1989;Mairena del Alcor;Mairena del Alcor;Sevilla;4;0;J. Negro;;;;;;;;;;Anillamiento
C;4021992;Falco naumanni;24;5;1992;La Lantejuela;La Lantejuela;Sevilla;A;0;Otis Tarda;;;;;;;;;;Encontrado herido y no liberado
A;4031765;Falco naumanni;24;4;1992;El Arahal;El Arahal;Sevilla;4;2;EBD;;;;;;;;;;Anillamiento
C;4031765;Falco naumanni;7;12;1993;Osuna;Osuna;Sevilla;6;2;Particular;;;;;;;;592;40;Colision con tendido electrico
A;4032193;Falco naumanni;31;7;1996;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;1;CDP;;;;;;;;;;Anillamiento
C;4032193;Falco naumanni;5;3;2005;Cordoba;Cordoba;Cordoba;A;1;CREA;;;;;;;;3139;153;Encontrado muerto
A;4032457;Falco naumanni;25;6;1992;Mairena del Alcor;Mairena del Alcor;Sevilla;4;1;EBD;;;;;;;;;;Anillamiento
C;4032457;Falco naumanni;1;3;1996;La Ruana;Alcala de Guadaira;Sevilla;A;1;EBD;;;;;;;;1331;10;Encontrado muerto
A;4041086;Falco naumanni;18;7;1993;Cortijo La Verea;Ecija ;Sevilla;1;1;E. Gomez;;;;;;;;;;Anillamiento
C;4041086;Falco naumanni;3;4;1995;Castillo de la Luna;Alcala de Guadaira;Sevilla;7;1;M. De la Riva;;;;;;;;;;control
C;4041086;Falco naumanni;7;6;1996;Hacienda Soledad;Alcala de Guadaira;Sevilla;9;1;M. De la Riva;;;;;;;;;;control
A;4055169;Falco naumanni;1;7;1996;Carmona;Carmona;Sevilla;1;0;M. De la Riva;;;;;;;;;;Anillamiento
C;4055169;Falco naumanni;15;5;1998;Alcala de Guadaira;Alcala de Guadaira;Sevilla;7;0;Zamalla;;;;;;;;684;24;Encontrado muerto
A;4085046;Falco naumanni;20;6;1999;Iglesia de San Miguel;Moron de la Frontera;Sevilla;1;2;EBD;;;;;;;;;;Anillamiento
C;4085046;Falco naumanni;23;7;1999;El Arahal;El Arahal;Sevilla;3;2;Particular;;;;;;;;34;18;Encontrado herido y no liberado
A;5029067;Falco naumanni;3;8;1995;Alcañiz;Alcañiz;Teruel;3;0;JM Gonzalez;;;;;;;;;;Anillamiento
C;5029067;Falco naumanni;17;8;1995;Huesca;Huesca;Huesca;3;0;Zamalla;;;;;;;;14;122;Encontrado herido y no liberado
A;5006591;Falco tinnunculus;30;6;1990;Gerena;Gerena;Sevilla;1;0;P. Parreño;;;;;;;;;;Anillamiento
C;5006591;Falco tinnunculus;31;12;1990;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;185;33;Atropellado
A;5007066;Falco tinnunculus;22;6;1991;El Caracol;Carmona;Sevilla;1;0;J. Negro;;;;;;;;;;Anillamiento
C;5007066;Falco tinnunculus;15;6;1992;Dos Hermanas;Dos Hermanas;Sevilla;5;0;Zamalla;;;;;;;;359;37;Encontrado muerto
A;5007690;Falco tinnunculus;26;6;1994;Ecija;Ecija;Sevilla;1;0;Zamalla;;;;;;;;;;Anillamiento
C;5007690;Falco tinnunculus;13;1;1995;La Carlota;La Carlota;Cordoba;5;0;Particular;;;;;;;;201;18;Atropellado
A;5007904;Falco tinnunculus;7;6;1991;Porzuna;Mairena del Aljarafe;Sevilla;4;2;M. Vazquez;;;;;;;;;;Anillamiento
C;5007904;Falco tinnunculus;12;7;1991;Sevilla;Sevilla;Sevilla;4;2;Particular;;;;;;;;35;9;Encontrado herido y  liberado
A;5007905;Falco tinnunculus;7;6;1991;Porzuna;Mairena del Aljarafe;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;5007905;Falco tinnunculus;12;7;1991;Sevilla;Sevilla;Sevilla;3;0;Particular;;;;;;;;35;9;Encontrado herido y  liberado
A;5010415;Falco tinnunculus;27;5;1993;Osuna;Osuna;Sevilla;1;0;Zamalla;;;;;;;;;;Anillamiento
C;5010415;Falco tinnunculus;10;9;1993;Sevilla;Sevilla;Sevilla;3;0;Particular;;;;;;;;106;80;Encontrado herido y  liberado
A;5010519;Falco tinnunculus;28;5;1993;El Rubio;El Rubio;Sevilla;1;0;Zamalla;;;;;;;;;;Anillamiento
C;5010519;Falco tinnunculus;25;6;1993;Sevilla;Sevilla;Sevilla;3;0;AMA;;;;;;;;;;control
A;5012671;Falco tinnunculus;23;5;1998;Marinaleda;Marinaleda;Sevilla;1;2;Zamalla;;;;;;;;;;Anillamiento
C;5012671;Falco tinnunculus;8;1;2004;Castuera;Castuera;Badajoz;A;0;Ciconia;;;;;;;;2056;165;Atropellado
A;5013455;Falco tinnunculus;13;6;1996;Los Picaso;Ecija;Sevilla;1;0;Zamalla;;;;;;;;;;Anillamiento
C;5013455;Falco tinnunculus;15;4;1998;Ribera baja;Puente Genil;Cordoba;7;0;Particular;;;;;;;;671;31;Encontrado herido y  liberado
A;5067532;Falco tinnunculus;31;7;2000;Olivares;Olivares;Sevilla;3;2;SEO Sevilla;;;;;;;;;;Anillamiento
C;5067532;Falco tinnunculus;16;8;2000;San Juan de Aznalfarache;San Juan de Aznalfarache;Sevilla;3;2;M. Vazquez;;;;;;;;16;13;control
A;5080030;Falco tinnunculus;20;3;2004;Brazo del Este;Puebla del Rio;Sevilla;6;2;M. Vazquez;;;;;;;;;;Anillamiento
C;5080030;Falco tinnunculus;16;1;2005;Dos Hermanas;Dos Hermanas;Sevilla;2;0;CREA;;;;;;;;302;24;Encontrado herido y  liberado, disparo
A;5087906;Falco tinnunculus;12;7;2004;Villaviciosa de Odon;Villaviciosa de Odon;Madrid;3;0;Halcyon;;;;;;;;;;Anillamiento
C;5087906;Falco tinnunculus;1;10;2005;Cantillana;Cantillana;Sevilla;5;0;M. Vazquez;;;;;;;;446;344;control
A;5103435;Falco tinnunculus;29;10;2006;El Cochinato PND;Almonte;Huelva;3;2;JL. Valle;;;;;;;;;;Anillamiento
C;5103435;Falco tinnunculus;9;1;2007;Aznalcazar;Aznalcazar;Sevilla;5;2;M. Vazquez;;;;;;;;293;18;control
A;5013463;Falco tinnunculus;21;11;2006;El Cochinato PND;Almonte;Huelva;5;2;JL. Valle;;;;;;;;;;Anillamiento
C;5013463;Falco tinnunculus;1;12;2006;Aznalcazar;Aznalcazar;Sevilla;5;2;M. Vazquez;;;;;;;;10;18;control
A;7021706;Porphyrio porphyrio;28;7;1988;Caño Travieso PND;Aznalcazar;Sevilla;1;0;A. Herrera;;;;;;;;;;Anillamiento
C;7021706;Porphyrio porphyrio;15;12;1988;Isla Mayor;Isla Mayor;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;7022054;Porphyrio porphyrio;21;7;1988;Caño Travieso PND;Aznalcazar;Sevilla;1;0;A. Herrera;;;;;;;;;;Anillamiento
C;7022054;Porphyrio porphyrio;10;11;1988;Veta La Palma;Puebla del Rio;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;7040792;Porphyrio porphyrio;29;8;1991;Laguna de Medina;Jerez de la Frontera;Cadiz;3;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;7040792;Porphyrio porphyrio;1;9;1991;Los Barrios;Los Barrios;Cadiz;3;0;Particular;;;;;;;;2;79;Atropellado
A;5001340;Gallinula chloropus;29;6;1987;PN Doñana;Almonte;Huelva;3;0;PND;;;;;;;;;;Anillamiento
C;5001340;Gallinula chloropus;15;12;1989;Isla Mayor;Isla Mayor;Sevilla;7;0;LEO BIAGGI;;;;;;;;896;33;Cazada escopeta
A;B00511;Fulica atra;20;6;1984;Aznalcazar;Aznalcazar;Sevilla;1;0;EBD;;;;;;;;;;Anillamiento
C;B00511;Fulica atra;15;1;1987;Salinas de Bonanza;Sanlucar de Barrameda;Cadiz;9;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;B09846;Fulica atra;25;6;1985;Las Nuevas PND;Aznalcazar;Sevilla;1;0;PND;;;;;;;;;;Anillamiento
C;B09846;Fulica atra;28;2;1987;Isla Mayor;Isla Mayor;Sevilla;7;0;LEO BIAGGI;;;;;;;;613;90;Cazada escopeta
A;DE11287;Fulica atra;27;5;1973;El Desierto PND;Hinojos;Huelva;1;0;M. Espinar;;;;;;;;;;Anillamiento
C;DE11287;Fulica atra;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta solo anilla
A;DE26518;Fulica atra;15;5;1984;Caño Travieso PND;Aznalcazar;Sevilla;4;0;A. Herrera;;;;;;;;;;Anillamiento
C;DE26518;Fulica atra;15;10;1986;Salinas de Bonanza;Sanlucar de Barrameda;Cadiz;4;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;SE17585;Fulica atra;2;6;1970;Lucio de Marilopez PND;Aznalcazar;Sevilla;1;0;EBD;;;;;;;;;;Anillamiento
C;SE17585;Fulica atra;1;1;1980;Antequera;Antequera;Malaga;A;0;M. Vazquez;;;;;;;;3500;153;Cazada escopeta solo anilla
A;7003177;Fulica atra;23;7;1985;Caño Cardales PND;Hinojos;Huelva;4;1;P. Clarita;;;;;;;;;;Anillamiento
C;7003177;Fulica atra;16;10;1986;Salinas de Bonanza;Sanlucar de Barrameda;Cadiz;6;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;7006854;Fulica atra;2;8;1986;Isla Mayor;Isla Mayor;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;7006854;Fulica atra;7;8;1988;Lucio de Cangrejo Chico;Aznalcazar;Sevilla;2;0;PND;;;;;;;;;;Encontrado muerto
A;7006879;Fulica atra;15;10;1986;Lucio del Bolin PND;Almonte;Huelva;4;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;7006879;Fulica atra;20;11;1986;Lucio de Cangrejo ;Aznalcazar;Sevilla;4;0;PND;;;;;;;;;;Encontrado muerto
A;7006937;Fulica atra;2;11;1989;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;7006937;Fulica atra;1;8;1994;San Roque;San Roque;Huelva;2;0;PND;;;;;;;;1733;131;Cazada escopeta
A;7007366;Fulica atra;15;6;1986;PN Doñana;Almonte;Huelva;1;0;PND;;;;;;;;;;Anillamiento
C;7007366;Fulica atra;15;9;1988;Puebla del Rio;Puebla del Rio;Sevilla;2;0;LEO BIAGGI;;;;;;;;890;49;Cazada escopeta
A;7007585;Fulica atra;15;6;1986;Las Nuevas PND;Aznalcazar;Sevilla;1;0;PND;;;;;;;;;;Anillamiento
C;7007585;Fulica atra;15;10;1986;Salinas de Bonanza;Sanlucar de Barrameda;Cadiz;3;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;7007684;Fulica atra;29;6;1986;Las Nuevas PND;Aznalcazar;Sevilla;1;0;PND;;;;;;;;;;Anillamiento
C;7007684;Fulica atra;15;7;1986;Compuerta del Cherri;Aznalcazar;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Encontrado muerto
A;7009010;Fulica atra;14;7;1985;Las Nuevas PND;Aznalcazar;Sevilla;1;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;7009010;Fulica atra;2;10;1985;Las Cabezas de San Juan;Las Cabezas de San Juan;Sevilla;3;0;Particular;;;;;;;;102;138;Cazada escopeta
A;7012623;Fulica atra;7;6;1986;Lucio de Marilopez PND;Aznalcazar;Sevilla;1;0;P. Clarita;;;;;;;;;;Anillamiento
C;7012623;Fulica atra;5;7;1987;Lucio de Cangrejo ;Aznalcazar;Sevilla;5;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;7014552;Fulica atra;6;6;1987;Lucio de Marilopez PND;Aznalcazar;Sevilla;1;0;P. Clarita;;;;;;;;;;Anillamiento
C;7014552;Fulica atra;15;11;1988;Puebla del Rio;Puebla del Rio;Sevilla;5;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;7015352;Fulica atra;15;7;1987;Caño Guadiamar PND;Aznalcazar;Sevilla;6;0;P. Clarita;;;;;;;;;;Anillamiento
C;7015352;Fulica atra;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;2;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;7017308;Fulica atra;1;7;1987;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;7017308;Fulica atra;5;7;1987;Lucio de Cangrejo ;Aznalcazar;Sevilla;3;0;PND;;;;;;;;;;Encontrado muerto
A;7021619;Fulica atra;14;7;1988;Lucio del Aro PND;Aznalcazar;Sevilla;1;0;A. Herrera;;;;;;;;;;Anillamiento
C;7021619;Fulica atra;15;12;1988;Isla Mayor;Isla Mayor;Sevilla;3;0;Particular;;;;;;;;;;Cazada escopeta
A;7027282;Fulica atra;15;7;1988;PN Doñana;Almonte;Huelva;1;0;PND;;;;;;;;;;Anillamiento
C;7027282;Fulica atra;10;11;1988;Veta La Palma;Puebla del Rio;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;7027286;Fulica atra;15;7;1988;PN Doñana;Almonte;Huelva;1;0;PND;;;;;;;;;;Anillamiento
C;7027286;Fulica atra;15;11;1988;Puebla del Rio;Puebla del Rio;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;7038031;Fulica atra;17;2;2003;Laguna del Gobierno;La Lantejuela;Sevilla;2;0;M. Vazquez;;;;;;;;;;Anillamiento
C;7038031;Fulica atra;29;11;2003;L´Encanyissada;Amposta;Tarragona;2;0;ICO;;;;;;;;285;625;control
A;7039940;Fulica atra;1;6;1999;Entremuros;Puebla del Rio;Sevilla;5;2;EBD;;;;;;;;;;Anillamiento
C;7039940;Fulica atra;17;9;1999;Los Olivillos;Puebla del Rio;Sevilla;2;0;CREA;;;;;;;;108;10;Encontrado herido y  liberado, disparo
A;7044247;Fulica atra;11;10;1993;Cañada de los Pajaros;Puebla del Rio;Sevilla;4;2;LEO BIAGGI;;;;;;;;;;Anillamiento
C;7044247;Fulica atra;24;10;1993;Camas;Camas;Sevilla;2;0;Particular;;;;;;;;13;15;Capturada por un animal domestico no gato
A;7060092;Fulica atra;25;11;2001;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;1;EBD;;;;;;;;;;Anillamiento
C;7060092;Fulica atra;25;8;2006;El Portil;Punta Umbria;Huelva;2;0;Particular;;;;;;;;1734;79;Encontrado muerto
A;7065250;Fulica atra;25;7;2002;Veta La Palma;Puebla del Rio;Sevilla;4;0;L. Garcia;;;;;;;;;;Anillamiento
C;7065250;Fulica atra;5;5;2005;Trebujena;Trebujena;Cadiz;2;0;M. Vazquez;;;;;;;;1012;26;Cazada escopeta
A;2374331;Charadrius alexandrinus;18;5;1992;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;2;1;J. Aguilar;;;;;;;;;;Anillamiento
C;2374331;Charadrius alexandrinus;7;9;1999;Salina del Pilar;Puerto Real;Cadiz;4;0;M. Vazquez;;;;;;;;;;control
A;T007749;Charadrius alexandrinus;17;8;1996;Marismas del Odiel;Huelva;Huelva;4;0;M. Vazquez;;;;;;;;;;Anillamiento
C;T007749;Charadrius alexandrinus;6;7;1998;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;4;0;J. Aguilar;;;;;;;;;;Encontrado muerto
A;T018074;Charadrius alexandrinus;10;6;1997;Reserva de Puerto Real;Puerto Real;Cadiz;1;0;GEAM;;;;;;;;;;Anillamiento
C;T018074;Charadrius alexandrinus;15;11;1997;Puebla del Rio;Puebla del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;;;Cazada escopeta
A;T027309;Charadrius alexandrinus;26;5;1999;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;2;0;J. Aguilar;;;;;;;;;;Anillamiento
C;T027309;Charadrius alexandrinus;6;7;1999;Caño Navarro;Coria del Rio;Sevilla;2;0;M. Vazquez;;;;;;;;;;control
A;T027361;Charadrius alexandrinus;26;6;2000;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;J. Aguilar;;;;;;;;;;Anillamiento
C;T027361;Charadrius alexandrinus;1;10;2000;Laguna del Gobierno;La Lantejuela;Sevilla;3;0;M. Vazquez;;;;;;;;98;49;Encontrado muerto
A;2549731;Charadrius alexandrinus;27;7;1993;Veta La Palma;Puebla del Rio;Sevilla;4;0;L. Garcia;;;;;;;;;;Anillamiento
C;2549731;Charadrius alexandrinus;24;8;2007;Puebla del Rio;Puebla del Rio;Sevilla;4;0;M. Vazquez;;;;;;;;5141;35;control
A;T040609;Charadrius alexandrinus;9;7;2005;La Quintanilla;Puebla del Rio;Sevilla;1;0;GOSUR;;;;;;;;;;Anillamiento
C;T040609;Charadrius alexandrinus;28;7;2005;Brazo del Este;Puebla del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;19;4;control
A;T039335;Charadrius alexandrinus;18;7;2003;Brazo del Este;Puebla del Rio;Sevilla;1;0;GOSUR;;;;;;;;;;Anillamiento
C;T039335;Charadrius alexandrinus;2;6;2005;La Margazuela;Puebla del Rio;Sevilla;7;1;M. Vazquez;;;;;;;;685;6;control
A;Y22765;Tringa glareola;3;2;1985;El Rocio;Almonte;Huelva;2;0;EBD;;;;;;;;;;Anillamiento
C;Y22765;Tringa glareola;3;11;1988;Puebla del Rio;Puebla del Rio;Sevilla;2;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;T014001;Calidris alpina;30;10;1997;Marismas del Odiel;Huelva;Huelva;4;0;JM Sayago;;;;;;;;;;Anillamiento
C;T014001;Calidris alpina;14;9;2001;Salinas de Santa Teresa;Sanlucar de Barrameda;Cadiz;A;0;M. Vazquez;;;;;;;;1415;115;control
A;5012735;Recurvirostra avosetta;6;5;1999;Salina del Pilar;Puerto Real;Cadiz;4;0;Zamalla;;;;;;;;;;Anillamiento
C;5012735;Recurvirostra avosetta;21;3;2006;Salinas de la Tapa;Puerto de Santa Maria;Cadiz;A;0;CREA;;;;;;;;2511;9;Encontrado muerto
A;4003266;Himantopus himantopus;25;6;1988;Isla Mayor;Isla Mayor;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;4003266;Himantopus himantopus;15;11;1988;Puebla del Rio;Puebla del Rio;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Cazada escopeta
A;4013817;Himantopus himantopus;3;6;1988;Isla Mayor;Isla Mayor;Sevilla;1;0;EBD;;;;;;;;;;Anillamiento
C;4013817;Himantopus himantopus;12;7;1988;Puebla del Rio;Puebla del Rio;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Encontrado muerto
A;4013835;Himantopus himantopus;20;6;1989;Isla Mayor;Isla Mayor;Sevilla;1;0;J. Cuervo;;;;;;;;;;Anillamiento
C;4013835;Himantopus himantopus;6;7;1989;Puebla del Rio;Puebla del Rio;Sevilla;3;0;LEO BIAGGI;;;;;;;;;;Encontrado muerto
A;4003416;Himantopus himantopus;1;7;1987;Aznalcazar;Aznalcazar;Sevilla;1;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;4003416;Himantopus himantopus;10;1;1988;Chiclana de la Frontera;Chiclana de la Frontera;Cadiz;5;0;Particular;;;;;;;;;;Encontrado muerto
A;3062641;Glareola pratincola;12;7;1996;Los Palacios;Los Palacios;Sevilla;1;0;M. Vazquez;;;;;;;;;;Anillamiento
C;3062641;Glareola pratincola;15;1;1998;Poblado de Trajano;Utrera;Sevilla;7;0;Particular;;;;;;;;552;11;Encontrado muerto
A;3064486;Glareola pratincola;9;6;1994;Brazo del Este;Puebla del Rio;Sevilla;1;0;M. Vazquez;;;;;;;;;;Anillamiento
C;3064486;Glareola pratincola;27;7;1994;Casablanca;Los Palacios;Sevilla;3;0;Particular;;;;;;;;49;8;Encontrado muerto
A;5059804;Larus genei;22;7;1998;Veta la Palma;Puebla del Rio;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;5059804;Larus genei;19;5;2001;Salinas de Santa Teresa;Sanlucar de Barrameda;Cadiz;9;0;M. Vazquez;;;;;;;;1032;41;control
A;6004364;Larus genei;29;6;1995;Veta la Palma;Puebla del Rio;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;6004364;Larus genei;19;5;2001;Salinas de Santa Teresa;Sanlucar de Barrameda;Cadiz;A;0;M. Vazquez;;;;;;;;2151;41;control
A;4035768;Larus ridibundus;2;10;1994;Colmenar Viejo;Colmenar Viejo;Madrid;4;2;EMA;;;;;;;;;;Anillamiento
C;4035768;Larus ridibundus;20;10;1998;Salinas de Bonanza;Sanlucar de Barrameda;Cadiz;4;0;M. Vazquez;;;;;;;;1479;490;control
