MODO,METAL,ESPECIE,DIA ,MES ,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones
C,2722123,Anthus pratensis,12,11,1988,"Carmona, Sevilla",España,2,0,M. Vazquez,,,,,,,,396,1753,Cazada con percha
A,3482480,Anthus pratensis,30,9,1989,"Sourbrodt, Luik, Lieja",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,3482480,Anthus pratensis,1,11,1994,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,1858,1756,Cazada
A,3580464,Anthus pratensis,11,10,1990,"Anzegem, Flandes Occidental",Belgica,4,0,Extranjero,,,,,,,,,,Anillamiento
C,3580464,Anthus pratensis,25,15,1991,"Puñana, Almensilla, Sevilla",España,2,0,M. Vazquez,,,,,,,,441,1600,Cazada
A,8305694,Anthus pratensis,27,9,2002,"Hamme St Anna, Oost Vlaanderen, Flandes",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,8305694,Anthus pratensis,15,11,2004,"Trebujena, Cadiz",España,2,0,M. Vazquez,,,,,,,,780,1780,Cazada
A,XC743076,Anthus pratensis,29,7,1988,"Kandalakshskiy Zap-K, Bolshoy, Murmansk",Rusia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,XC743076,Anthus pratensis,4,12,1988,"Los Palacios, Sevilla",España,2,0,M. Vazquez,,,,,,,,128,4255,Cazada
A,XD973232,Anthus pratensis,4,7,1991,"Kandalakshskiy, Barentsevo, Mor Murmansk",Rusia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,XD973232,Anthus pratensis,15,12,1992,"Dos Hermanas, Sevilla",España,5,0,M. Vazquez,,,,,,,,530,4244,Cazada
A,XD973239,Anthus pratensis,6,7,1991,"Kandalakshskiy, Barentsevo, Mor Murmansk",Rusia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,XD973239,Anthus pratensis,15,12,1992,"Dos Hermanas, Sevilla",España,5,0,M. Vazquez,,,,,,,,528,4246,Cazada
A,E225608,Anthus pratensis,15,9,1987,"Sporn Point, Humberside",Gran Bretaña,3,0,Extranjero,,,,,,,,,,Anillamiento
C,E225608,Anthus pratensis,25,10,1988,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,405,1872,Cazada
A,H559564,Anthus pratensis,13,9,1992,"Spurn Head, Humberside",Gran Bretaña,3,0,Extranjero,,,,,,,,,,Anillamiento
C,H559564,Anthus pratensis,17,11,1992,"Colegio El Rocio, Torreblanca, Sevilla",España,2,0,M. Vazquez,,,,,,,,65,1856,Encontrado muerto
A,E117353,Anthus pratensis,5,9,1989,"Finset, Hemsedal, Buskerund",Noruega,4,0,Extranjero,,,,,,,,,,Anillamiento
C,E117353,Anthus pratensis,30,10,1991,"Huevar, Sevilla",España,2,0,M. Vazquez,,,,,,,,815,2815,Cazada
A,E193569,Anthus pratensis,14,8,1989,"Fraena, More Og Romsdal",Noruega,3,0,Extranjero,,,,,,,,,,Anillamiento
C,E193569,Anthus pratensis,1,11,1994,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,1905,2988,Cazada
A,A997542,Anthus pratensis,22,9,1988,"Kennmerduinen, Harlen, Noord Holland",Holanda,4,0,Extranjero,,,,,,,,,,Anillamiento
C,A997542,Anthus pratensis,5,11,1988,"Carmona, Sevilla",España,2,0,M. Vazquez,,,,,,,,43,1842,Cazada con percha
A,3039383,Motacilla cinerea,8,9,1988,Clabecq,Belgica,2,0,Extranjero,,,,,,,,,,Anillamiento
C,3039384,Motacilla cinerea,11,12,1988,"Torreblanca, Sevilla",España,2,0,M. Vazquez,,,,,,,,,1683,Otros
A,3924820,Motacilla flava,10,3,1993,"PN Djoudj, Fleuve",Senegal,4,2,Extranjero,,,,,,,,,,Anillamiento
C,3924820,Motacilla flava,28,10,1995,"Puebla del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,962,2525,Encontrado muerto
A,9004398,Ciconia ciconia,29,5,1992,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,1,0,M. Vazquez,,,,,,,,,,Anillamiento
C,9004398,Ciconia ciconia,5,3,1999,Tombouctou,Mali,A,0,Extranjero,,,,,,,,,,Encontrado muerto
A,23V12140,Motacilla alba,7,4,1983,"St Amande, Antwerpen",Belgica,4,1,Extranjero,,,,,,,,,,Anillamiento
C,23V12140,Motacilla alba,3,11,1986,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,,,Cazada
A,33V12675,Motacilla alba,18,9,1990,"Zele Heikant, Flandes Occidental",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,33V12675,Motacilla alba,25,12,1991,"Puñana, Almensilla, Sevilla",España,5,0,M. Vazquez,,,,,,,,464,1650,Cazada
A,4262822,Motacilla alba,30,9,1992,"Boortmeerbeek, Brabant",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,4262822,Motacilla alba,15,12,1992,"Dos Hermanas, Sevilla",España,3,0,M. Vazquez,,,,,,,,76,1734,Atropellado
A,80710173,Motacilla alba,13,6,1987,"Plau Appelburg, Schwerin",Alemania,1,0,Extranjero,,,,,,,,,,Anillamiento
C,80710173,Motacilla alba,15,12,1987,"Coria del Rio, Sevilla",España,3,0,M. Vazquez,,,,,,,,182,2286,Cazada
A,3196662,Sturnus vulgaris,24,11,2001,"La Fao, Aznalcazar, Sevilla",España,3,2,M. Vazquez,,,,,,,,,,Anillamiento
C,3196662,Sturnus vulgaris,20,10,2002,"Mas Thibert, Bouches du Rhone",Francia,2,0,Extranjero,,,,,,,,330,1203,Cazado con escopeta
A,1E87964,Prunella modularis,15,9,2001,"Jabekk, Mandal, Vest Agder",Noruega,3,0,M. Vazquez,,,,,,,,,,Anillamiento
C,1E87964,Prunella modularis,11,11,2001,"El Alamillo, Sevilla",España,3,0,Extranjero,,,,,,,,57,2495,control 
A,N216363,Acrocephalus schoenobaenus,9,4,2006,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,,,,,,,,,,Anillamiento
C,N216363,Acrocephalus schoenobaenus,23,4,2006,"Sewage Treatment Works, Bedfordshire",Gran Bretaña,4,0,BTO,,,,,,,,14,1662,control 
C,N216363,Acrocephalus schoenobaenus,3,6,2007,"Sewage Treatment Works, Bedfordshire",Gran Bretaña,4,0,BTO,,65,11.5,,,,,420,1662,control 
A,4513029,Acrocephalus schoenobaenus,8,5,2002,"Vred, Nord",Francia,4,1,Extranjero,,67,11,,,,,,,Anillamiento
C,4513029,Acrocephalus schoenobaenus,17,3,2004,"Veta la Palma, Puebla del Rio, Sevilla",España,4,0,M. Vazquez,0,67.5,11.6,,,,,679,1653,control 
A,AC0331,Acrocephalus schoenobaenus,29,5,2005,"Jersey Bird Observatory, ST Ouen, Jersey Islas del Canal",Gran Bretaña,4,0,Extranjero,,,,,,,,,,Anillamiento
C,AC0331,Acrocephalus schoenobaenus,18,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,8,,,,,,,446,1367,control 
A,A175939,Acrocephalus schoenobaenus,10,9,2004,"Barrinha de Mira, Coimbra",Portugal,3,0,Extranjero,,,,,,,,,,Anillamiento
C,A175939,Acrocephalus schoenobaenus,15,5,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,2,63,11,,,,,247,461,control 
A,VP21064,Acrocephalus palustris,19,8,2003,"Ventes Ragas, Silute",Lituania,3,0,Extranjero,,,,,,,,,,Anillamiento
C,VP21065,Acrocephalus palustris,30,5,2004,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,,,,,,,,285,2815,control 
A,VD76554,Acrocephalus palustris,21,7,2004,"Roblingen, Mansfelder, Halle",Alemania,3,0,Extranjero,,,,,,,,,,Anillamiento
C,VD76554,Acrocephalus palustris,26,8,2004,"Caño Navarro, Coria del Rio, Sevilla",España,3,0,M. Vazquez,,,,,,,,36,2100,control 
A,ZB55555,Acrocephalus scirpaceus,25,5,2002,"Bohmke U Werder Wolgast, Rostock",Alemania,4,0,Extranjero,,,,,,,,,,Anillamiento
C,ZB55555,Acrocephalus scirpaceus,15,5,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,2,66.5,11,,,,,1086,2359,control 
A,3229814,Acrocephalus scirpaceus,27,5,1990,"Wetteren, Oost Vlaanderen, Flandes Or",Belgica,4,0,Extranjero,,,,,,,,,,Anillamiento
C,3229814,Acrocephalus scirpaceus,5,10,1992,"Sanlucar de Barrameda, Cadiz",España,4,0,M. Vazquez,,,,,,,,862,1777,Cazada
A,4115167,Acrocephalus scirpaceus,1,9,1991,"Genk, Limburg",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,4115167,Acrocephalus scirpaceus,5,5,1995,"La Escribana, Coria del Rio, Sevilla",España,4,0,M. Vazquez,,,,,,,,1342,1769,control 
A,4449241,Acrocephalus scirpaceus,18,8,1992,"Nismes, Namen, Namur",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,4449241,Acrocephalus scirpaceus,6,9,1994,"Villaverde del Rio, Sevilla",España,4,0,M. Vazquez,,,,,,,,749,1617,Encontrado muerto
A,9441291,Acrocephalus scirpaceus,11,8,2005,"Wetteren, Oost Vlaanderen, Flandes Or",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,9441291,Acrocephalus scirpaceus,25,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,2,,,,,,,379,1714,control 
A,9445337,Acrocephalus scirpaceus,30,8,2005,"Essen, Antwerpen, Amberes",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,9445337,Acrocephalus scirpaceus,28,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,3,,,,,,,363,1784,control 
A,9417466,Acrocephalus scirpaceus,1,8,2005,"Teralfene, Vlaams Brabant",Belgica,4,0,Extranjero,,,,,,,,,,Anillamiento
C,9417466,Acrocephalus scirpaceus,25,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,0,,,,,,,389,1711,control 
A,9459246,Acrocephalus scirpaceus,16,8,2005,"Zulte, Oost Vlaanderen, Flandes",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,9459246,Acrocephalus scirpaceus,14,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,6,,,,,,,363,1690,control 
A,9645641,Acrocephalus scirpaceus,7,8,2006,"Oorderen, Antwerpen, Amberes",Belgica,4,0,Extranjero,,,,,,,,,,Anillamiento
C,9645641,Acrocephalus scirpaceus,28,9,2006,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vazquez,,,,,,,,52,1722,control 
A,9836110,Acrocephalus scirpaceus,17,8,2006,"Sint Amands, Antwerpen, Amberes",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,9836110,Acrocephalus scirpaceus,24,5,2008,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,,,,,,,,646,1694,control 
A,TA6632,Acrocephalus scirpaceus,2,8,2001,"Lazne Bohdanec, Pardubice",Republica Checa,3,0,Extranjero,,,,,,,,,,Anillamiento
C,TA6632,Acrocephalus scirpaceus,8,5,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vazquez,0,65,10,,,,,1375,2181,control 
A,N360289,Acrocephalus scirpaceus,30,4,2005,"Nakri, Ceske Budejovice",Republica Checa,3,0,Extranjero,,,,,,,,,,Anillamiento
C,N360289,Acrocephalus scirpaceus,16,4,2006,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,3,68.5,14,,,,,351,2042,control 
A,176745,Acrocephalus scirpaceus,5,7,1987,"Huerta Daniel, Puebla del Rio, Sevilla",España,4,0,M. Vazquez,,,,,,,,,,Anillamiento
C,176745,Acrocephalus scirpaceus,14,3,1993,"PN Du Djoudj, Fleuve",Senegal,4,0,Extranjero,,,,,,,,2079,2525,control 
A,N215996,Acrocephalus scirpaceus,15,5,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,,,,,,,,,,Anillamiento
C,N215997,Acrocephalus scirpaceus,22,8,2005,"Heuseux, Luik, Lieja",Belgica,4,0,Extranjero,,65,12,,,,,99,1714,control 
A,AE63003,Acrocephalus scirpaceus,14,8,1999,"Vrhinika, Ljubljansko Barje, Slovenia",Eslovenia,4,0,Extranjero,,,,,,,,,,Anillamiento
C,AE63003,Acrocephalus scirpaceus,9,5,2004,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,,,,,,,,1730,1875,control 
A,3981584,Acrocephalus scirpaceus,14,3,1993,"PN Du Djoudj, Fleuve",Senegal,4,0,Extranjero,,,,,,,,,,Anillamiento
C,3981584,Acrocephalus scirpaceus,4,7,1993,"Ecija, Sevilla",España,4,0,LEO BIAGGI,,,,,,,,81,2593,control 
A,4681485,Acrocephalus scirpaceus,30,7,2004,"Arraincourt, Moselle",Francia,4,0,Extranjero,,,,,,,,,,Anillamiento
C,4681485,Acrocephalus scirpaceus,11,8,2005,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,3,69,12.1,,,,,377,1647,control 
A,4975168,Acrocephalus scirpaceus,9,9,2004,"Marais de Wissant, Tardinghen, Pas de Calais",Francia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,4975168,Acrocephalus scirpaceus,22,5,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,1,63,10,,,,,255,1596,control 
A,R215620,Acrocephalus scirpaceus,8,6,2005,"Canterbury, Kent",Gran Bretaña,4,1,Extranjero,,66,10.6,,,,,,,Anillamiento
C,R215620,Acrocephalus scirpaceus,5,9,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,6,,,,,,,454,1659,control 
A,R303080,Acrocephalus scirpaceus,6,8,2002,"Westwick, Bishop Monkton, Northyorkshire",Gran Bretaña,4,1,Extranjero,,,,,,,,,,Anillamiento
C,R303080,Acrocephalus scirpaceus,11,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,3,,,,,,,1466,1904,control 
A,AD29919,Acrocephalus scirpaceus,31,7,2001,"Agelo, Overijssel",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,AD29919,Acrocephalus scirpaceus,24,10,2001,"El Alamillo, Sevilla",España,3,0,M. Vazquez,,,,,,,,85,1943,control 
A,AF57499,Acrocephalus scirpaceus,19,8,2002,"Elburg, Gelderland",Holanda,3,0,M. Vega,,,,,,,,,,Anillamiento
C,AF57499,Acrocephalus scirpaceus,10,8,2003,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,Extranjero,,,,,,,,356,1885,control 
A,AG13008,Acrocephalus scirpaceus,28,7,2004,"Castricum, Noord Holland",Holanda,3,0,Extranjero,,,,,,,,,,Anillamiento
C,AG13008,Acrocephalus scirpaceus,24,8,2005,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,6,65.5,15.6,,,,,392,1888,control 
A,AE40211,Acrocephalus scirpaceus,10,8,1999,"Vrhinika, Ljubljansko Barje, Slovenia",Eslovenia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,AE40211,Acrocephalus scirpaceus,24,8,2003,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,3,64,11.3,,,,,1475,1875,control 
A,2524255,Acrocephalus arundinaceus,29,8,1993,"Rio Blanco, Ecija, Sevilla",España,3,2,E. Gomez,,,,,,,,,,Anillamiento
C,2524255,Acrocephalus arundinaceus,24,4,1997,Ghadira,Malta,4,0,Extranjero,,,,,,,,1334,1734,control 
A,TA84159,Sylvia borin,30,8,2003,"Sudislavice, Praha",Republica Checa,4,0,Extranjero,,,,,,,,,,Anillamiento
C,TA84159,Sylvia borin,28,4,2004,"El Alamillo, Sevilla",España,4,0,M. Vazquez,,,,,,,,242,2156,control 
A,B902778,Sylvia borin,20,8,1994,"Lelystad, Houtrib Sluizen, Ijsselmeerpolders",Holanda,3,0,Extranjero,,,,,,,,,,Anillamiento
C,B902778,Sylvia borin,15,4,1997,"Dos Hermanas, Sevilla",España,2,0,M. Vazquez,,,,,,,,969,1912,control 
A,F127254,Sylvia atricapilla,2,10,1988,"Roerdomp, Noord Brabant",Holanda,4,2,Extranjero,,,,,,,,,,Anillamiento
C,F127254,Sylvia atricapilla,16,11,1988,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,46,1800,Cazado con percha
A,29V98698,Sylvia atricapilla,30,9,1988,"Clabecq, Brabant",Belgica,4,1,Extranjero,,,,,,,,,,Anillamiento
C,29V98698,Sylvia atricapilla,29,11,1988,"Sevilla, Sevilla",España,2,0,M. Vazquez,,,,,,,,59,1682,Muerta por un gato
A,3764737,Sylvia atricapilla,11,9,1990,"Grembergen, Oost Vlaanderen, Flandes Oriental",Belgica,3,1,Extranjero,,,,,,,,,,Anillamiento
C,3764738,Sylvia atricapilla,23,10,1993,"Castellar de la Frontera, Cadiz",España,2,0,M. Vazquez,,,,,,,,1138,1803,Cazada
A,7V4057,Sylvia atricapilla,17,7,1970,"Brasschaat, Antwerpen, Amberes",Belgica,4,1,Extranjero,,,,,,,,,,Anillamiento
C,7V4057,Sylvia atricapilla,15,1,2000,"Marchena, Sevilla",España,A,0,Zamalla,,,,,,,,10774,1733,Encontrada solo anilla con detector de metales
A,3427860,Sylvia atricapilla,30,7,1990,"Pirincen, Limburg",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,3427860,Sylvia atricapilla,11,11,1990,"Cantera del Duende, El Rubio, Sevilla",España,3,0,M. Vazquez,,,,,,,,104,1702,control 
A,4483981,Sylvia atricapilla,2,9,1992,"Boitsfort, Brabant",Belgica,3,2,Extranjero,,,,,,,,,,Anillamiento
C,4483981,Sylvia atricapilla,27,12,1992,"Arroyo Gascon, Marchena, Sevilla",España,3,2,M. Vazquez,,,,,,,,116,1685,control 
A,4667722,Sylvia atricapilla,22,10,1992,"Zwin, West Vlaanderen, Flandes Occidental",Belgica,3,1,Extranjero,,,,,,,,,,Anillamiento
C,4667722,Sylvia atricapilla,29,11,1992,"Arroyo Gascon, Marchena, Sevilla",España,3,1,M. Vazquez,,,,,,,,38,1705,control 
A,5875357,Sylvia atricapilla,16,9,1996,"Meetkeerke, West Vlaanderen, Flandes Occidental",Belgica,3,1,Extranjero,,,,,,,,,,Anillamiento
C,5875357,Sylvia atricapilla,21,2,1999,"Arroyo Gascon, Marchena, Sevilla",España,4,1,M. Vazquez,,,,,,,,843,1821,control 
A,5954776,Sylvia atricapilla,10,10,1996,"Rijkevorsel, Antwerpen, Amberes",Belgica,3,1,Extranjero,,,,,,,,,,Anillamiento
C,5954776,Sylvia atricapilla,1,1,1999,"El Cuervo, Lebrija, Sevilla",España,4,0,M. Vazquez,,,,,,,,843,1821,Cazada
A,6115344,Sylvia atricapilla,15,9,1996,"Grembergen, Oost Vlaanderen, Flandes Oriental",Belgica,3,1,Extranjero,,,,,,,,,,Anillamiento
C,6115344,Sylvia atricapilla,1,1,1999,"El Cuervo, Lebrija, Sevilla",España,4,0,M. Vazquez,,,,,,,,838,1768,Cazada
A,6253862,Sylvia atricapilla,20,9,1997,"Pontaury, Namen, Namur",Belgica,2,2,Extranjero,,,,,,,,,,Anillamiento
C,6253862,Sylvia atricapilla,1,1,1999,"El Cuervo, Lebrija, Sevilla",España,4,0,M. Vazquez,,,,,,,,468,1722,Cazada
A,6506119,Sylvia atricapilla,25,9,1997,"Messelbroek, Brabant",Belgica,3,1,Extranjero,,,,,,,,,,Anillamiento
C,6506119,Sylvia atricapilla,16,11,1997,"Cantera del Duende, El Rubio, Sevilla",España,3,1,M. Vazquez,,,,,,,,52,1707,control 
A,6924546,Sylvia atricapilla,9,9,1999,"Hertsberge, West Vlaanderen, Flandes Occidental",Belgica,3,2,Extranjero,,,,,,,,,,Anillamiento
C,6924546,Sylvia atricapilla,1,11,1999,"El Alamillo, Sevilla",España,3,2,M. Vazquez,,,,,,,,53,1688,control 
A,7013900,Sylvia atricapilla,4,9,1999,"ST Laurenis, Oost Vlaanderen, Flandes",Belgica,3,2,Extranjero,,,,,,,,,,Anillamiento
C,7013900,Sylvia atricapilla,4,1,2000,"Laguna de Medina, Jerez de la Frontera, Cadiz",España,5,2,Zamalla,,,,,,,,122,1789,control 
A,7124164,Sylvia atricapilla,20,9,2000,"Cerexhe, Heuseux, Luik Lieja",Belgica,3,1,Extranjero,,,,,,,,,,Anillamiento
C,7124164,Sylvia atricapilla,12,11,2000,"El Alamillo, Sevilla",España,3,1,M. Vazquez,,,,,,,,53,1739,control 
A,8650459,Sylvia atricapilla,9,9,2003,"Grembergen, Oost Vlaanderen, Flandes Oriental",Belgica,3,2,Extranjero,,,,,,,,,,Anillamiento
C,8650459,Sylvia atricapilla,18,12,2004,"Arroyo Gascon, Marchena, Sevilla",España,4,2,M. Vazquez,,,,,,,,466,1688,control 
A,L044195,Sylvia atricapilla,4,10,1996,"Torrecuadros, Hinojos, Huelva",España,3,1,M. Vazquez,,,,,,,,,,Anillamiento
C,L044195,Sylvia atricapilla,3,5,1997,"Aschaffenburg, Unterfranken",Alemania,2,0,Extranjero,,,,,,,,211,1876,Encontrado muerto
A,L450270,Sylvia atricapilla,9,11,2000,"El Alamillo, Sevilla",España,3,2,M. Vazquez,,,,,,,,,,Anillamiento
C,L450270,Sylvia atricapilla,9,4,2004,"Awirs, Luik, Lieja",Belgica,4,2,Extranjero,,,,,,,,1274,1722,control 
A,2286630,Sylvia atricapilla,16,11,1990,"Casa Neves, Aznalcazar, Sevilla",España,2,2,M. Vazquez,,,,,,,,,,Anillamiento
C,2286630,Sylvia atricapilla,24,4,1991,"Chevrense, Sena, Paris",Francia,2,0,Extranjero,,,,,,,,163,1433,Encontrado muerto
A,2550519,Sylvia atricapilla,3,12,1996,"Valle de Hecho, Huesca",España,2,2,Zamalla,,,,,,,,,,Anillamiento
C,2550519,Sylvia atricapilla,30,3,1998,"Salleboeuf, Gironde",Francia,2,0,Extranjero,,,,,,,,482,235,Encontrado muerto
A,2A050667,Sylvia atricapilla,28,3,2004,"El Alamillo, Sevilla",España,4,1,M. Vazquez,,,,,,,,,,Anillamiento
C,2A050667,Sylvia atricapilla,19,4,2004,"Weybourne, Norfolk",Gran Bretaña,4,1,BTO,,72,,,,,,22,1813,control 
A,2A082663,Sylvia atricapilla,3,2,2005,"El Hampa, Coria del Rio, Sevilla",España,5,1,M. Vazquez,,,,,,,,,,Anillamiento
C,2A082663,Sylvia atricapilla,6,4,2005,"Welton, Humberside",Gran Bretaña,2,0,BTO,,,,,,,,62,1876,Colision contra cristales
A,3862150,Sylvia atricapilla,6,9,1992,"Reserve la Maziere, Villeton, Lot et Garonne",Francia,3,2,Extranjero,,,,,,,,,,Anillamiento
C,3862150,Sylvia atricapilla,2,2,1995,"Rio Blanco, Ecija, Sevilla",España,2,0,LEO BIAGGI,,,,,,,,879,893,Encontrado muerto
A,4045343,Sylvia atricapilla,12,7,2001,"Oncy Sur Ecole, Essonne",Francia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,4045343,Sylvia atricapilla,20,3,2004,"El Alamillo, Sevilla",España,4,0,M. Vazquez,,,,,,,,982,1398,control 
A,BC59550,Sylvia atricapilla,25,9,2005,"Villeton, Lot et Garonne",Francia,3,1,Extranjero,,,,,,,,,,Anillamiento
C,BC59550,Sylvia atricapilla,5,11,2006,"Coria del Rio, Sevilla",España,4,1,M. Vazquez,1,,,,,,,406,947,control 
A,F220001,Sylvia atricapilla,18,6,1989,"West Stafford, Dorset",Gran Bretaña,3,2,Extranjero,,,,,,,,,,Anillamiento
C,F220001,Sylvia atricapilla,18,4,1993,"Lora del Rio, Sevilla",España,4,2,M. Vazquez,,,,,,,,1400,1471,control 
A,J263585,Sylvia atricapilla,2,9,1993,"Wales Farm, Plumptom Sussex, West & East",Gran Bretaña,4,2,Extranjero,,,,,,,,,,Anillamiento
C,J263585,Sylvia atricapilla,20,10,1993,"Isla Redonda, Ecija, Sevilla",España,2,0,M. Vazquez,,,,,,,,48,1800,Cazada
A,N822451,Sylvia atricapilla,4,10,1998,"Walton in Gordano, Avon",Gran Bretaña,3,1,Extranjero,,,,,,,,,,Anillamiento
C,N822451,Sylvia atricapilla,21,3,1999,"Utrera, Sevilla",España,4,0,M. Vazquez,,,,,,,,168,1604,control 
A,K896341,Sylvia atricapilla,5,9,1999,"Watlington Hilol, Oxford",Gran Bretaña,4,2,Extranjero,,,,,,,,,,Anillamiento
C,K896341,Sylvia atricapilla,1,2,2002,"Torrecuadros, Hinojos, Huelva",España,4,2,M. Vazquez,,,,,,,,880,1663,control 
A,T722115,Sylvia atricapilla,3,10,2006,"Cissbury Ring, Worthing, Sussex West & East",Gran Bretaña,3,1,Extranjero,,74,18.7,,,,,,,Anillamiento
C,T722115,Sylvia atricapilla,19,11,2006,"Palomares del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,47,1573,Cazada
A,AB67417,Sylvia atricapilla,5,9,2000,"Leerdam, Zuid Holland",Holanda,3,1,Extranjero,,,,,,,,,,Anillamiento
C,AB67417,Sylvia atricapilla,24,10,2000,"El Alamillo, Sevilla",España,3,1,M. Vazquez,,,,,,,,49,1829,control 
A,V036830,Sylvia atricapilla,1,10,2000,"Haarlem, Vinkenbaan Van Lennep, Noord Holland",Holanda,3,0,Extranjero,,,,,,,,,,Anillamiento
C,V036830,Sylvia atricapilla,2,11,2000,"El Alamillo, Sevilla",España,3,0,M. Vazquez,,,,,,,,32,1859,control 
A,V090497,Sylvia atricapilla,29,9,2002,"Leuth, Gederland",Holanda,3,1,Extranjero,,,,,,,,,,Anillamiento
C,V090497,Sylvia atricapilla,21,1,2003,"Laguna del Gobierno, Lantejuela,Sevilla",España,5,1,Zamalla,,,,,,,,114,1832,control 
A,L174172,Sylvia communis,18,9,1998,"Calera de Leon, Badajoz",España,3,0,Zamalla,,,,,,,,,,Anillamiento
C,L174172,Sylvia communis,12,11,2001,Chefchaouen,Marruecos,2,0,Particular,,,,,,,,1151,339,Encontrado muerto
A,L343411,Sylvia communis,6,9,2000,"Valdelarco, Huelva",España,4,0,Zamalla,,,,,,,,,,Anillamiento
C,L343411,Sylvia communis,29,5,2001,"Alnif, Er Rachidia",Marruecos,2,0,Particular,,,,,,,,265,696,Cazada
A,2750996,Cercotrichas galactotes,20,8,1997,"El Alcornocal, Los Palacios, Sevilla",España,3,0,M. Vazquez,,,,,,,,,,Anillamiento
C,2750996,Cercotrichas galactotes,24,4,2001,Imilchil,Marruecos,2,0,Particular,,,,,,,,1343,560,Encontrado muerto
A,223175,Phylloscopus trochilus,3,9,1997,"El Alcornocal, Los Palacios, Sevilla",España,4,1,M. Vazquez,,,,,,,,,,Anillamiento
C,223175,Phylloscopus trochilus,13,5,1999,"Karrebakstorp, Naestved, Sjaelland",Dinamarca,2,0,Particular,,,,,,,,617,2415,Capturada por un gato
A,F30166,Phylloscopus trochilus,5,5,2001,"Drienovec, Kosice, Eslovaquia",Republica Checa,4,1,Extranjero,,,,,,,,,,Anillamiento
C,F30166,Phylloscopus trochilus,31,8,2001,"Calera de Leon, Badajoz",España,4,0,M. Vazquez,,,,,,,,118,2478,control cambio anilla AC4162
A,1H08422,Phylloscopus trochilus,8,8,2000,"Blixoya, Valer, Ostfold",Noruega,5,0,Extranjero,,,,,,,,,,Anillamiento
C,1H08422,Phylloscopus trochilus,4,9,2000,"Las Teatinas, Palomares del Rio, Sevilla",España,4,0,M. Vazquez,,,,,,,,27,2734,control 
