CodigoGrupo,NombreGrupo,Anilla,InfoAnilla,AnillaSustituida,NombreEspecie,CodigoEspecie,FechaCaptura,HoraCaptura,CodigoEdad,CodigoSexo,CodigoModoStatus,NombreLocalidad,MUNICIPIO,CodigoLocalidad,CodigoPROVINCIA,Observaciones,CodigoHabitat,CodigoMetodo,NumRedes,LongitudRed,HoraDesde,HoraHasta,Campanna,CodigoEstacion,MannanaCodigoFuerza,MannanaCodigoDireccion,MannanaCodigoNubosidad,MannanaCodigoLluvia,TardeCodigoFuerza,TardeCodigoDireccion,TardeCodigoNubosidad,TardeCodigoLluvia,PVC,MARCA,Color Marca,Color Digitos,Dato5,Dato6,Parentesco,TipoRegistro,CodigoCentro,CodigoCondicion,CodigoCircunstancia,CodigoReclamo,Ala,F8,Peso,Tarso,CodigoPlaca,CodigoGrasa,CodigoMusculo,CodigoPrecision,CodigoEstado,CodigoTamañoNidada,CodigoMuda,Manipulacion,Transporte,IniAnillador
660130,FRANCISCO JAMARDO SANCHEZ,AM8216,2,,Phylloscopus collybita,13110,30/12/07,----,3,0,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,AM8217,2,,Phylloscopus collybita,13110,30/12/07,----,3,0,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,AM8218,2,,Phylloscopus collybita,13110,30/12/07,----,4,0,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,AM8219,2,,Phylloscopus collybita,13110,30/12/07,----,3,0,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,AM8220,2,,Cisticola juncidis,12260,30/12/07,----,2,0,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,N654944,2,,Phoenicurus ochruros,11210,30/12/07,----,3,0,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,N654945,2,,Erithacus rubecula,10990,30/12/07,----,3,0,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,N654946,2,,Anthus pratensis,10110,30/12/07,----,3,0,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,2A166079,2,,Sylvia atricapilla,12770,30/12/07,----,3,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,2A166080,2,,Sylvia atricapilla,12770,30/12/07,----,3,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,2A166081,2,,Sylvia atricapilla,12770,30/12/07,----,3,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,M,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,5100320,3,,Gallinula chloropus,04240,26/12/07,8:00,4,0,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,5100321,3,,Gallinula chloropus,04240,26/12/07,8:00,4,0,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,5100322,3,,Gallinula chloropus,04240,26/12/07,8:00,3,0,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,6158262,2,,Anas clypeata,01940,26/12/07,8:00,3,1,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,7096642,2,,Fulica atra,04290,26/12/07,8:00,2,0,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,7096643,2,,Fulica atra,04290,26/12/07,8:00,4,0,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,7096644,2,,Fulica atra,04290,26/12/07,8:00,2,0,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,7096645,2,,Fulica atra,04290,26/12/07,8:00,2,0,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,7096646,2,,Fulica atra,04290,26/12/07,8:00,3,0,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,7096647,2,,Fulica atra,04290,26/12/07,8:00,4,0,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,7096648,2,,Anas platyrhynchos,01860,26/12/07,8:00,3,1,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,7096649,2,,Anas platyrhynchos,01860,26/12/07,8:00,3,1,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660133,OSCAR GONZALEZ JARRI,7096650,2,,Anas platyrhynchos,01860,26/12/07,8:00,3,1,U,Cañada de los Pajaros,,ES66184,,,F2,W,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,N,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7825,2,,Serinus serinus,16400,24/12/07,----,3,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7826,2,,Serinus serinus,16400,24/12/07,----,3,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7827,2,,Serinus serinus,16400,24/12/07,----,3,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7828,2,,Serinus serinus,16400,24/12/07,----,3,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7829,2,,Serinus serinus,16400,24/12/07,----,4,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7830,2,,Serinus serinus,16400,24/12/07,----,4,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7831,2,,Serinus serinus,16400,24/12/07,----,4,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7832,2,,Serinus serinus,16400,24/12/07,----,3,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7833,2,,Serinus serinus,16400,24/12/07,----,2,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7834,2,,Serinus serinus,16400,24/12/07,----,3,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
