MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones,FECHA
C,4032193,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,5,3,2005,Cordoba,Cordoba,Cordoba,A,1.0,CREA,,,,,,,,3139.0,153.0,muerto,03/05/2005
A,4032457,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,25,6,1992,Mairena del Alcor,Mairena del Alcor,Sevilla,4,1.0,EBD,,,,,,,,,,anillamiento,06/25/1992
C,4032457,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,1,3,1996,La Ruana,Alcala de Guadaira,Sevilla,A,1.0,EBD,,,,,,,,1331.0,10.0,muerto,03/01/1996
A,4041086,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,18,7,1993,Cortijo La Verea,Ecija ,Sevilla,1,1.0,E. Gomez,,,,,,,,,,anillamiento,07/18/1993
C,4041086,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,3,4,1995,Castillo de la Luna,Alcala de Guadaira,Sevilla,7,1.0,M. De la Riva,,,,,,,,,,control,04/03/1995
C,4041086,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,7,6,1996,Hacienda Soledad,Alcala de Guadaira,Sevilla,9,1.0,M. De la Riva,,,,,,,,,,control,06/07/1996
A,4055169,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,1,7,1996,Carmona,Carmona,Sevilla,1,0.0,M. De la Riva,,,,,,,,,,anillamiento,07/01/1996
C,4055169,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,15,5,1998,Alcala de Guadaira,Alcala de Guadaira,Sevilla,7,0.0,Zamalla,,,,,,,,684.0,24.0,muerto,05/15/1998
A,4085046,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,20,6,1999,Iglesia de San Miguel,Moron de la Frontera,Sevilla,1,2.0,EBD,,,,,,,,,,anillamiento,06/20/1999
C,4085046,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,23,7,1999,El Arahal,El Arahal,Sevilla,3,2.0,Particular,,,,,,,,34.0,18.0,control,07/23/1999
A,5029067,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,3,8,1995,Alcañiz,Alcañiz,Teruel,3,0.0,JM Gonzalez,,,,,,,,,,anillamiento,08/03/1995
C,5029067,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,17,8,1995,Huesca,Huesca,Huesca,3,0.0,Zamalla,,,,,,,,14.0,122.0,control,08/17/1995
A,5006591,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,30,6,1990,Gerena,Gerena,Sevilla,1,0.0,P. Parreño,,,,,,,,,,anillamiento,06/30/1990
C,5006591,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,31,12,1990,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0.0,M. Vazquez,,,,,,,,185.0,33.0,muerto,12/31/1990
A,5007066,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,22,6,1991,El Caracol,Carmona,Sevilla,1,0.0,J. Negro,,,,,,,,,,anillamiento,06/22/1991
C,5007066,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,15,6,1992,Dos Hermanas,Dos Hermanas,Sevilla,5,0.0,Zamalla,,,,,,,,359.0,37.0,muerto,06/15/1992
A,5007690,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,26,6,1994,Ecija,Ecija,Sevilla,1,0.0,Zamalla,,,,,,,,,,anillamiento,06/26/1994
C,5007690,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,13,1,1995,La Carlota,La Carlota,Cordoba,5,0.0,Particular,,,,,,,,201.0,18.0,muerto,01/13/1995
A,5007904,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,7,6,1991,Porzuna,Mairena del Aljarafe,Sevilla,4,2.0,M. Vazquez,,,,,,,,,,anillamiento,06/07/1991
C,5007904,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,12,7,1991,Sevilla,Sevilla,Sevilla,4,2.0,Particular,,,,,,,,35.0,9.0,control,07/12/1991
A,5007905,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,7,6,1991,Porzuna,Mairena del Aljarafe,Sevilla,3,0.0,M. Vazquez,,,,,,,,,,anillamiento,06/07/1991
C,5007905,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,12,7,1991,Sevilla,Sevilla,Sevilla,3,0.0,Particular,,,,,,,,35.0,9.0,control,07/12/1991
A,5010415,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,27,5,1993,Osuna,Osuna,Sevilla,1,0.0,Zamalla,,,,,,,,,,anillamiento,05/27/1993
C,5010415,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,10,9,1993,Sevilla,Sevilla,Sevilla,3,0.0,Particular,,,,,,,,106.0,80.0,control,09/10/1993
A,5010519,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,28,5,1993,El Rubio,El Rubio,Sevilla,1,0.0,Zamalla,,,,,,,,,,anillamiento,05/28/1993
C,5010519,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,25,6,1993,Sevilla,Sevilla,Sevilla,3,0.0,AMA,,,,,,,,,,control,06/25/1993
A,5012671,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,23,5,1998,Marinaleda,Marinaleda,Sevilla,1,2.0,Zamalla,,,,,,,,,,anillamiento,05/23/1998
C,5012671,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,8,1,2004,Castuera,Castuera,Badajoz,A,0.0,Ciconia,,,,,,,,2056.0,165.0,muerto,01/08/2004
A,5013455,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,13,6,1996,Los Picaso,Ecija,Sevilla,1,0.0,Zamalla,,,,,,,,,,anillamiento,06/13/1996
C,5013455,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,15,4,1998,Ribera baja,Puente Genil,Cordoba,7,0.0,Particular,,,,,,,,671.0,31.0,control,04/15/1998
A,5067532,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,31,7,2000,Olivares,Olivares,Sevilla,3,2.0,SEO Sevilla,,,,,,,,,,anillamiento,07/31/2000
C,5067532,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,16,8,2000,San Juan de Aznalfarache,San Juan de Aznalfarache,Sevilla,3,2.0,M. Vazquez,,,,,,,,16.0,13.0,control,08/16/2000
A,5080030,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,20,3,2004,Brazo del Este,Puebla del Rio,Sevilla,6,2.0,M. Vazquez,,,,,,,,,,anillamiento,03/20/2004
C,5080030,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,16,1,2005,Dos Hermanas,Dos Hermanas,Sevilla,2,0.0,CREA,,,,,,,,302.0,24.0,control,01/16/2005
A,5087906,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,12,7,2004,Villaviciosa de Odon,Villaviciosa de Odon,Madrid,3,0.0,Halcyon,,,,,,,,,,anillamiento,07/12/2004
C,5087906,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,1,10,2005,Cantillana,Cantillana,Sevilla,5,0.0,M. Vazquez,,,,,,,,446.0,344.0,control,10/01/2005
A,5103435,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,29,10,2006,El Cochinato PND,Almonte,Huelva,3,2.0,JL. Valle,,,,,,,,,,anillamiento,10/29/2006
C,5103435,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,9,1,2007,Aznalcazar,Aznalcazar,Sevilla,5,2.0,M. Vazquez,,,,,,,,293.0,18.0,control,01/09/2007
A,5013463,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,21,11,2006,El Cochinato PND,Almonte,Huelva,5,2.0,JL. Valle,,,,,,,,,,anillamiento,11/21/2006
C,5013463,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,1,12,2006,Aznalcazar,Aznalcazar,Sevilla,5,2.0,M. Vazquez,,,,,,,,10.0,18.0,control,12/01/2006
A,7021706,Western Swamphen,Porphyrio porphyrio,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",28,7,1988,Caño Travieso PND,Aznalcazar,Sevilla,1,0.0,A. Herrera,,,,,,,,,,anillamiento,07/28/1988
C,7021706,Western Swamphen,Porphyrio porphyrio,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,12,1988,Isla Mayor,Isla Mayor,Sevilla,3,0.0,LEO BIAGGI,,,,,,,,,,control,12/15/1988
A,7022054,Western Swamphen,Porphyrio porphyrio,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",21,7,1988,Caño Travieso PND,Aznalcazar,Sevilla,1,0.0,A. Herrera,,,,,,,,,,anillamiento,07/21/1988
C,7022054,Western Swamphen,Porphyrio porphyrio,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",10,11,1988,Veta La Palma,Puebla del Rio,Sevilla,3,0.0,LEO BIAGGI,,,,,,,,,,control,11/10/1988
A,7040792,Western Swamphen,Porphyrio porphyrio,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",29,8,1991,Laguna de Medina,Jerez de la Frontera,Cadiz,3,0.0,LEO BIAGGI,,,,,,,,,,anillamiento,08/29/1991
C,7040792,Western Swamphen,Porphyrio porphyrio,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",1,9,1991,Los Barrios,Los Barrios,Cadiz,3,0.0,Particular,,,,,,,,2.0,79.0,muerto,09/01/1991
A,5001340,Eurasian Moorhen,Gallinula chloropus,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",29,6,1987,PN Doñana,Almonte,Huelva,3,0.0,PND,,,,,,,,,,anillamiento,06/29/1987
C,5001340,Eurasian Moorhen,Gallinula chloropus,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,12,1989,Isla Mayor,Isla Mayor,Sevilla,7,0.0,LEO BIAGGI,,,,,,,,896.0,33.0,control,12/15/1989
A,B00511,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",20,6,1984,Aznalcazar,Aznalcazar,Sevilla,1,0.0,EBD,,,,,,,,,,anillamiento,06/20/1984
C,B00511,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,1,1987,Salinas de Bonanza,Sanlucar de Barrameda,Cadiz,9,0.0,LEO BIAGGI,,,,,,,,,,control,01/15/1987
A,B09846,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",25,6,1985,Las Nuevas PND,Aznalcazar,Sevilla,1,0.0,PND,,,,,,,,,,anillamiento,06/25/1985
C,B09846,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",28,2,1987,Isla Mayor,Isla Mayor,Sevilla,7,0.0,LEO BIAGGI,,,,,,,,613.0,90.0,control,02/28/1987
A,DE11287,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",27,5,1973,El Desierto PND,Hinojos,Huelva,1,0.0,M. Espinar,,,,,,,,,,anillamiento,05/27/1973
C,DE11287,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0.0,LEO BIAGGI,,,,,,,,,,muerto,12/15/1989
A,DE26518,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,5,1984,Caño Travieso PND,Aznalcazar,Sevilla,4,0.0,A. Herrera,,,,,,,,,,anillamiento,05/15/1984
C,DE26518,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,10,1986,Salinas de Bonanza,Sanlucar de Barrameda,Cadiz,4,0.0,LEO BIAGGI,,,,,,,,,,control,10/15/1986
A,SE17585,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",2,6,1970,Lucio de Marilopez PND,Aznalcazar,Sevilla,1,0.0,EBD,,,,,,,,,,anillamiento,06/02/1970
C,SE17585,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",1,1,1980,Antequera,Antequera,Malaga,A,0.0,M. Vazquez,,,,,,,,3500.0,153.0,muerto,01/01/1980
A,7003177,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",23,7,1985,Caño Cardales PND,Hinojos,Huelva,4,1.0,P. Clarita,,,,,,,,,,anillamiento,07/23/1985
C,7003177,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",16,10,1986,Salinas de Bonanza,Sanlucar de Barrameda,Cadiz,6,0.0,LEO BIAGGI,,,,,,,,,,control,10/16/1986
A,7006854,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",2,8,1986,Isla Mayor,Isla Mayor,Sevilla,3,0.0,LEO BIAGGI,,,,,,,,,,anillamiento,08/02/1986
C,7006854,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",7,8,1988,Lucio de Cangrejo Chico,Aznalcazar,Sevilla,2,0.0,PND,,,,,,,,,,muerto,08/07/1988
A,7006879,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,10,1986,Lucio del Bolin PND,Almonte,Huelva,4,0.0,LEO BIAGGI,,,,,,,,,,anillamiento,10/15/1986
C,7006879,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",20,11,1986,Lucio de Cangrejo ,Aznalcazar,Sevilla,4,0.0,PND,,,,,,,,,,muerto,11/20/1986
A,7006937,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",2,11,1989,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0.0,LEO BIAGGI,,,,,,,,,,anillamiento,11/02/1989
C,7006937,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",1,8,1994,San Roque,San Roque,Huelva,2,0.0,PND,,,,,,,,1733.0,131.0,control,08/01/1994
A,7007366,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,6,1986,PN Doñana,Almonte,Huelva,1,0.0,PND,,,,,,,,,,anillamiento,06/15/1986
C,7007366,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,9,1988,Puebla del Rio,Puebla del Rio,Sevilla,2,0.0,LEO BIAGGI,,,,,,,,890.0,49.0,control,09/15/1988
A,7007585,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,6,1986,Las Nuevas PND,Aznalcazar,Sevilla,1,0.0,PND,,,,,,,,,,anillamiento,06/15/1986
C,7007585,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,10,1986,Salinas de Bonanza,Sanlucar de Barrameda,Cadiz,3,0.0,LEO BIAGGI,,,,,,,,,,control,10/15/1986
A,7007684,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",29,6,1986,Las Nuevas PND,Aznalcazar,Sevilla,1,0.0,PND,,,,,,,,,,anillamiento,06/29/1986
C,7007684,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,7,1986,Compuerta del Cherri,Aznalcazar,Sevilla,3,0.0,LEO BIAGGI,,,,,,,,,,muerto,07/15/1986
A,7009010,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",14,7,1985,Las Nuevas PND,Aznalcazar,Sevilla,1,0.0,LEO BIAGGI,,,,,,,,,,anillamiento,07/14/1985
C,7009010,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",2,10,1985,Las Cabezas de San Juan,Las Cabezas de San Juan,Sevilla,3,0.0,Particular,,,,,,,,102.0,138.0,control,10/02/1985
A,7012623,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",7,6,1986,Lucio de Marilopez PND,Aznalcazar,Sevilla,1,0.0,P. Clarita,,,,,,,,,,anillamiento,06/07/1986
C,7012623,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",5,7,1987,Lucio de Cangrejo ,Aznalcazar,Sevilla,5,0.0,LEO BIAGGI,,,,,,,,,,control,07/05/1987
A,7014552,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",6,6,1987,Lucio de Marilopez PND,Aznalcazar,Sevilla,1,0.0,P. Clarita,,,,,,,,,,anillamiento,06/06/1987
C,7014552,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,5,0.0,LEO BIAGGI,,,,,,,,,,control,11/15/1988
A,7015352,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,7,1987,Caño Guadiamar PND,Aznalcazar,Sevilla,6,0.0,P. Clarita,,,,,,,,,,anillamiento,07/15/1987
C,7015352,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,2,0.0,LEO BIAGGI,,,,,,,,,,control,12/15/1989
A,7017308,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",1,7,1987,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0.0,LEO BIAGGI,,,,,,,,,,anillamiento,07/01/1987
C,7017308,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",5,7,1987,Lucio de Cangrejo ,Aznalcazar,Sevilla,3,0.0,PND,,,,,,,,,,muerto,07/05/1987
A,7021619,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",14,7,1988,Lucio del Aro PND,Aznalcazar,Sevilla,1,0.0,A. Herrera,,,,,,,,,,anillamiento,07/14/1988
C,7021619,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,12,1988,Isla Mayor,Isla Mayor,Sevilla,3,0.0,Particular,,,,,,,,,,control,12/15/1988
A,7027282,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,7,1988,PN Doñana,Almonte,Huelva,1,0.0,PND,,,,,,,,,,anillamiento,07/15/1988
C,7027282,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",10,11,1988,Veta La Palma,Puebla del Rio,Sevilla,3,0.0,LEO BIAGGI,,,,,,,,,,control,11/10/1988
A,7027286,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,7,1988,PN Doñana,Almonte,Huelva,1,0.0,PND,,,,,,,,,,anillamiento,07/15/1988
C,7027286,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,3,0.0,LEO BIAGGI,,,,,,,,,,control,11/15/1988
A,7038031,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",17,2,2003,Laguna del Gobierno,La Lantejuela,Sevilla,2,0.0,M. Vazquez,,,,,,,,,,anillamiento,02/17/2003
C,7038031,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",29,11,2003,L´Encanyissada,Amposta,Tarragona,2,0.0,ICO,,,,,,,,285.0,625.0,control,11/29/2003
A,7039940,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",1,6,1999,Entremuros,Puebla del Rio,Sevilla,5,2.0,EBD,,,,,,,,,,anillamiento,06/01/1999
C,7039940,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",17,9,1999,Los Olivillos,Puebla del Rio,Sevilla,2,0.0,CREA,,,,,,,,108.0,10.0,control,09/17/1999
A,7044247,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",11,10,1993,Cañada de los Pajaros,Puebla del Rio,Sevilla,4,2.0,LEO BIAGGI,,,,,,,,,,anillamiento,10/11/1993
C,7044247,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",24,10,1993,Camas,Camas,Sevilla,2,0.0,Particular,,,,,,,,13.0,15.0,muerto,10/24/1993
A,7060092,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",25,11,2001,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,1.0,EBD,,,,,,,,,,anillamiento,11/25/2001
C,7060092,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",25,8,2006,El Portil,Punta Umbria,Huelva,2,0.0,Particular,,,,,,,,1734.0,79.0,muerto,08/25/2006
A,7065250,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",25,7,2002,Veta La Palma,Puebla del Rio,Sevilla,4,0.0,L. Garcia,,,,,,,,,,anillamiento,07/25/2002
C,7065250,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",5,5,2005,Trebujena,Trebujena,Cadiz,2,0.0,M. Vazquez,,,,,,,,1012.0,26.0,control,05/05/2005
A,2374331,Kentish Plover,Charadrius alexandrinus,Charadriidae (Plovers and Lapwings),Charadriiformes,Shorebirds,18,5,1992,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,2,1.0,J. Aguilar,,,,,,,,,,anillamiento,05/18/1992
C,2374331,Kentish Plover,Charadrius alexandrinus,Charadriidae (Plovers and Lapwings),Charadriiformes,Shorebirds,7,9,1999,Salina del Pilar,Puerto Real,Cadiz,4,0.0,M. Vazquez,,,,,,,,,,control,09/07/1999
A,T007749,Kentish Plover,Charadrius alexandrinus,Charadriidae (Plovers and Lapwings),Charadriiformes,Shorebirds,17,8,1996,Marismas del Odiel,Huelva,Huelva,4,0.0,M. Vazquez,,,,,,,,,,anillamiento,08/17/1996
C,T007749,Kentish Plover,Charadrius alexandrinus,Charadriidae (Plovers and Lapwings),Charadriiformes,Shorebirds,6,7,1998,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,4,0.0,J. Aguilar,,,,,,,,,,muerto,07/06/1998
A,T018074,Kentish Plover,Charadrius alexandrinus,Charadriidae (Plovers and Lapwings),Charadriiformes,Shorebirds,10,6,1997,Reserva de Puerto Real,Puerto Real,Cadiz,1,0.0,GEAM,,,,,,,,,,anillamiento,06/10/1997
C,T018074,Kentish Plover,Charadrius alexandrinus,Charadriidae (Plovers and Lapwings),Charadriiformes,Shorebirds,15,11,1997,Puebla del Rio,Puebla del Rio,Sevilla,3,0.0,M. Vazquez,,,,,,,,,,control,11/15/1997
A,T027309,Kentish Plover,Charadrius alexandrinus,Charadriidae (Plovers and Lapwings),Charadriiformes,Shorebirds,26,5,1999,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,2,0.0,J. Aguilar,,,,,,,,,,anillamiento,05/26/1999
C,T027309,Kentish Plover,Charadrius alexandrinus,Charadriidae (Plovers and Lapwings),Charadriiformes,Shorebirds,6,7,1999,Caño Navarro,Coria del Rio,Sevilla,2,0.0,M. Vazquez,,,,,,,,,,control,07/06/1999
