MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones,FECHA
A,7040808,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,29,7,1991,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,1.0,P.Rodriguez,,,,,,,,,,anillamiento,07/29/1991
C,7040808,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,11,1991,Aznalcazar,Aznalcazar,Sevilla,3,0.0,M.Vazquez,,,,,,,,,,control,11/15/1991
A,7044832,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,14,7,1999,RB Doñana,Almonte,Huelva,5,1.0,JL. Arroyo,,,,,,,,,,anillamiento,07/14/1999
C,7044832,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,12,2004,Trebujena,Trebujena,Cadiz,A,0.0,M.Vazquez,,,,,,,,1981.0,24.0,control,12/15/2004
A,7044879,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,8,1999,Laguna del Gobierno,Lantejuela,Sevilla,4,2.0,M.Vazquez,,,,,,,,,,anillamiento,08/15/1999
C,7044879,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,3,9,1999,Brazo del Este,Puebla del Rio,Sevilla,4,2.0,CREA,,,,,,,,19.0,75.0,control,09/03/1999
A,7045293,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,22,7,1999,Veta La Palma,Puebla del Rio,Sevilla,5,1.0,JL. Arroyo,,,,,,,,,,anillamiento,07/22/1999
C,7045293,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,5,5,2005,Trebujena,Trebujena,Cadiz,A,0.0,M.Vazquez,,,,,,,,2114.0,26.0,muerto,05/05/2005
A,7051751,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,29,7,1998,El Acebuche,Almonte,Huelva,4,1.0,PND,,,,,,,,,,anillamiento,07/29/1998
C,7051751,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,5,5,2005,Trebujena,Trebujena,Cadiz,A,0.0,M.Vazquez,,,,,,,,2472.0,24.0,muerto,05/05/2005
