"MODO","METAL","NOMBRE_COMUN","ESPECIE","FAMILIA","ORDEN","GRUPO","DIA","MES","AÑO","LOCALIDAD","PAIS","EDAD","SEXO","ANILLADOR","Grasa","Ala","peso","tarso","pico","cola","Hora","Dias","Kms","Observaciones","FECHA","LATITUD","LONGITUD"
"A","DA124455","Eurasian Marsh-Harrier","Circus aeruginosus","Accipitridae (Hawks, Eagles, and Kites)","Accipitriformes","Vultures, Hawks, and Allies",18,7,1999,"Lachaussee, Meuse","Francia","1",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","07/18/1999",49.037017,5.819599
"C","DA124455","Eurasian Marsh-Harrier","Circus aeruginosus","Accipitridae (Hawks, Eagles, and Kites)","Accipitriformes","Vultures, Hawks, and Allies",5,1,2000,"El Cuervo, Lebrija, Sevilla","España","5",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,171,1651,"muerto","01/05/2000",36.8527976,-6.0385235
"A","8090079","Eurasian Marsh-Harrier","Circus aeruginosus","Accipitridae (Hawks, Eagles, and Kites)","Accipitriformes","Vultures, Hawks, and Allies",28,6,1999,"Stjarnholm, Soderfjarden, Sodermanland","Suecia","1",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/28/1999",59.0336349,16.7518899
"C","8090079","Eurasian Marsh-Harrier","Circus aeruginosus","Accipitridae (Hawks, Eagles, and Kites)","Accipitriformes","Vultures, Hawks, and Allies",17,1,2000,"La Coronela, Marchena, Sevilla","España","5",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,203,2920,"muerto","01/17/2000",37.2636,-5.2834
"A","5007103","Eurasian Kestrel","Falco tinnunculus","Falconidae (Falcons and Caracaras)","Falconiformes","Falcons and Caracaras",5,11,1989,"La Tiesa, Villamanrique, Sevilla","España","4",2,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","11/05/1989",37.2450283,-6.307323
"C","5007103","Eurasian Kestrel","Falco tinnunculus","Falconidae (Falcons and Caracaras)","Falconiformes","Falcons and Caracaras",5,9,1991,"Heessen, Arnsberg","Alemania","8",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,670,1955,"muerto","09/05/1991",51.690813,7.8093353
"A","5010413","Eurasian Kestrel","Falco tinnunculus","Falconidae (Falcons and Caracaras)","Falconiformes","Falcons and Caracaras",27,5,1993,"Osuna, Sevilla","España","1",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","05/27/1993",37.2373642,-5.1033081
"C","5010413","Eurasian Kestrel","Falco tinnunculus","Falconidae (Falcons and Caracaras)","Falconiformes","Falcons and Caracaras",14,2,1994,"C. A. Safi","Marruecos","5",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,263,669,"muerto","02/14/1994",36.778261,-119.4179324
"A","3525390","Eurasian Kestrel","Falco tinnunculus","Falconidae (Falcons and Caracaras)","Falconiformes","Falcons and Caracaras",29,5,1996,"Vierhuizen, Groningen","Holanda","1",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","05/29/1996",53.3602891,6.2912261
"C","3525390","Eurasian Kestrel","Falco tinnunculus","Falconidae (Falcons and Caracaras)","Falconiformes","Falcons and Caracaras",1,3,1998,"La lantejuela, Sevilla","España","7",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,641,1988,"muerto","03/01/1998",37.3544458,-5.2227526
"A","S147492","Eurasian Kestrel","Falco tinnunculus","Falconidae (Falcons and Caracaras)","Falconiformes","Falcons and Caracaras",16,6,1994,"Lapua, Vaasa Vasa","Finlandia","1",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/16/1994",63.095089,21.6164564
"C","S147492","Eurasian Kestrel","Falco tinnunculus","Falconidae (Falcons and Caracaras)","Falconiformes","Falcons and Caracaras",15,1,1995,"Gerena, Sevilla","España","5",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,213,3441,"muerto","01/15/1995",37.5277916,-6.1540241
"A","S219957","Common Quail","Coturnix coturnix","Phasianidae (Pheasants, Grouse, and Allies)","Galliformes","Grouse, Quail, and Allies",10,7,1997,"Rio Marcellengo, Sommariva Bos, Cuneo","Italia","3",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","07/10/1997",44.770061,7.7833849
"C","S219957","Common Quail","Coturnix coturnix","Phasianidae (Pheasants, Grouse, and Allies)","Galliformes","Grouse, Quail, and Allies",16,8,1997,"Ayerbe, Huesca","España","3",1,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,37,739,"muerto","08/16/1997",42.2748623,-0.6879802
"A","S264664","Common Quail","Coturnix coturnix","Phasianidae (Pheasants, Grouse, and Allies)","Galliformes","Grouse, Quail, and Allies",23,8,1999,"Baroli, Baldissero D´Alba, Cuneo","Italia","3",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/23/1999",44.7788181,7.8606758
"C","S264664","Common Quail","Coturnix coturnix","Phasianidae (Pheasants, Grouse, and Allies)","Galliformes","Grouse, Quail, and Allies",5,12,2000,"Hinojos, Huelva","España","5",1,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,470,1462,"muerto","12/05/2000",37.1467738,-6.3864428
"A","7006954","Eurasian Coot","Fulica atra","Rallidae (Rails, Gallinules, and Coots)","Gruiformes","Rails, Gallinules, and Allies",9,8,1987,"Cañada de los Pajaros, Puebla del Rio, Sevilla","España","6",0,"LEO BIAGGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/09/1987",37.2385346,-6.129244
"C","7006954","Eurasian Coot","Fulica atra","Rallidae (Rails, Gallinules, and Coots)","Gruiformes","Rails, Gallinules, and Allies",30,12,1988,"Moulay, Bouselham","Marruecos","2",0,"Particular",NA,NA,NA,NA,NA,NA,NA,506,254,"control","12/30/1988",34.8826391,-6.2747734
"A","7044444","Eurasian Coot","Fulica atra","Rallidae (Rails, Gallinules, and Coots)","Gruiformes","Rails, Gallinules, and Allies",22,10,2004,"Cañada de los Pajaros, Puebla del Rio, Sevilla","España","4",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","10/22/2004",37.2385346,-6.129244
"C","7044444","Eurasian Coot","Fulica atra","Rallidae (Rails, Gallinules, and Coots)","Gruiformes","Rails, Gallinules, and Allies",8,1,2006,"Saintes Maries de la Mer, Bouches du Rhone","Francia","2",0,"Particular",NA,NA,NA,NA,NA,NA,NA,443,1139,"muerto","01/08/2006",43.453241,4.429074
"A","T0096060","Eurasian Oystercatcher","Haematopus ostralegus","Haematopodidae (Oystercatchers)","Charadriiformes","Shorebirds",25,8,1995,"Scanno di Gorino, Goro, Ferrara","Italia","6",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/25/1995",44.8420152,12.334852
"C","T0096060","Eurasian Oystercatcher","Haematopus ostralegus","Haematopodidae (Oystercatchers)","Charadriiformes","Shorebirds",8,12,2000,"Marismas del Odiel, Huelva","España","6",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","12/08/2000",37.2088292,-6.9672824
"A","IS000038","Northern Lapwing","Vanellus vanellus","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",25,5,1997,"E Taldom, Moskow","Rusia","2",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","05/25/1997",56.7308079,37.528331
"C","IS000038","Northern Lapwing","Vanellus vanellus","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",19,12,1998,"Alcolea del Rio, Sevilla","España","2",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,573,3821,"muerto","12/19/1998",37.6158112,-5.6681456
"A","OA81352","Common Ringed Plover","Charadrius hiaticula","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",20,7,2000,"Langenwerder, Neubrandenburg","Alemania","2",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","07/20/2000",53.5678292,13.2779269
"C","OA81352","Common Ringed Plover","Charadrius hiaticula","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",21,4,2001,"Lucio Poco abrigo, Puebla del Rio, Sevilla","España","4",2,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,270,2296,"control","04/21/2001",37.2694065,-6.063133
"A","T012081","Common Ringed Plover","Charadrius hiaticula","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",24,4,1998,"Lucio Poco abrigo, Puebla del Rio, Sevilla","España","4",1,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","04/24/1998",37.2694065,-6.063133
"C","T012081","Common Ringed Plover","Charadrius hiaticula","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",15,5,2000,"Seal Sands, Teesmoth, Cleveland","Gran Bretaña","4",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,752,1963,"control","05/15/2000",41.49932,-81.6943605
"A","BV74861","Common Ringed Plover","Charadrius hiaticula","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",3,5,1993,"Battlehill, Annan Dumfries, Galloway Region","Gran Bretaña","4",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","05/03/1993",54.990246,-3.259773
"C","BV74861","Common Ringed Plover","Charadrius hiaticula","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",9,4,1998,"Lucio Poco abrigo, Puebla del Rio, Sevilla","España","4",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,1802,1978,"control","04/09/1998",37.2694065,-6.063133
"A","3355448","Common Ringed Plover","Charadrius hiaticula","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",17,8,1987,"Sverige, Holand","Suecia","4",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/17/1987",60.128161,18.643501
"C","3355448","Common Ringed Plover","Charadrius hiaticula","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",26,9,1988,"Lucio Poco abrigo, Puebla del Rio, Sevilla","España","6",0,"M. Vazquez",2,128,NA,NA,NA,NA,NA,NA,NA,"control","09/26/1988",37.2694065,-6.063133
"A","RBJ","Kentish Plover","Charadrius alexandrinus","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",15,8,1994,"St Peter Ording, Northwest of Hamburg","Alemania","2",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/15/1994",54.3048043,8.6522205
"C","RBJ","Kentish Plover","Charadrius alexandrinus","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",21,8,1996,"Los Palacios, Sevilla","España","4",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","08/21/1996",37.1584636,-5.9244808
"A","6329130","European Golden-Plover","Pluvialis apricaria","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",7,8,1994,"Krummhorn, Weser Ems , Excep Islas","Alemania","4",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/07/1994",53.4356138,7.0972598
"C","6329130","European Golden-Plover","Pluvialis apricaria","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",15,1,2000,"Alcolea del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,1987,2060,"muerto","01/15/2000",37.6158112,-5.6681456
"A","1188551","European Golden-Plover","Pluvialis apricaria","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",21,11,1981,"Sexbierun, Friesland, Holland","Holanda","3",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","11/21/1981",53.2173164,5.4843741
"C","1188551","European Golden-Plover","Pluvialis apricaria","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",2,1,1983,"Isla Mayor, Sevilla","España","7",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,2016,"muerto","01/02/1983",37.1332508,-6.1658351
"A","1318634","European Golden-Plover","Pluvialis apricaria","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",11,11,1994,"Marrum Marrumer Mieden, Friesland","Holanda","4",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","11/11/1994",53.322673,5.8018778
"C","1318635","European Golden-Plover","Pluvialis apricaria","Charadriidae (Plovers and Lapwings)","Charadriiformes","Shorebirds",22,8,2003,"Pilas, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,3206,2010,"muerto","08/22/2003",37.3034383,-6.2986857
"A","M13577","Common Snipe","Gallinago gallinago","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",6,10,1992,"Bazolles, Nievre","Francia","3",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","10/06/1992",47.143557,3.617797
"C","M13577","Common Snipe","Gallinago gallinago","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",26,11,1994,"Isla Mayor, Sevilla","España","7",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,781,1352,"muerto","11/26/1994",37.1332508,-6.1658351
"A","E148856","Whimbrel","Numenius phaeopus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",24,4,1988,"Merksplas, Antwerpen, Amberes","Belgica","4",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","04/24/1988",51.3541789,4.8643467
"C","E148856","Whimbrel","Numenius phaeopus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",5,5,2005,"Trebujena, Cadiz","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,6220,1833,"muerto","05/05/2005",36.8704663,-6.1752377
"A","3269650","Black-tailed Godwit","Limosa limosa","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",11,6,1978,"Homnerts, Friesland","Holanda","1",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/11/1978",53.1641642,5.7817542
"C","3269650","Black-tailed Godwit","Limosa limosa","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",15,11,1981,"Isla Mayor, Sevilla","España","9",0,"LEO BIAGGI",NA,NA,NA,NA,NA,NA,NA,1235,1999,"muerto","11/15/1981",37.1332508,-6.1658351
"A","3340188","Black-tailed Godwit","Limosa limosa","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",15,5,1982,"Langezwaag, Friesland","Holanda","1",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","05/15/1982",52.9824148,6.0025602
"C","3340188","Black-tailed Godwit","Limosa limosa","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",15,12,1989,"Isla Mayor, Sevilla","España","A",0,"LEO BIAGGI",NA,NA,NA,NA,NA,NA,NA,2765,2007,"muerto","12/15/1989",37.1332508,-6.1658351
"A","4075446","Black-tailed Godwit","Limosa limosa","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",18,8,2001,"Salinas de Santa Teresa,Sanlucar de Barrameda, Cadiz","España","4",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/18/2001",36.38732,-6.1863774
"C","4075446","Black-tailed Godwit","Limosa limosa","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",8,5,2003,"Heiloo, Noord Holland","Holanda","4",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,628,1961,"muerto","05/08/2003",52.6012341,4.7004931
"A","3X23809","Common Sandpiper","Actitis hypoleucos","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",30,7,1986,"Fisriffoux, Namen","Belgica","2",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","07/30/1986",50.45198,4.77161
"C","3X23809","Common Sandpiper","Actitis hypoleucos","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",12,8,1986,"Chechaouen","Marruecos","2",0,"LEO BIAGGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"muerto","08/12/1986",35.168796,-5.2683641
"A","4364796","Green Sandpiper","Tringa ochropus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",8,7,2006,"Vadboden,Hornborgasjön, Västra Götaland","Suecia","2",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","07/08/2006",58.3228177,13.5504915
"C","4364796","Green Sandpiper","Tringa ochropus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",31,8,2006,"Laguna del Gobierno, Lantejuela,Sevilla","España","2",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,54,2691,"control","08/31/2006",37.3626595,-5.2270807
"A","1183521","Common Redshank","Tringa totanus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",1,6,1981,"Arkemeen, Gelderland","Holanda","1",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/01/1981",52.2366343,5.4185051
"C","1183521","Common Redshank","Tringa totanus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,3114,1916,"muerto","12/15/1989",37.2694065,-6.063133
"A","GE7646","Common Redshank","Tringa totanus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",17,4,1977,"Ile de Malprat, Biganos, Gironde","Francia","3",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","04/17/1977",44.655156,-1.022363
"C","GE7646","Common Redshank","Tringa totanus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",1,3,1981,"Salinas de Santa Teresa,Sanlucar de Barrameda, Cadiz","España","A",0,"LEO BIAGGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"muerto","03/01/1981",36.38732,-6.1863774
"A","4048242","Common Redshank","Tringa totanus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",14,9,1995,"Marismas del Odiel, Huelva","España","4",1,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","09/14/1995",37.2088292,-6.9672824
"C","4048242","Common Redshank","Tringa totanus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",9,5,1999,"Westerland, Nomerpolder, Noord Holland","Holanda","4",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,1333,2276,"control","05/09/1999",52.89157,4.9271036
"A","4068814","Common Redshank","Tringa totanus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",7,10,2002,"Salina del Pilar,Puerto Real, Cadiz","España","4",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","10/07/2002",36.5333349,-6.1969018
"C","4068814","Common Redshank","Tringa totanus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",19,6,2006,"Den Helder, Noord Holland","Holanda","A",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,1351,2015,"control","06/19/2006",52.9562808,4.7607972
"A","GA05607","Common Redshank","Tringa totanus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",22,8,1983,"Ujscie Redy, Gdansk","Polonia","3",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/22/1983",54.3708428,18.7768156
"C","GA05607","Common Redshank","Tringa totanus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",7,9,1999,"Salina del Pilar,Puerto Real, Cadiz","España","A",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,5860,2768,"control","09/07/1999",36.5333349,-6.1969018
"A","6283332","Spotted Redshank","Tringa erythropus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",26,8,1972,"Rieselfelder, DFFM Munster","Alemania","3",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/26/1972",51.9606649,7.6261347
"C","6283332","Spotted Redshank","Tringa erythropus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",15,1,1982,"Puebla del Rio, Sevilla","España","A",0,"LEO BIAGGI",NA,NA,NA,NA,NA,NA,NA,3429,1999,"muerto","01/15/1982",37.2694065,-6.063133
"A","4098815","Ruff","Calidris pugnax","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",3,8,2002,"Brazo del Este, Puebla del Rio, Sevilla","España","4",1,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/03/2002",37.2694065,-6.063133
"C","4098815","Ruff","Calidris pugnax","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",22,4,2005,"Cornwerd, Friesland","Holanda","4",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,966,1988,"control","04/22/2005",53.0832949,5.3907465
"A","GN04923","Red Knot","Calidris canutus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",30,7,1992,"Rewa, Kosakowo, Gdansk","Polonia","4",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","07/30/1992",54.6308248,18.4968393
"C","GN04923","Red Knot","Calidris canutus","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",4,5,1998,"Salinas de Bonanza,Sanlucar de Barrameda, Cadiz","España","4",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,2104,2740,"control","05/04/1998",36.8758425,-6.3435859
"A","KT13737","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",27,7,1988,"Sappi, Turku Pori, Abo Bjorneborg","Finlandia","6",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","07/27/1988",61.4851393,21.7974178
"C","KT13737","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",20,11,1988,"Lucio del Italiano, Puebla del Rio, Sevilla","España","4",0,"LEO BIAGGI",NA,NA,NA,NA,NA,NA,NA,113,3295,"muerto","11/20/1988",37.2694065,-6.063133
"A","T007228","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",24,9,1995,"Marismas del Odiel, Huelva","España","3",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","09/24/1995",37.2088292,-6.9672824
"C","T007228","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",27,8,1996,"Tipperme, Jylland","Dinamarca","5",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,338,2360,"control","08/27/1996",56.029287,9.3358228
"A","T013291","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",19,8,1998,"Salina del Pilar,Puerto Real, Cadiz","España","3",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/19/1998",36.5333349,-6.1969018
"C","T013291","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",2,8,2003,"Admiral´S Farm, Norfolk","Gran Bretaña","A",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,1809,1877,"control","08/02/2003",52.6139686,0.8864021
"A","T027624","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",15,9,2001,"Salinas de Santa Teresa,Sanlucar de Barrameda, Cadiz","España","4",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","09/15/2001",36.38732,-6.1863774
"C","T027624","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",1,4,2003,"Res Nat de Moeze, Charente Maritime","Francia","4",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,563,1110,"control","04/01/2003",45.910503,-1.037033
"A","NR44714","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",14,7,1993,"Seal Sands, Teesmoth, Cleveland","Gran Bretaña","4",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","07/14/1993",41.49932,-81.6943605
"C","NR44714","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",18,1,1999,"Salina del Pilar,Puerto Real, Cadiz","España","4",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,2014,2045,"control","01/18/1999",36.5333349,-6.1969018
"A","NR47760","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",13,5,1998,"Biggar Bank, Walney Islands, Cumbria","Gran Bretaña","6",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","05/13/1998",54.0911487,-3.2600031
"C","NR47760","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",14,5,1999,"Salina del Pilar,Puerto Real, Cadiz","España","4",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,366,1963,"control","05/14/1999",36.5333349,-6.1969018
"A","NR60648","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",10,5,1994,"North Gare Sands, Teesmooth, Cleveland","Gran Bretaña","6",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","05/10/1994",41.49932,-81.6943605
"C","NR60648","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",7,9,1999,"Salina del Pilar,Puerto Real, Cadiz","España","4",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,1946,2047,"control","09/07/1999",36.5333349,-6.1969018
"A","NR78854","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",24,8,1996,"Seal Sands, Teesmoth, Cleveland","Gran Bretaña","3",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/24/1996",41.49932,-81.6943605
"C","NR78854","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",12,9,1999,"Salina del Pilar,Puerto Real, Cadiz","España","9",0,"Zamalla",NA,NA,NA,NA,NA,NA,NA,1114,2045,"control","09/12/1999",36.5333349,-6.1969018
"A","NS54701","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",11,5,1996,"Waterfoot, Dumfries, Galloway Region","Gran Bretaña","6",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","05/11/1996",55.070859,-3.60512
"C","NS54701","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",24,4,1998,"Lucio Poco abrigo, Puebla del Rio, Sevilla","España","4",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,713,1978,"control","04/24/1998",37.2694065,-6.063133
"A","C8628956","Dunlin","Calidris alpina","Scolopacidae (Sandpipers and Allies)","Charadriiformes","Shorebirds",6,10,1997,"Jomfruland, Kragero, Telenark","Noruega","3",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","10/06/1997",58.8428406,9.5664083
