"MODO","METAL","NOMBRE_COMUN","ESPECIE","FAMILIA","ORDEN","GRUPO","DIA","MES","AÑO","LOCALIDAD","PAIS","EDAD","SEXO","ANILLADOR","Grasa","Ala","peso","tarso","pico","cola","Hora","Dias","Kms","Observaciones","FECHA","LATITUD","LONGITUD"
"A","BA19341","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",3,7,1994,"Slibraken, Vega, Nordland","Noruega","4",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","07/03/1994",65.7085295,11.5032951
"C","BA19341","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",21,10,2005,"Cañada de los Pajaros, Puebla del Rio, Sevilla","España","A",2,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,4128,3375,"control","10/21/2005",37.2385346,-6.129244
"A","241629","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",17,7,1997,"Vallsjoen, Vega, Nordland","Noruega","1",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","07/17/1997",66.7952956,13.5037522
"C","241629","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",12,12,2000,"Sanlucar de Barrameda, Cadiz","España","9",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,1244,3423,"muerto","12/12/2000",36.7725774,-6.3529689
"A","9226992","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",29,6,1986,"Sverigen, M Skame, Malmohus","Suecia","6",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/29/1986",55.9902572,13.5957692
"C","9226992","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,1,1988,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,566,2498,"muerto","01/15/1988",37.2694065,-6.063133
"A","9233013","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",4,6,1989,"Borringesjon, Malmohus","Suecia","4",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/04/1989",55.4758926,13.3099815
"C","9233013","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",3,2,2000,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,3896,2494,"muerto","02/03/2000",37.2694065,-6.063133
"A","WA06240","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",2,6,1994,"Rez ST Milickie, Kompl. Stawno., Wroclaw","Polonia","4",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/02/1994",51.1078852,17.0385376
"C","WA06240","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",1,1,1995,"Puebla del Rio, Sevilla","España","6",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,213,2487,"muerto","01/01/1995",37.2694065,-6.063133
"A","208519","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",9,5,1974,"Guelper, See Neubranderburg","Alemania","2",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","05/09/1974",52.7376486,12.2516128
"C","208519","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1987,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,2606,2231,"muerto","12/15/1987",37.2694065,-6.063133
"A","208740","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",3,9,1975,"Trent, Rostock","Alemania","3",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","09/03/1975",54.0924406,12.0991466
