MODO,METAL,ESPECIE,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple
A,7021233,Anas platyrhynchos,19,7,1987,Caño Travieso PND,Aznalcazar,Sevilla,1,0,EBD,NA,NA,Anillamiento,1987-07-19,anillamiento
C,7021233,Anas platyrhynchos,29,6,2005,Trebujena,Trebujena,Cadiz,A,0,M.Vazquez,6555,24,Cazada escopeta solo anilla,2005-06-29,muerto
A,7021546,Anas platyrhynchos,9,7,1988,Caño Cardales PND,Aznalcazar,Sevilla,1,0,A. Herrera,NA,NA,Anillamiento,1988-07-09,anillamiento
C,7021546,Anas platyrhynchos,5,5,2005,Trebujena,Trebujena,Cadiz,A,0,M.Vazquez,6144,24,Cazada escopeta solo anilla,2005-05-05,muerto
A,7025600,Anas platyrhynchos,6,11,1987,La Fao PND,Aznalcazar,Sevilla,2,0,PND,NA,NA,Anillamiento,1987-11-06,anillamiento
C,7025600,Anas platyrhynchos,15,12,2004,Trebujena,Trebujena,Cadiz,A,0,M.Vazquez,6249,27,Cazada escopeta solo anilla,2004-12-15,muerto
A,7040808,Anas platyrhynchos,29,7,1991,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,1,P.Rodriguez,NA,NA,Anillamiento,1991-07-29,anillamiento
C,7040808,Anas platyrhynchos,15,11,1991,Aznalcazar,Aznalcazar,Sevilla,3,0,M.Vazquez,NA,NA,Cazada escopeta,1991-11-15,muerto
A,7044832,Anas platyrhynchos,14,7,1999,RB Doñana,Almonte,Huelva,5,1,JL. Arroyo,NA,NA,Anillamiento,1999-07-14,anillamiento
C,7044832,Anas platyrhynchos,15,12,2004,Trebujena,Trebujena,Cadiz,A,0,M.Vazquez,1981,24,Cazada escopeta,2004-12-15,muerto
A,7044879,Anas platyrhynchos,15,8,1999,Laguna del Gobierno,Lantejuela,Sevilla,4,2,M.Vazquez,NA,NA,Anillamiento,1999-08-15,anillamiento
C,7044879,Anas platyrhynchos,3,9,1999,Brazo del Este,Puebla del Rio,Sevilla,4,2,CREA,19,75,Encontrada enferma y liberada en buen estado,1999-09-03,control
A,7045293,Anas platyrhynchos,22,7,1999,Veta La Palma,Puebla del Rio,Sevilla,5,1,JL. Arroyo,NA,NA,Anillamiento,1999-07-22,anillamiento
C,7045293,Anas platyrhynchos,5,5,2005,Trebujena,Trebujena,Cadiz,A,0,M.Vazquez,2114,26,Cazada escopeta solo anilla,2005-05-05,muerto
A,7051751,Anas platyrhynchos,29,7,1998,El Acebuche,Almonte,Huelva,4,1,PND,NA,NA,Anillamiento,1998-07-29,anillamiento
C,7051751,Anas platyrhynchos,5,5,2005,Trebujena,Trebujena,Cadiz,A,0,M.Vazquez,2472,24,Cazada escopeta solo anilla,2005-05-05,muerto
A,7056853,Anas platyrhynchos,31,10,1999,Veta La Palma,Puebla del Rio,Sevilla,4,1,I. Barroso,NA,NA,Anillamiento,1999-10-31,anillamiento
C,7056853,Anas platyrhynchos,15,6,2005,Trebujena,Trebujena,Cadiz,A,0,M.Vazquez,2054,26,Cazada escopeta solo anilla,2005-06-15,muerto
A,7057927,Anas platyrhynchos,6,8,1999,Veta La Palma,Puebla del Rio,Sevilla,6,1,EBD,NA,NA,Anillamiento,1999-08-06,anillamiento
C,7057927,Anas platyrhynchos,15,11,2002,Bonanza,Sanlucar de Barrameda,Cadiz,A,0,M.Vazquez,1197,45,Cazada escopeta,2002-11-15,muerto
A,7057985,Anas platyrhynchos,5,8,1999,Veta La Palma,Puebla del Rio,Sevilla,6,2,L. Garcia,NA,NA,Anillamiento,1999-08-05,anillamiento
C,7057985,Anas platyrhynchos,15,11,2004,Trebujena,Trebujena,Cadiz,A,0,M.Vazquez,1929,26,Cazada escopeta,2004-11-15,muerto
A,7059054,Anas platyrhynchos,10,9,1999,PN Tablas de Daimiel,Daimiel,Ciudad Real,4,1,GO Alcazar,NA,NA,Anillamiento,1999-09-10,anillamiento
C,7059054,Anas platyrhynchos,9,6,2006,Alcolea del Rio,Alcolea del Rio,Sevilla,A,0,M.Vazquez,2464,238,Cazada escopeta,2006-06-09,muerto
A,7060401,Anas platyrhynchos,7,10,2002,Laguna del Gobierno,Lantejuela,Sevilla,4,1,M.Vazquez,NA,NA,Anillamiento,2002-10-07,anillamiento
C,7060401,Anas platyrhynchos,15,1,2003,Marchena,Marchena,Sevilla,6,1,Particular,100,12,Encontrado muerto,2003-01-15,muerto
A,9045353,Ardea cinerea,23,5,2006,Zalamea La Real,Zalamea La Real,Huelva,1,0,R. Olivares,NA,NA,Anillamiento,2006-05-23,anillamiento
C,9045353,Ardea cinerea,29,8,2006,Moguer,Moguer,Huelva,3,0,M.Vazquez,98,50,Encontrado muerto,2006-08-29,muerto
A,SE10612,Ardea purpurea,21,6,1968,Las Nuevas PND,Doñana,Huelva,1,0,M.Vazquez,NA,NA,Anillamiento,1968-06-21,anillamiento
C,SE10612,Ardea purpurea,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Particular,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,6067827,Bubulcus ibis,2,7,1993,Casa Torres,Zorita,Caceres,1,0,Catedra de Vertebrados,NA,NA,Anillamiento,1993-07-02,anillamiento
C,6067827,Bubulcus ibis,15,2,1999,Moralejo,Estepa,Sevilla,A,0,M.Vazquez,2054,233,Encontrado muerto,1999-02-15,muerto
A,F10080,Bubulcus ibis,20,6,1974,Campanario,Campanario,Badajoz,1,0,Museo Ciencias,NA,NA,Anillamiento,1974-06-20,anillamiento
C,F10080,Bubulcus ibis,1,1,1994,Aracena,Aracena,Huelva,A,0,Cazador,7129,135,Cazada escopeta solo anilla,1994-01-01,muerto
A,9025091,Ciconia ciconia,21,7,2006,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0,P.Rodriguez,NA,NA,Anillamiento,2006-07-21,anillamiento
C,9025091,Ciconia ciconia,15,1,2007,Chliclana de la Frontera,Chliclana de la Frontera,Cadiz,5,0,M.Vazquez,187,82,Colision con tendido electrico,2007-01-15,muerto
A,9026345,Ciconia ciconia,10,6,1999,Dehesa Boyal de Pilas,Aznalcazar,Sevilla,1,0,M.Vazquez,NA,NA,Anillamiento,1999-06-10,anillamiento
C,9026345,Ciconia ciconia,5,12,2005,Basurero Miramundo,Medina Sidonia,Cadiz,A,0,Particular,2370,48,Anilla leida telescopio,2005-12-05,muerto
A,G018537,Ciconia ciconia,30,5,1990,Jerez de la Frontera,Jerez de la Frontera,Cadiz,1,0,O. del Junco,NA,NA,Anillamiento,1990-05-30,anillamiento
C,G018537,Ciconia ciconia,15,5,1993,Basurero,Dos Hermanas,Sevilla,9,0,M.Vazquez,1081,71,Encontrado muerto,1993-05-15,muerto
A,6015685,Egretta garcetta,28,7,1986,Puebla del Rio,Puebla del Rio,Sevilla,1,0,Vilches,NA,NA,Anillamiento,1986-07-28,anillamiento
C,6015685,Egretta garcetta,9,6,1987,Pinzon,Utrera,Sevilla,3,0,Particular,NA,NA,Envenenada,1987-06-09,muerto
