MODO,METAL,ESPECIE,DIA,MES,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple
C,212403,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,4596,2362,Cazado con escopeta fecha carta,1989-12-15,muerto
A,215737,Anser anser,27,6,1981,"Guelper, Rathenow Postdam",Alemania,3,2,Extranjero,NA,NA,Anillamiento,1981-06-27,anillamiento
C,215737,Anser anser,15,12,1987,"Cantaritas, Puebla del Rio, Sevilla",España,A,0,M. Vazquez,2358,2237,Cazado con escopeta,1987-12-15,muerto
A,220744,Anser anser,28,8,1985,"Guelper, Rathenow Postdam",Alemania,6,2,Extranjero,NA,NA,Anillamiento,1985-08-28,anillamiento
C,220744,Anser anser,15,11,1988,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,1176,2231,Cazado con escopeta,1988-11-15,muerto
A,254997,Anser anser,21,6,1978,"Bosau, Schleswig, Holstein",Alemania,1,0,Extranjero,NA,NA,Anillamiento,1978-06-21,anillamiento
C,254997,Anser anser,10,11,1988,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,3789,2259,Cazado con escopeta,1988-11-10,muerto
A,292494,Anser anser,11,6,1960,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,0,Extranjero,NA,NA,Anillamiento,1960-06-11,anillamiento
C,292494,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,10769,2510,Cazado con escopeta fecha carta,1989-12-15,muerto
A,1801,Anser anser,23,6,1964,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,2,Extranjero,NA,NA,Anillamiento,1964-06-23,anillamiento
C,1801,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,9297,2510,Cazado con escopeta fecha carta,1989-12-15,muerto
A,2412,Anser anser,18,6,1971,"Kags Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,NA,NA,Anillamiento,1971-06-18,anillamiento
C,2412,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,6747,2508,Cazado con escopeta fecha carta,1989-12-15,muerto
A,2485,Anser anser,19,6,1972,"Utterslev Mose, Maribo, Falster Lolland",Dinamarca,2,2,Extranjero,NA,NA,Anillamiento,1972-06-19,anillamiento
C,2485,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,6381,2403,Cazado con escopeta fecha carta,1989-12-15,muerto
A,4392,Anser anser,14,6,1978,"Utterslev Mose, Maribo, Falster Lolland",Dinamarca,2,2,Extranjero,NA,NA,Anillamiento,1978-06-14,anillamiento
C,4392,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,4196,2389,Cazado con escopeta fecha carta,1989-12-15,muerto
A,4411,Anser anser,14,6,1978,"Utterslev Mose,  Seeland",Dinamarca,3,1,Extranjero,NA,NA,Anillamiento,1978-06-14,anillamiento
C,4411,Anser anser,15,12,1981,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,NA,NA,Cazado con escopeta fecha carta,1981-12-15,muerto
A,7083,Anser anser,17,6,1981,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,NA,NA,Anillamiento,1981-06-17,anillamiento
C,7083,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,2510,3098,Cazado con escopeta fecha carta,1989-12-15,muerto
A,7360,Anser anser,22,6,1984,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,6,2,Extranjero,NA,NA,Anillamiento,1984-06-22,anillamiento
C,7360,Anser anser,17,12,1989,"Cantaritas, Puebla del Rio, Sevilla",España,A,0,M. Vazquez,2000,2484,Cazado con escopeta,1989-12-17,muerto
A,7395,Anser anser,18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,NA,NA,Anillamiento,1985-06-18,anillamiento
C,7395,Anser anser,15,1,1988,"Almonte, Huelva",España,9,0,M. Vazquez,942,2499,Cazado con escopeta,1988-01-15,muerto
A,7409,Anser anser,18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,1,2,Extranjero,NA,NA,Anillamiento,1985-06-18,anillamiento
C,7409,Anser anser,15,1,1987,"Marisma de Hinojos, Hinojos, Huelva",España,7,0,M. Vazquez,577,2490,Cazado con escopeta,1987-01-15,muerto
A,7431,Anser anser,18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,6,1,Extranjero,NA,NA,Anillamiento,1985-06-18,anillamiento
C,7431,Anser anser,15,1,1988,"Almonte, Huelva",España,A,0,M. Vazquez,942,2499,Cazado con escopeta,1988-01-15,muerto
A,7490,Anser anser,19,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,3,1,Extranjero,NA,NA,Anillamiento,1985-06-19,anillamiento
C,7490,Anser anser,12,11,1989,"Cantaritas, Puebla del Rio, Sevilla",España,A,0,M. Vazquez,1603,2484,Cazado con escopeta,1989-11-12,muerto
A,7614,Anser anser,16,6,1983,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,NA,NA,Anillamiento,1983-06-16,anillamiento
C,7614,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,2369,2510,Cazado con escopeta fecha carta,1989-12-15,muerto
A,9396,Anser anser,24,6,1988,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,2,0,Extranjero,NA,NA,Anillamiento,1988-06-24,anillamiento
C,9396,Anser anser,15,12,1988,"Isla Mayor, Sevilla",España,2,0,M. Vazquez,200,2510,Cazado con escopeta,1988-12-15,muerto
A,9608,Anser anser,13,6,1989,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,NA,NA,Anillamiento,1989-06-13,anillamiento
C,9608,Anser anser,15,12,1989,"Los Morenos, Puebla del Rio, Sevilla",España,3,1,M. Vazquez,182,2479,Cazado con escopeta,1989-12-15,muerto
A,BA01439,Anser anser,14,6,1981,"Rez Slonsk , Gorzow Wielkopolski",Polonia,2,0,Extranjero,NA,NA,Anillamiento,1981-06-14,anillamiento
C,BA01439,Anser anser,8,12,1989,"Cantaritas, Puebla del Rio, Sevilla",España,A,0,M. Vazquez,3094,2352,Cazado con escopeta,1989-12-08,muerto
A,BA01699,Anser anser,20,6,1982,"Rez Slonsk , Gorzow Wielkopolski",Polonia,1,0,Extranjero,NA,NA,Anillamiento,1982-06-20,anillamiento
C,BA01699,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,2730,2365,Cazado con escopeta fecha carta,1989-12-15,muerto
A,BA01014,Anser anser,15,6,1979,"Rez Slonsk , Gorzow Wielkopolski",Polonia,5,1,Extranjero,NA,NA,Anillamiento,1979-06-15,anillamiento
C,BA01014,Anser anser,6,2,1980,"Aznalcazar, Sevilla",España,7,0,M. Vazquez,NA,2365,Cazado con escopeta,1980-02-06,muerto
A,9226992,Anser anser,29,6,1986,"Sverigen, M Skame, Malmohus",Suecia,6,1,Extranjero,NA,NA,Anillamiento,1986-06-29,anillamiento
C,9226992,Anser anser,15,1,1988,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,566,2498,Cazado con escopeta,1988-01-15,muerto
A,9232310,Anser anser,12,6,1988,"Borringesjon, Malmohus",Suecia,3,1,Extranjero,NA,NA,Anillamiento,1988-06-12,anillamiento
C,9232310,Anser anser,15,11,1988,"Cantaritas, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,153,2501,Cazado con escopeta,1988-11-15,muerto
A,9232322,Anser anser,12,6,1988,"Borringesjon, Malmohus",Suecia,3,2,Extranjero,NA,NA,Anillamiento,1988-06-12,anillamiento
C,9232322,Anser anser,15,11,1988,"Cantaritas, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,153,2501,Cazado con escopeta,1988-11-15,muerto
A,9233072,Anser anser,18,6,1989,"Sverigen, M Skame, Malmohus",Suecia,3,0,Extranjero,NA,NA,Anillamiento,1989-06-18,anillamiento
C,9233072,Anser anser,17,12,1989,"Sanlucar de Barrameda, Cadiz",España,3,0,M. Vazquez,NA,NA,Cazado con escopeta,1989-12-17,muerto
A,9803229,Anser anser,19,6,1970,"Sverigen, Gotland Rone, Ytterholme",Suecia,3,0,Extranjero,NA,NA,Anillamiento,1970-06-19,anillamiento
C,9803229,Anser anser,15,1,1981,"Aznalcazar, Sevilla",España,A,0,M. Vazquez,NA,NA,Cazado con escopeta,1981-01-15,muerto
A,9804702,Anser anser,17,7,1983,"Sverigen, D´Soder, Mohlland",Suecia,2,0,Extranjero,NA,NA,Anillamiento,1983-07-17,anillamiento
C,9804702,Anser anser,15,1,1987,"Marisma de Hinojos, Hinojos, Huelva",España,A,0,M. Vazquez,NA,NA,Cazado con escopeta,1987-01-15,muerto
A,XEA,Anser anser,4,6,1989,"Borringesjon, Malmohus",Suecia,1,0,Extranjero,NA,NA,Anillamiento,1989-06-04,anillamiento
C,XEA,Anser anser,15,12,1989,"Sanlucar de Barrameda, Cadiz",España,3,0,M. Vazquez,NA,NA,Cazado con escopeta,1989-12-15,muerto
A,CA38659,Ardea cinerea,6,5,1978,"Lac de Grand Lieu, Loire Atlantique",España,3,0,MMP et L Marion,NA,NA,Anillamiento,1978-05-06,anillamiento
C,CA38659,Ardea cinerea,1,2,1981,"Lucio del cangrejo, Aznalcazar, Sevilla",Francia,A,0,M. Vazquez,NA,NA,Cazado con escopeta,1981-02-01,muerto
A,B26502,Ardea cinerea,14,5,1988,"Branna, Jjndrichov Hradec, Ceske Budejovice",Checoslovaquia,1,0,M. Vazquez,NA,NA,Anillamiento,1988-05-14,anillamiento
C,B26502,Ardea cinerea,15,9,1988,"Lebrija, Sevilla",España,3,0,Extranjero,121,2157,Colision con tendido electrico,1988-09-15,muerto
A,231722,Ardea cinerea,22,5,1988,"Koerkwitz, Ribnitz, Damgarten Rostock",Alemania,1,0,M. Vazquez,NA,NA,Anillamiento,1988-05-22,anillamiento
C,231722,Ardea cinerea,30,9,1988,"Caño del Cherri, Aznalcar, Sevilla",España,3,0,Extranjero,NA,NA,Anillamiento,1988-09-30,anillamiento
A,M10463,Bubulcus ibis,25,5,1993,"Castro Marin, Algarve",Portugal,1,0,Extranjero,NA,NA,Anillamiento,1993-05-25,anillamiento
C,M10463,Bubulcus ibis,30,8,1993,"Coria del Rio, Sevilla",España,3,0,M. Vazquez,95,122,Cazado con escopeta,1993-08-30,muerto
A,2220036,Charadrius hiaticula,26,9,1988,"Lucio Poco abrigo, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,NA,NA,Anillamiento,1988-09-26,anillamiento
C,2220036,Charadrius hiaticula,27,7,1993,"Hable D´ Ault, Somme",Francia,A,0,Extranjero,1765,1554,Encontrado muerto,1993-07-27,muerto
A,M5758,Ciconia ciconia,2,6,2004,"Muizen, Antwerpen, Amberes",Belgica,1,0,Extranjero,NA,NA,Anillamiento,2004-06-02,anillamiento
C,M5758,Ciconia ciconia,15,8,2006,"Puerto Real, cadiz",España,7,0,M. Vazquez,804,1820,Colision con tendido electrico,2006-08-15,muerto
A,9015741,Ciconia ciconia,20,9,1994,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,NA,NA,Anillamiento,1994-09-20,anillamiento
C,9015741,Ciconia ciconia,20,5,2004,"Wahlwies,Sudbaden, Friburgo",Alemania,A,0,Vogelwarte Radolfzell,3530,1714,Anilla leida telescopio,2004-05-20,muerto
A,P9486,Ciconia ciconia,8,6,2004,"La Gripperie-Saint-Symphorien, Charente Maritime",Francia,1,0,Extranjero,NA,NA,Anillamiento,2004-06-08,anillamiento
C,P9486,Ciconia ciconia,15,1,2006,"Chiclana de la Frontera, Cadiz",España,7,0,M. Vazquez,586,1136,Colision con tendido electrico,2006-01-15,muerto
A,7300,Ciconia ciconia,16,6,2005,"Ommen, Varsen, Overijssel",Holanda,1,0,Extranjero,NA,NA,Anillamiento,2005-06-16,anillamiento
C,7300,Ciconia ciconia,15,1,2006,"Chiclana de la Frontera, Cadiz",España,3,0,M. Vazquez,213,2047,Colision con tendido electrico,2006-01-15,muerto
A,B694,Ciconia nigra,16,6,1997,"Ettelbruck, Luxemburgo",Belgica,1,0,Extranjero,NA,NA,Anillamiento,1997-06-16,anillamiento
C,B694,Ciconia nigra,20,9,1997,"Marchena, Sevilla",España,3,0,M. Vazquez,101,1666,Colision con tendido electrico,1997-09-20,muerto
A,4030553,Larus ridibundus,21,9,1990,"Puebla del Rio, Sevilla",España,4,0,M. Vazquez,NA,NA,Anillamiento,1990-09-21,anillamiento
C,4030553,Larus ridibundus,10,5,1994,"Craintilleux, Sury le Comtal, Loire",Francia,6,0,Extranjero,1327,1252,Anilla leida telescopio,1994-05-10,muerto
A,A01280,Miniopterus schreibersii,5,12,1987,"Loule, Algarve",Portugal,2,1,Extranjero,NA,NA,Anillamiento,1987-12-05,anillamiento
C,A01280,Miniopterus schreibersii,30,5,1994,"Brazo del Este, Los Palacios, Sevilla",España,2,0,M. Vazquez,2366,220,Anilla en egagropila,1994-05-30,muerto
A,WA02567,Phalacrocorax carbo,7,12,1989,"Rez Slonsk , Gorzow Wielkopolski",Polonia,2,0,Extranjero,NA,NA,Anillamiento,1989-12-07,anillamiento
C,WA02567,Phalacrocorax carbo,15,12,1994,"Puebla del Rio, Sevilla",España,2,0,M. Vazquez,1648,2365,Cazado con escopeta,1994-12-15,muerto
A,AZHP,Phoenicopterus ruber,9,8,1989,"Etang du Fangasier, Camargue",Francia,1,0,Extranjero,NA,NA,Anillamiento,1989-08-09,anillamiento
C,AZHP,Phoenicopterus ruber,5,10,1989,"Lucio Poco abrigo, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,NA,NA,Solo huesos y PVC,1989-10-05,muerto
A,AHT,Phoenicopterus ruber,20,7,1977,"Etang du Fangasier, Camargue",Francia,1,0,Tour de Valat,NA,NA,Anillamiento,1977-07-20,anillamiento
C,AHT,Phoenicopterus ruber,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,NA,NA,Cazado con escopeta fecha carta,1989-12-15,muerto
A,G20922,Platalea leucorodia,19,4,2000,"Bahia de Cadiz, Cadiz",España,1,0,EBD,NA,NA,Anillamiento,2000-04-19,anillamiento
C,G20922,Platalea leucorodia,13,1,2001,Kaedi,Mauritania,3,0,Particular,269,2366,Capturada en red de pesca y liberada,2001-01-13,control
A,8028567,Platalea leucorodia,24,5,1974,"Naar Dermeer, Noor Holland",Holanda,1,0,Extranjero,NA,NA,Anillamiento,1974-05-24,anillamiento
C,8028567,Platalea leucorodia,21,2,1976,"Puebla del Rio, Sevilla",España,7,0,Particular,417,NA,Muerta por botulismo,1976-02-21,muerto
A,F11033,Sula basana,10,6,1989,"Les Etacs, Aderney, Islasa del canal",Gran Bretaña,1,0,Extranjero,NA,NA,Anillamiento,1989-06-10,anillamiento
C,F11033,Sula basana,26,8,1989,"La Redondela, Lepe, Huelva",España,3,0,M. Vazquez,77,1439,Encontrado en la playa y liberado,1989-08-26,control
A,BJ80830,Anas platyrhynchos,25,7,1987,"Hollebley, Suffolr",Gran Bretaña,6,1,Extranjero,NA,NA,Anillamiento,1987-07-25,anillamiento
C,BJ80830,Anas platyrhynchos,22,10,1989,"Puebla del Rio, Sevilla",España,10,1,M. Vazquez,817,1786,Cazado con escopeta,1989-10-22,muerto
A,6004206,Anas strepera,14,7,1985,"Lucio Redondo PND, Aznalcazar, Sevilla",España,1,2,P. Rodriguez,NA,NA,Anillamiento,1985-07-14,anillamiento
C,6004206,Anas strepera,17,10,1986,"Baie Des Veys, Manche",Francia,5,0,Extranjero,458,1429,Cazado con escopeta,1986-10-17,muerto
A,E642,Anas strepera,24,6,1980,"Kolmenasva, Matsalu State Nature Reserva",Estonia,4,2,Extranjero,NA,NA,Anillamiento,1980-06-24,anillamiento
C,E642,Anas strepera,7,1,1981,"Sanlucar de Barrameda, Cadiz",España,6,2,Particular,NA,NA,Encontrado muerto,1981-01-07,muerto
A,6022917,Anas strepera,21,2,1991,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,3,2,P. Rodriguez,NA,NA,Anillamiento,1991-02-21,anillamiento
C,6022917,Anas strepera,28,2,1991,"Vic La Gardiole, Herault",Francia,3,2,Extranjero,7,1084,Cazado con escopeta,1991-02-28,muerto
A,FT82578,Anas crecca,17,10,1985,"Marquenterre, Somme",Francia,3,0,Extranjero,NA,NA,Anillamiento,1985-10-17,anillamiento
C,FT82578,Anas crecca,15,8,1986,"Lucio del Cangrejo, Aznalcazar, Sevilla",España,5,0,P. Rodriguez,303,1581,Encontrado muerto,1986-08-15,muerto
A,7006944,Anas acuta,2,12,1987,"La Fao, Aznalczar, Sevilla",España,4,1,P. Rodriguez,NA,NA,Anillamiento,1987-12-02,anillamiento
C,7006944,Anas acuta,4,1,1993,"Salenelles , Seine-Maritime",Francia,A,0,Extranjero,NA,NA,Cazado con escopeta,1993-01-04,muerto
A,7006946,Anas acuta,2,12,1987,"Aznalcazar, Sevilla",España,3,1,P. Rodriguez,NA,NA,Anillamiento,1987-12-02,anillamiento
C,7006946,Anas acuta,18,1,1989,"Etang de L´Or, Herault",Francia,7,0,Extranjero,416,1136,Cazado con escopeta,1989-01-18,muerto
A,5006669,Anas crecca,28,10,1986,"RB Doñana, Almonte, Huelva",España,3,1,P. Rodriguez,NA,NA,Anillamiento,1986-10-28,anillamiento
C,5006669,Anas crecca,3,5,1988,"BTW Ektrask and Stenbbchen, Vasterbotten",Suecia,7,0,Extranjero,NA,NA,Muerta por colision con vehiculo,1988-05-03,muerto
A,4048785,Anas clypeata,22,6,1970,"Groot Schermer, Noor-Holland",Holanda,1,0,Extranjero,NA,NA,Anillamiento,1970-06-22,anillamiento
C,4048785,Anas clypeata,18,6,2001,"Antequera, Malaga",España,A,0,M. Vazquez,11319,1879,Cazado con escopeta fecha carta,2001-06-18,muerto
A,6015852,Anas clypeata,15,10,1986,"RB Doñana, Almonte, Huelva",España,3,1,LEO BIAGGI,NA,NA,Anillamiento,1986-10-15,anillamiento
C,6015852,Anas clypeata,20,10,1987,"Bykhov, Mogilev",Rusia,5,0,Extranjero,370,3347,Cazado con escopeta,1987-10-20,muerto
A,6015863,Anas clypeata,10,15,1986,"RB Doñana, Almonte, Huelva",España,2,0,LEO BIAGGI,NA,NA,Anillamiento,NA,anillamiento
C,6015863,Anas clypeata,25,9,1987,"Oostvaa Dersdijk, Ijsselmeer Polders",Holanda,2,0,Extranjero,NA,NA,Encontrado muerto,1987-09-25,muerto
A,6017905,Anas clypeata,7,10,1987,"Aznalcazar, Sevilla",España,3,2,LEO BIAGGI,NA,NA,Anillamiento,1987-10-07,anillamiento
C,6017905,Anas clypeata,4,10,1989,"Donges, Loire Atlantique",Francia,7,0,Extranjero,727,1164,Cazado con escopeta,1989-10-04,muerto
A,5007759,Maramronetta angustirostris,2,10,1990,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,4,2,LEO BIAGGI,NA,NA,Anillamiento,1990-10-02,anillamiento
C,5007759,Maramronetta angustirostris,6,9,1992,Chalamont Ain,Francia,8,0,Extranjero,705,1343,Cazado con escopeta,1992-09-06,muerto
A,7009002,Aythya ferina,11,7,1985,"Lucio del Buen Tiro PND, Aznalcazar, Sevilla",España,1,0,LEO BIAGGI,NA,NA,Anillamiento,1985-07-11,anillamiento
C,7009002,Aythya ferina,1,5,1986,"Vologda O Kubenskoye, Vologda",Rusia,5,0,Extranjero,295,3627,Muerto trampa para otros animales,1986-05-01,muerto
A,7009045,Aythya ferina,14,7,1985,"Lucio del Rinconcillo PND, Almonte, Huelva",España,1,0,LEO BIAGGI,NA,NA,Anillamiento,1985-07-14,anillamiento
C,7009045,Aythya ferina,26,9,1986,"Lonnerup, Fjord, Jylland",Dinamarca,5,0,Extranjero,437,2482,Muerto trampa para otros animales,1986-09-26,muerto
A,7009058,Aythya ferina,26,7,1985,"Las Nuevas PND, Aznalcazar, Sevilla",España,1,1,LEO BIAGGI,NA,NA,Anillamiento,1985-07-26,anillamiento
C,7009058,Aythya ferina,30,9,1989,"Arthun, Loire",Francia,A,0,Extranjero,1524,1271,Encontrado muerto,1989-09-30,muerto
A,7009062,Aythya ferina,26,7,1985,"PN Doñana, Almonte, Huelva",España,3,1,LEO BIAGGI,NA,NA,Anillamiento,1985-07-26,anillamiento
C,7009062,Aythya ferina,9,10,1988,"El Kelaa, Dessaraghna",Marruecos,A,0,Extranjero,1168,535,Cazado con escopeta,1988-10-09,muerto
A,CA23796,Tadorna tadorna,2,7,1980,"Aigues Mortes, Gard",Francia,1,2,Extranjero,NA,NA,Anillamiento,1980-07-02,anillamiento
C,CA23796,Tadorna tadorna,15,12,1980,"Salinas de Bonanza,Sanlucar de Barrameda, Cadiz",España,3,0,Cazador,NA,NA,Cazado con escopeta,1980-12-15,muerto
A,CA24140,Tadorna tadorna,12,7,1980,"Salin de Giraud, Bouches du Rhone",Francia,1,0,Extranjero,NA,NA,Anillamiento,1980-07-12,anillamiento
C,CA24140,Tadorna tadorna,1,3,1981,"Salinas de Bonanza,Sanlucar de Barrameda, Cadiz",España,5,2,Cazador,NA,NA,Cazado con escopeta,1981-03-01,muerto
A,3141108,Accipiter nisus,9,10,1981,"Schiermonnikoog, Schiermonnikoog",Holanda,3,2,Extranjero,NA,NA,Anillamiento,1981-10-09,anillamiento
C,3141108,Accipiter nisus,15,10,2000,"Marismas del Odiel, Huelva",España,A,0,Zamalla,6946,2067,Encontrada solo anilla,2000-10-15,muerto
A,EA022390,Milvus milvus,7,6,1990,"Aspaach, Gotha Erfurt",Alemania,1,0,Extranjero,NA,NA,Anillamiento,1990-06-07,anillamiento
C,EA022390,Milvus milvus,10,1,1992,"La lantejuela, Sevilla",España,7,0,Zamalla,583,1968,Encontrado muerto,1992-01-10,muerto
