Anilla,NombreComun,NombreEspecie,Familia,Orden,Grupo,E,S,G,Ala,Peso,Dia,Mes,Año,Hora.C,Hora.F,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
231698,Cetti's Warbler,Cettia cetti,Scotocercidae (Bush Warblers and Allies),Passeriformes,Bush Warblers and Allies,4,1,1.0,,,20,4,1988,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-04-20,control
231665,Cetti's Warbler,Cettia cetti,Scotocercidae (Bush Warblers and Allies),Passeriformes,Bush Warblers and Allies,4,2,3.0,,,11,3,1988,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-11,control
309697,Cetti's Warbler,Cettia cetti,Scotocercidae (Bush Warblers and Allies),Passeriformes,Bush Warblers and Allies,4,1,3.0,63.0,13.0,3,11,1990,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-11-03,control
268253,Zitting Cisticola,Cisticola juncidis,Cisticolidae (Cisticolas and Allies),Passeriformes,Cisticolas and Allies,3,0,4.0,47.0,9.0,12,11,1988,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
268255,Zitting Cisticola,Cisticola juncidis,Cisticolidae (Cisticolas and Allies),Passeriformes,Cisticolas and Allies,3,0,4.0,46.0,7.5,12,11,1988,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
268287,Zitting Cisticola,Cisticola juncidis,Cisticolidae (Cisticolas and Allies),Passeriformes,Cisticolas and Allies,3,0,4.0,48.0,8.0,12,11,1988,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
271225,Zitting Cisticola,Cisticola juncidis,Cisticolidae (Cisticolas and Allies),Passeriformes,Cisticolas and Allies,3,0,4.0,50.0,8.5,12,11,1988,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
271403,Zitting Cisticola,Cisticola juncidis,Cisticolidae (Cisticolas and Allies),Passeriformes,Cisticolas and Allies,3,0,5.0,52.0,9.5,12,11,1988,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
271414,Zitting Cisticola,Cisticola juncidis,Cisticolidae (Cisticolas and Allies),Passeriformes,Cisticolas and Allies,3,0,4.0,50.0,8.0,12,11,1988,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
271428,Zitting Cisticola,Cisticola juncidis,Cisticolidae (Cisticolas and Allies),Passeriformes,Cisticolas and Allies,3,0,3.0,52.0,805.0,12,11,1988,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
271430,Zitting Cisticola,Cisticola juncidis,Cisticolidae (Cisticolas and Allies),Passeriformes,Cisticolas and Allies,3,0,4.0,48.0,8.0,12,11,1988,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
2223884,Woodchat Shrike,Lanius senator,Laniidae (Shrikes),Passeriformes,Shrikes,4,2,,,,20,7,1989,,,Valcaliente,Constantina,Sevilla,Manuel Vazquez,Ahogado en alberca,1989-07-20,control
191453,Common Reed Warbler,Acrocephalus scirpaceus,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,4,0,0.0,65.5,11.0,14,5,1988,7.0,9.0,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-14,control
309767,Common Reed Warbler,Acrocephalus scirpaceus,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,4,0,1.0,61.0,,15,8,1990,8.0,9.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-08-15,control
309906,Common Reed Warbler,Acrocephalus scirpaceus,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,2,0,1.0,,,22,7,1990,8.0,9.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-22,control
2168534,Great Reed Warbler,Acrocephalus arundinaceus,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,4,2,0.0,91.0,32.2,14,5,1988,7.0,8.0,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-14,control
2255177,Great Reed Warbler,Acrocephalus arundinaceus,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,4,1,0.0,95.0,,13,6,1990,9.0,10.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-06-13,control
2255195,Great Reed Warbler,Acrocephalus arundinaceus,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,4,2,1.0,,,22,7,1990,9.0,10.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-22,control
2255197,Great Reed Warbler,Acrocephalus arundinaceus,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,4,0,2.0,,,7,7,1990,19.0,20.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-07,control
2258410,Great Reed Warbler,Acrocephalus arundinaceus,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,4,2,1.0,,,22,7,1990,9.0,10.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-22,control
176742,Eastern Olivaceous Warbler,Iduna pallida,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,3,0,1.0,,,2,8,1987,6.0,7.0,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1987-08-02,control
176744,Eastern Olivaceous Warbler,Iduna pallida,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,4,2,0.0,,,2,8,1987,10.0,11.0,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1987-08-02,control
191481,Eastern Olivaceous Warbler,Iduna pallida,Acrocephalidae (Reed Warblers and Allies),Passeriformes,Reed Warblers and Allies,4,1,0.0,,,21,7,1988,8.0,9.0,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-07-21,control
2226034,Garden Warbler,Sylvia borin,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,2,0,3.0,,22.0,17,9,1990,12.0,13.0,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,,1990-09-17,control
2169107,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,6,1,3.0,,,1,1,1988,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-01,control
2169107,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,6,1,3.0,,,24,1,1988,,,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-24,control
2195584,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,2,0.0,,,30,1,1988,9.0,10.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-01-30,control
2195594,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,3,1,0.0,,,5,12,1987,10.0,11.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1987-12-05,control
2195601,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,1,1.0,,,30,1,1988,9.0,10.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-01-30,control
2220251,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,1,3.0,,,24,1,1988,16.0,17.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-24,control
271105,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,2,5.0,,,14,3,1989,16.0,17.0,La Estrella,Palomares del Rio,Sevilla,Manuel Vazquez,,1989-03-14,control
271120,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,1,1.0,,,4,3,1989,12.0,13.0,La Estrella,Palomares del Rio,Sevilla,Manuel Vazquez,,1989-03-04,control
2168425,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,3,1,1.0,,,20,12,1987,12.0,13.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1987-12-20,control
2168425,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,3,1,1.0,,,21,12,1987,17.0,18.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1987-12-21,control
2168425,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,3,1,2.0,,,25,12,1987,17.0,18.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1987-12-25,control
2168436,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,2,2.0,,,30,1,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-01-30,control
2168458,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,2,2.0,,,14,2,1988,9.0,10.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-02-14,control
2168459,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,2,3.0,,,14,2,1988,10.0,11.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-02-14,control
2168466,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,2,2.0,,,31,1,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-01-31,control
2168484,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,1,3.0,,,14,2,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-02-14,control
2169066,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,2,2,1.0,,,20,12,1987,10.0,11.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1987-12-20,control
2169066,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,2,2.0,,,21,2,1988,15.0,16.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-02-21,control
2169066,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,2,3.0,,,6,3,1988,14.0,15.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-03-06,control
2169068,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,2,2,2.0,,,1,1,1988,17.0,18.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-01,control
2169068,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,2,4.0,,,31,1,1988,17.0,18.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-31,control
2169101,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,3,1,2.0,,,1,1,1988,17.0,18.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-01,control
2169106,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,1,4.0,,,24,1,1988,17.0,18.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-24,control
2169114,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,1,3.0,,,21,2,1988,16.0,17.0,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-02-21,control
2169141,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,6,2,3.0,,,13,2,1988,18.0,19.0,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,,1988-02-13,control
2169143,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,1,4.0,,,13,2,1988,16.0,17.0,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,,1988-02-13,control
2169145,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,2,3.0,,,13,2,1988,18.0,19.0,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,,1988-02-13,control
2169147,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,2,3.0,,,13,2,1988,18.0,19.0,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,,1988-02-13,control
2169149,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,2,2.0,,,13,2,1988,18.0,19.0,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,,1988-02-13,control
2169783,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,2,0.0,,,30,1,1988,9.0,10.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-01-30,control
2169790,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,3,1,0.0,,,5,12,1987,10.0,11.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1987-12-05,control
2169792,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,6,1,2.0,,,30,1,1988,9.0,10.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-01-30,control
2169851,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,6,1,3.0,,,12,2,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-02-12,control
2169853,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,6,2,5.0,,,12,2,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-02-12,control
2220885,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,1,2.0,,,14,2,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-02-14,control
2255150,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,1,3.0,74.5,19.5,6,11,1990,16.0,17.0,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,,1990-11-06,control
2255263,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,2,3.0,70.0,,14,1,1990,19.0,20.0,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,,1990-01-14,control
2255272,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,1,3.0,,,24,3,1990,18.0,19.0,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,,1990-03-24,control
2286625,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,2,0.0,70.5,17.5,4,1,1990,12.0,13.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1990-01-04,control
2286627,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,2,1.0,75.0,19.5,4,1,1990,11.0,12.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1990-01-04,control
2286631,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,2,0.0,73.5,17.5,4,1,1990,9.0,10.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1990-01-04,control
2286634,Eurasian Blackcap,Sylvia atricapilla,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,2,1.0,71.5,19.5,4,1,1990,10.0,11.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1990-01-04,control
33854,Sardinian Warbler,Curruca melanocephala,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,6,1,0.0,,,30,1,1988,9.0,10.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-01-30,control
191314,Sardinian Warbler,Curruca melanocephala,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,6,1,2.0,,,12,2,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-02-12,control
191364,Sardinian Warbler,Curruca melanocephala,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,5,1,3.0,,,26,12,1988,12.0,13.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-12-26,control
268004,Sardinian Warbler,Curruca melanocephala,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,3,2,2.0,,,30,10,1988,11.0,12.0,Huerta La Libertad,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-10-30,control
309100,Sardinian Warbler,Curruca melanocephala,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,6,1,5.0,,,10,2,1990,18.0,19.0,Valcaliente,Constantina,Sevilla,Manuel Vazquez,,1990-02-10,control
309317,Sardinian Warbler,Curruca melanocephala,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,1,0.0,58.0,,29,7,1990,18.0,19.0,Cantera del Duende,El Rubio,Sevilla,Manuel Vazquez,,1990-07-29,control
309317,Sardinian Warbler,Curruca melanocephala,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Passeriformes,Sylviid Warblers,4,1,1.0,58.0,,9,9,1990,19.0,20.0,Cantera del Duende,El Rubio,Sevilla,Manuel Vazquez,,1990-09-09,control
4003522,Eurasian Magpie,Pica pica,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,,,,17,11,1992,,,El Acebuche,Almonte,Huelva,Hector Garrido,,1992-11-17,control
4003522,Eurasian Magpie,Pica pica,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,,,,19,10,1993,,,El Acebuche,Almonte,Huelva,Hector Garrido,,1993-10-19,control
2223884,Woodchat Shrike,Lanius senator,Laniidae (Shrikes),Passeriformes,Shrikes,2,0,,,,20,7,1989,,,Valcaliente,Constantina,Sevilla,Manuel Vazquez,Ahogado en alberca,1989-07-20,control
191310,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,1.0,56.0,,12,2,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-02-12,control
191317,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,4.0,54.0,,12,2,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-02-12,control
191348,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,3.0,,,19,1,1988,18.0,19.0,Vuelta Cojo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-01-19,control
191382,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,2.0,51.0,,11,3,1988,16.0,17.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-11,control
191395,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,4.0,54.0,,11,3,1988,18.0,19.0,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-11,control
191410,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,2.0,,,31,1,1988,17.0,18.0,Dehesa Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-31,control
191428,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,1.0,57.0,,13,2,1988,18.0,19.0,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,,1988-02-13,control
191430,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,1.0,57.0,,13,2,1988,18.0,19.0,Caño Real,Palomares del Rio,Sevilla,Manuel Vazquez,,1988-02-13,control
191617,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,3.0,,,31,8,1988,17.0,18.0,Dehesa Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-08-31,control
230369,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,4.0,56.0,7.0,26,12,1988,18.0,19.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-26,control
230369,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,1.0,55.0,,4,2,1989,19.0,20.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1989-02-04,control
230398,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,3,0,2.0,55.0,6.5,26,12,1988,18.0,19.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-26,control
231653,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,3.0,55.0,,11,3,1988,16.0,17.0,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-11,control
231699,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,2,0,2.0,59.0,6.5,26,12,1988,18.0,19.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-26,control
268014,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,2,0,5.0,,,30,10,1988,13.0,14.0,Huerta La Libertad,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-10-30,control
268196,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,2,0,1.0,,,3,2,1989,13.0,14.0,La Estrella,Palomares del Rio,Sevilla,Manuel Vazquez,,1989-02-03,control
271043,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,2,0,1.0,,,25,1,1989,19.0,20.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1989-01-25,control
271093,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,2,0,2.0,61.0,,29,12,1988,18.0,19.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-29,control
272343,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,3.0,54.0,,10,12,1989,19.0,20.0,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,,1989-12-10,control
272369,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,0.0,54.5,,2,1,1989,19.0,20.0,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,,1989-01-02,control
272377,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,3.0,53.5,,2,1,1989,19.0,20.0,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,,1989-01-02,control
309633,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,4.0,57.0,7.5,6,11,1990,17.0,18.0,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,,1990-11-06,control
309704,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,4,0,2.0,55.0,7.0,6,11,1990,17.0,18.0,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,,1990-11-06,control
403294,Common Chiffchaff,Phylloscopus collybita,Phylloscopidae (Leaf Warblers),Passeriformes,Leaf Warblers,2,0,2.0,,,16,12,1990,19.0,20.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-12-16,control
473006,European Robin,Erithacus rubecula,Muscicapidae (Old World Flycatchers),Passeriformes,Old World Flycatchers,5,0,,,,29,1,1992,,,La Algaida,Sanlucar de Barrameda,Cadiz,Particular,Cazada ,1992-01-29,muerto
2195591,European Robin,Erithacus rubecula,Muscicapidae (Old World Flycatchers),Passeriformes,Old World Flycatchers,4,0,2.0,,,5,12,1987,8.0,9.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1987-12-05,control
