Anilla,NombreComun,NombreEspecie,Familia,Orden,Grupo,E,S,G,Ala,Peso,Dia,Mes,Año,Hora.C,Hora.F,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
229912,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,0.0,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
229937,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,1.0,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
229949,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,1.0,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
229951,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
229952,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230008,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230011,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230016,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230018,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230020,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230021,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230024,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230039,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230041,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230044,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230045,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230047,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230054,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,31,3,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-31,control
230056,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
