MODO,METAL,ESPECIE,DIA,MES,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple,FECHA CONTROL 2,LOCALIDAD CONTROL 2,PAIS CONTROL 2,LONGITUDE CONTROL 1,LATITUDE CONTROL 1,LONGITUDE CONTROL 2,LATITUDE CONTROL 2,EDAD CONTROL 2,SEXO CONTROL 2,ANILLADOR CONTROL 2,Dias anotados,Kms anotados,Observaciones control 2,Observaciones simple control 2
A,L765176,Motacilla alba ,13,12,2002,"San Pablo, Sevilla",España,3,0,M. Vazquez,78,1973.5423525805675,Anillamiento,2002-12-13,anillamiento,2003-03-01,"Kampen, Drenthe",Holanda,-5.927562000000001,37.405368,6.5977995,52.8597173,2,0,Extranjero,78,1922,Colision contra cristales,muerto
A,L765437,Motacilla alba ,20,12,2002,"San Pablo, Sevilla",España,3,0,M. Vazquez,199,2057.215351376957,Anillamiento,2002-12-20,anillamiento,2003-07-07,"Westerstede Mansie, Weser Ems Excep Islas",Alemania,-5.927562000000001,37.405368,7.892896599999999,53.2249853,2,0,Extranjero,199,2057,Encontrado muerto,muerto
A,L768702,Motacilla alba ,13,2,2003,"San Pablo, Sevilla",España,5,0,M. Vazquez,106,1936.9521122740755,Anillamiento,2003-02-13,anillamiento,2003-05-30,"Burghausen, Oberbayern",Alemania,-5.927562000000001,37.405368,12.8310753,48.1725613,2,0,Extranjero,106,1936,Encontrado muerto anilla roja,muerto
A,L751801,Motacilla alba ,31,1,2003,"San Pablo, Sevilla",España,5,0,M. Vazquez,196,2170.2628791699567,Anillamiento,2003-01-31,anillamiento,2003-08-15,"Düssnitz, Sachsen Anhalt",Alemania,-5.927562000000001,37.405368,12.8782965,51.7302732,5,1,Extranjero,196,2171,Colision contra un coche anilla naranja,muerto
A,L751891,Motacilla alba ,31,1,2003,"San Pablo, Sevilla",España,5,0,M. Vazquez,864,2045.5728246821293,Anillamiento,2003-01-31,anillamiento,2005-06-13,"Seesen Harz, Braunschweig Inc Hildsh",Alemania,-5.927562000000001,37.405368,10.1798261,51.8914818,2,0,Extranjero,864,2045,Encontrado muerto anilla naranja,muerto
A,L797360,Motacilla alba ,21,11,2003,"San Pablo, Sevilla",España,3,0,M. Vazquez,504,2350.566162388353,Anillamiento,2003-11-21,anillamiento,2005-04-08,"Bovense Strand, Fyn",Dinamarca,-5.927562000000001,37.405368,10.0748042,55.5669881,4,1,Extranjero,504,2362,control anilla roja leido telescopio,muerto
C,L797360,Motacilla alba ,8,4,2005,"Bovense Strand, Fyn",Dinamarca,4,1,Extranjero,374,0,control anilla roja leido telescopio,2005-04-08,muerto,2006-04-17,"Bovense Strand, Fyn",Dinamarca,10.0748042,55.5669881,10.0748042,55.5669881,4,1,Extranjero,878,2362,control anilla roja leido telescopio,muerto
C,L797360,Motacilla alba ,17,4,2006,"Bovense Strand, Fyn",Dinamarca,4,1,Extranjero,89,0,control anilla roja leido telescopio,2006-04-17,muerto,2006-07-15,"Bovense Strand, Fyn",Dinamarca,10.0748042,55.5669881,10.0748042,55.5669881,4,1,Extranjero,967,2363,Capturada por un gato,muerto
A,L797597,Motacilla alba ,4,12,2003,"San Pablo, Sevilla",España,3,0,M. Vazquez,989,1790.0552656008535,Anillamiento,2003-12-04,anillamiento,2006-08-19,"Rheinbach Womersdorf, Köln",Alemania,-5.927562000000001,37.405368,6.989281099999999,50.606416,2,0,Extranjero,989,1792,Encontrado muerto anilla roja,muerto
A,L939258,Motacilla alba ,29,12,2003,"San Pablo, Sevilla",España,3,0,M. Vazquez,274,1768.6274765931007,Anillamiento,2003-12-29,anillamiento,2004-09-28,"Offstein, Rheinhessen Pfalz",Alemania,-5.927562000000001,37.405368,8.2374556,49.6060311,4,1,Extranjero,274,1768,control,control
C,L939258,Motacilla alba ,28,9,2004,"Offstein, Rheinhessen Pfalz",Alemania,4,1,Extranjero,195,420.6833202642609,control,2004-09-28,control,2005-04-11,"Kreischa, Dresden",Alemania,8.2374556,49.6060311,13.7589163,50.944347,4,1,Extranjero,469,2165,control,control
A,L939525,Motacilla alba ,12,1,2004,"San Pablo, Sevilla",España,5,2,M. Vazquez,203,1898.3498314251126,Anillamiento,2004-01-12,anillamiento,2004-08-02,"Münchhausen Sintshausen, Giessen",Alemania,-5.927562000000001,37.405368,8.707493099999999,50.9408718,2,0,Extranjero,203,1898,Encontrado muerto,muerto
