Anilla,NombreEspecie,E,S,G,Ala,Peso,Tarso,Dia,Mes,Año,Hora.C,Hora.F,Ancho.tarso,Cola,Pico,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
230018,Riparia riparia,4,2,NA,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230020,Riparia riparia,4,1,NA,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230021,Riparia riparia,4,0,NA,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230024,Riparia riparia,4,2,NA,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230039,Riparia riparia,4,1,NA,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230041,Riparia riparia,4,1,NA,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230044,Riparia riparia,4,2,NA,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230045,Riparia riparia,4,1,NA,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230047,Riparia riparia,4,2,NA,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230054,Riparia riparia,4,1,NA,NA,NA,NA,31,3,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-31,control
230056,Riparia riparia,4,0,NA,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230081,Riparia riparia,4,1,1,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230088,Riparia riparia,4,1,3,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230095,Riparia riparia,4,2,3,NA,NA,NA,15,5,1988,5,6,NA,NA,NA,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
188649,Hirundo rustica,6,2,3,121,20.5,NA,26,6,1988,11,12,NA,NA,NA,Cortijo La Atalaya,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-06-26,control
188865,Hirundo rustica,5,1,3,NA,NA,NA,12,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-12,control
188889,Hirundo rustica,5,1,3,NA,NA,NA,26,3,1988,16,17,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-26,control
191639,Hirundo rustica,4,2,3,NA,NA,NA,12,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-12,control
191642,Hirundo rustica,4,0,3,NA,NA,NA,5,3,1988,17,18,NA,107,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-05,control
191645,Hirundo rustica,4,2,4,NA,NA,NA,6,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191646,Hirundo rustica,4,0,3,NA,NA,NA,12,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-12,control
191646,Hirundo rustica,4,1,2,NA,NA,NA,19,3,1988,15,16,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-19,control
191657,Hirundo rustica,4,2,2,NA,NA,NA,6,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191657,Hirundo rustica,4,2,2,NA,NA,NA,12,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-12,control
191659,Hirundo rustica,4,2,4,NA,NA,NA,6,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191662,Hirundo rustica,4,2,4,NA,NA,NA,13,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-13,control
191662,Hirundo rustica,4,2,NA,NA,NA,NA,16,4,1988,NA,NA,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,Muerta en nido,1988-04-16,control
191664,Hirundo rustica,4,2,3,NA,NA,NA,6,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191664,Hirundo rustica,4,2,3,NA,NA,NA,2,4,1988,18,19,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-04-02,control
191648,Hirundo rustica,4,0,3,NA,NA,NA,5,3,1988,17,18,NA,103,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-05,control
191648,Hirundo rustica,4,0,3,NA,NA,NA,6,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191648,Hirundo rustica,4,0,4,NA,NA,NA,26,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-26,control
191665,Hirundo rustica,4,0,3,NA,NA,NA,6,3,1988,17,18,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191665,Hirundo rustica,4,0,3,NA,NA,NA,2,4,1988,18,19,NA,106,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-04-02,control
191666,Hirundo rustica,4,0,3,NA,NA,NA,6,3,1988,17,18,NA,84,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191679,Hirundo rustica,4,2,3,NA,NA,NA,19,3,1988,15,16,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-19,control
191682,Hirundo rustica,4,1,3,NA,NA,NA,19,3,1988,18,19,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-19,control
191683,Hirundo rustica,4,2,3,NA,NA,NA,19,3,1988,18,19,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-19,control
230680,Hirundo rustica,4,0,0,121,19.3,NA,26,6,1988,11,12,NA,NA,NA,Cortijo La Atalaya,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-06-26,control
2168411,Anthus pratensis,2,0,NA,NA,NA,NA,12,3,1988,NA,NA,NA,NA,NA,Fuentes,Puebla del Rio,Sevilla,Manuel Vazquez,Cazada por gavilan,1988-03-12,control
2168825,Anthus pratensis,4,0,4,NA,NA,NA,26,3,1989,19,20,NA,NA,NA,La Estrella,Palomares del Rio,Sevilla,Manuel Vazquez,,1989-03-26,control
2223679,Motacilla alba,5,2,3,88,22.5,NA,3,2,1989,18,19,NA,NA,NA,C/ Sanchez Arjona,Sevilla,Sevilla,Manuel Vazquez,,1989-02-03,control
7044881,Anas platyrhynchos,3,2,NA,NA,NA,NA,25,9,1999,NA,NA,NA,NA,NA,Laguna del Gobierno,La Lantejuela,Sevilla,Manuel Vazquez,Encontrado muerto,1999-09-25,muerto
7044864,Mivuls migrans,2,0,NA,NA,NA,NA,4,3,2000,NA,NA,NA,NA,NA,Los Montes,Puebla del Rio,Sevilla,Alfonso Romero,Encontrado solo anilla,2000-03-04,control
4003534,Falco naumanni,2,0,NA,NA,NA,NA,16,6,1991,NA,NA,NA,NA,NA,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-16,muerto
4003539,Falco naumanni,1,0,NA,NA,NA,NA,23,6,1991,NA,NA,NA,NA,NA,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-23,muerto
4003540,Falco naumanni,1,0,NA,NA,NA,NA,23,6,1991,NA,NA,NA,NA,NA,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-23,muerto
4003541,Falco naumanni,1,0,NA,NA,NA,NA,23,6,1991,NA,NA,NA,NA,NA,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-23,muerto
4003544,Falco naumanni,1,0,NA,NA,NA,NA,23,6,1991,NA,NA,NA,NA,NA,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-23,muerto
4003551,Falco naumanni,1,0,NA,NA,NA,NA,30,6,1991,NA,NA,NA,NA,NA,Villar de las Culebras,Osuna,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-30,muerto
5010269,Falco tinnunculus,1,0,NA,NA,NA,NA,21,7,1991,NA,NA,NA,NA,NA,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-07-21,muerto
7009760,Fulica atra,1,0,NA,NA,NA,NA,30,6,1990,NA,NA,NA,NA,NA,Laguna Escalera,El Rubio,Sevilla,Manuel Vazquez,Atropellado,1990-06-30,muerto
T027808,Cahradrius alexandrinus,4,0,NA,NA,NA,NA,1,10,2000,NA,NA,NA,NA,NA,Laguna del Gobierno,La Lantejuela,Sevilla,Manuel Vazquez,Encontrado muerto,2000-10-01,muerto
4003661,Coracias garrulus,1,0,NA,NA,NA,NA,13,7,1991,NA,NA,NA,NA,NA,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-07-13,muerto
7045436,Asio otus,1,0,NA,NA,NA,NA,25,7,2000,NA,NA,NA,NA,NA,Pino Dorado,Puebla del Rio,Sevilla,Alfonso Romero,Encontrado muerto,2000-07-25,muerto
