MODO,METAL,ESPECIE,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple,FECHA CONTROL 2,LUGAR CONTROL 2,MUNICIPIO CONTROL 2,PROVINCIA CONTROL 2,LONGITUDE CONTROL 1,LATITUDE CONTROL 1,LONGITUDE CONTROL 2,LATITUDE CONTROL 2,EDAD CONTROL 2,SEXO CONTROL 2,ANILLADOR CONTROL 2,Dias anotados,Kms anotados,Observaciones control 2,Observaciones simple control 2
A,7021546,Anas platyrhynchos,9,7,1988,Caño Cardales PND,Aznalcazar,Sevilla,1,0,A. Herrera,6144,451.2627921041097,Anillamiento,1988-07-09,anillamiento,2005-05-05,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,6144,24,Cazada escopeta solo anilla,muerto
A,7025600,Anas platyrhynchos,6,11,1987,La Fao PND,Aznalcazar,Sevilla,2,0,PND,6249,451.2627921041097,Anillamiento,1987-11-06,anillamiento,2004-12-15,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,6249,27,Cazada escopeta solo anilla,muerto
A,7040808,Anas platyrhynchos,29,7,1991,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,1,P.Rodriguez,109,412.3208271094924,Anillamiento,1991-07-29,anillamiento,1991-11-15,Aznalcazar,Aznalcazar,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,3,0,M.Vazquez,NA,NA,Cazada escopeta,muerto
A,7044832,Anas platyrhynchos,14,7,1999,RB Doñana,Almonte,Huelva,5,1,JL. Arroyo,1981,451.2627921041097,Anillamiento,1999-07-14,anillamiento,2004-12-15,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,1981,24,Cazada escopeta,muerto
A,7044879,Anas platyrhynchos,15,8,1999,Laguna del Gobierno,Lantejuela,Sevilla,4,2,M.Vazquez,19,368.0531177927046,Anillamiento,1999-08-15,anillamiento,1999-09-03,Brazo del Este,Puebla del Rio,Sevilla,-5.2227526,37.3544458,-3.74922,40.46366700000001,4,2,CREA,19,75,Encontrada enferma y liberada en buen estado,control
A,7045293,Anas platyrhynchos,22,7,1999,Veta La Palma,Puebla del Rio,Sevilla,5,1,JL. Arroyo,2114,451.2627921041097,Anillamiento,1999-07-22,anillamiento,2005-05-05,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,2114,26,Cazada escopeta solo anilla,muerto
A,7051751,Anas platyrhynchos,29,7,1998,El Acebuche,Almonte,Huelva,4,1,PND,2472,451.2627921041097,Anillamiento,1998-07-29,anillamiento,2005-05-05,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,2472,24,Cazada escopeta solo anilla,muerto
A,7056853,Anas platyrhynchos,31,10,1999,Veta La Palma,Puebla del Rio,Sevilla,4,1,I. Barroso,2054,451.2627921041097,Anillamiento,1999-10-31,anillamiento,2005-06-15,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,2054,26,Cazada escopeta solo anilla,muerto
A,7057927,Anas platyrhynchos,6,8,1999,Veta La Palma,Puebla del Rio,Sevilla,6,1,EBD,1197,407.4810089617044,Anillamiento,1999-08-06,anillamiento,2002-11-15,Bonanza,Sanlucar de Barrameda,Cadiz,-6.063133,37.2694065,-3.74922,40.46366700000001,A,0,M.Vazquez,1197,45,Cazada escopeta,muerto
A,7057985,Anas platyrhynchos,5,8,1999,Veta La Palma,Puebla del Rio,Sevilla,6,2,L. Garcia,1929,451.2627921041097,Anillamiento,1999-08-05,anillamiento,2004-11-15,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,1929,26,Cazada escopeta,muerto
A,7059054,Anas platyrhynchos,10,9,1999,PN Tablas de Daimiel,Daimiel,Ciudad Real,4,1,GO Alcazar,2464,357.1267996367759,Anillamiento,1999-09-10,anillamiento,2006-06-09,Alcolea del Rio,Alcolea del Rio,Sevilla,-5.6681456,37.6158112,-3.74922,40.46366700000001,A,0,M.Vazquez,2464,238,Cazada escopeta,muerto
A,7060401,Anas platyrhynchos,7,10,2002,Laguna del Gobierno,Lantejuela,Sevilla,4,1,M.Vazquez,100,377.48928274073285,Anillamiento,2002-10-07,anillamiento,2003-01-15,Marchena,Marchena,Sevilla,-5.4190568,37.3234383,-3.74922,40.46366700000001,6,1,Particular,100,12,Encontrado muerto,muerto
A,9045353,Ardea cinerea,23,5,2006,Zalamea La Real,Zalamea La Real,Huelva,1,0,R. Olivares,98,443.62531057213016,Anillamiento,2006-05-23,anillamiento,2006-08-29,Moguer,Moguer,Huelva,-6.8328566,37.2757215,-3.74922,40.46366700000001,3,0,M.Vazquez,98,50,Encontrado muerto,muerto
A,SE10612,Ardea purpurea,21,6,1968,Las Nuevas PND,Doñana,Huelva,1,0,M.Vazquez,7847,407.23149893346783,Anillamiento,1968-06-21,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.0605394,37.2708326,-3.74922,40.46366700000001,A,0,Particular,NA,NA,Cazada escopeta solo anilla,muerto
A,6067827,Bubulcus ibis,2,7,1993,Casa Torres,Zorita,Caceres,1,0,Catedra de Vertebrados,2054,211.95868891368517,Anillamiento,1993-07-02,anillamiento,1999-02-15,Moralejo,Estepa,Sevilla,-5.6997136,39.28636849999999,-3.74922,40.46366700000001,A,0,M.Vazquez,2054,233,Encontrado muerto,muerto
A,F10080,Bubulcus ibis,20,6,1974,Campanario,Campanario,Badajoz,1,0,Museo Ciencias,7135,374.76270570333105,Anillamiento,1974-06-20,anillamiento,1994-01-01,Aracena,Aracena,Huelva,-6.561888400000001,37.8935487,-3.74922,40.46366700000001,A,0,Cazador,7129,135,Cazada escopeta solo anilla,muerto
A,9025091,Ciconia ciconia,21,7,2006,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0,P.Rodriguez,117,407.4810089617044,Anillamiento,2006-07-21,anillamiento,2006-11-15,Chiclana de la Frontera,Chiclana de la Frontera,Cadiz,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,EBD,187,82,Colision con tendido electrico,muerto
A,9026345,Ciconia ciconia,10,6,1999,Dehesa Boyal de Pilas,Aznalcazar,Sevilla,1,0,M.Vazquez,2370,483.196833388051,Anillamiento,1999-06-10,anillamiento,2005-12-05,Basurero Miramundo,Medina Sidonia,Cadiz,-5.9292131,36.4619644,-3.74922,40.46366700000001,A,0,Particular,2370,48,Anilla leida telescopio,muerto
A,G018537,Ciconia ciconia,30,5,1990,Jerez de la Frontera,Jerez de la Frontera,Cadiz,1,0,O. del Junco,1081,399.99018458942,Anillamiento,1990-05-30,anillamiento,1993-05-15,Basurero,Dos Hermanas,Sevilla,-5.924239099999999,37.2865803,-3.74922,40.46366700000001,9,0,M.Vazquez,1081,71,Encontrado muerto,muerto
A,6015685,Egretta garcetta,28,7,1986,Puebla del Rio,Puebla del Rio,Sevilla,1,0,Vilches,316,407.4810089617044,Anillamiento,1986-07-28,anillamiento,1987-06-09,Pinzon,Utrera,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,Particular,NA,NA,Envenenada,muerto
A,6022851,Egretta garcetta,3,10,1990,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0,P.Rodriguez,800,313.92309260253654,Anillamiento,1990-10-03,anillamiento,1992-12-11,Almodovar del Rio,Almodovar del Rio,Cordoba,-5.014567,37.8131513,-3.74922,40.46366700000001,2,0,Particular,800,110,Encontrado muerto,muerto
A,6040616,Egretta garcetta,17,7,1988,Corta de la Isleta,Puebla del Rio,Sevilla,1,0,Catedra de Vertebrados,108,407.4810089617044,Anillamiento,1988-07-17,anillamiento,1988-11-02,Lebrija,Lebrija,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M.Vazquez,105,40,Cazada escopeta,muerto
A,6050205,Egretta garcetta,7,7,1989,Corta de la Isleta,Puebla del Rio,Sevilla,1,0,Catedra de Vertebrados,161,407.4810089617044,Anillamiento,1989-07-07,anillamiento,1989-12-15,Lebrija,Lebrija,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M.Vazquez,158,49,Cazada escopeta,muerto
A,DE08298,Egretta garcetta,22,7,1971,La Rocina PND,El Rocio,Huelva,1,0,EBD,6707,407.4810089617044,Anillamiento,1971-07-22,anillamiento,1989-12-01,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,A,0,M.Vazquez,NA,NA,Cazada escopeta solo anilla,muerto
A,5080412,Falco tinnunculus,6,2,2004,La Fao PND,Aznalcazar,Sevilla,5,1,JL del Valle,1082,412.3208271094924,Anillamiento,2004-02-06,anillamiento,2007-01-23,Caracoles,Aznalcazar,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,6,2,M.Vazquez,1082,2,control,control
A,5080459,Falco tinnunculus,20,12,2004,La Fao PND,Aznalcazar,Sevilla,5,1,JL del Valle,764,412.3208271094924,Anillamiento,2004-12-20,anillamiento,2007-01-23,Caracoles,Aznalcazar,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,6,1,M.Vazquez,764,2,control,control
A,1006016,Phoenicopterus ruber,15,8,1998,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1,0,EBD,1583,480.83238776035546,Anillamiento,1998-08-15,anillamiento,2002-12-15,El Puerto de Santa Maria,El Puerto de Santa Maria,Cadiz,-6.2327108,36.5956925,-3.74922,40.46366700000001,A,0,EBD,1583,142,Colision con tendido electrico,muerto
A,9001910,Phoenicopterus ruber,17,6,1987,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,28,379.31840386480457,Anillamiento,1987-06-17,anillamiento,1987-07-15,Las Nuevas PND,Doñana,Huelva,-4.7309865,37.1341608,-3.74922,40.46366700000001,3,0,Particular,NA,NA,Cazada escopeta,muerto
A,9002447,Phoenicopterus ruber,17,6,1987,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1,0,EBD,4916,468.2448607232554,Anillamiento,1987-06-17,anillamiento,2000-12-01,Bonanza,Sanlucar de Barrameda,Cadiz,-6.3529689,36.7725774,-3.74922,40.46366700000001,A,0,M.Vazquez,4916,147,Cazada escopeta,muerto
A,9002767,Phoenicopterus ruber,25,6,1986,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,1269,379.31840386480457,Anillamiento,1986-06-25,anillamiento,1989-12-15,Isla Mayor,Isla Mayor,Sevilla,-4.7309865,37.1341608,-3.74922,40.46366700000001,9,0,M. Vazquez,NA,NA,Cazada escopeta,muerto
A,9006385,Phoenicopterus ruber,21,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,86,407.4810089617044,Anillamiento,1988-08-21,anillamiento,1988-11-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M. Vazquez,84,118,Encontrado muerto,muerto
A,9006672,Phoenicopterus ruber,23,8,1988,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1,0,EBD,920,485.32721965074586,Anillamiento,1988-08-23,anillamiento,1991-03-01,Puerto Real,Puerto Real,Cadiz,-6.1831947,36.5316485,-3.74922,40.46366700000001,9,0,M.Vazquez,NA,142,Encontrado muerto,muerto
A,9006894,Phoenicopterus ruber,23,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,164,407.4810089617044,Anillamiento,1988-08-23,anillamiento,1989-02-03,Casudi,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M. Vazquez,NA,NA,Cazada escopeta,muerto
A,9007111,Phoenicopterus ruber,21,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,37,379.31840386480457,Anillamiento,1988-08-21,anillamiento,1988-09-27,Dos Hermanas,Dos Hermanas,Sevilla,-4.7309865,37.1341608,-3.74922,40.46366700000001,3,0,M. Vazquez,NA,NA,Cazada escopeta,muerto
A,9010216,Phoenicopterus ruber,18,8,1990,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,150,407.4810089617044,Anillamiento,1990-08-18,anillamiento,1991-01-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M. Vazquez,NA,NA,Encontrado muerto,muerto
A,9011751,Phoenicopterus ruber,20,7,1991,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,15,407.4810089617044,Anillamiento,1991-07-20,anillamiento,1991-08-04,Cañada de los Pajaros,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M. Vazquez,NA,NA,Encontrado muerto,muerto
A,G02003,Phoenicopterus ruber,28,9,1984,Lucio del Buen Tiro PND,Aznalcazar,Sevilla,1,0,EBD,5923,450.656040995016,Anillamiento,1984-09-28,anillamiento,2000-12-16,Marismas del Odiel,Huelva,Huelva,-6.9427327,37.2619585,-3.74922,40.46366700000001,A,0,Particular,5923,57,Encontrado muerto,muerto
A,C04646,Platalea leucorodia,23,5,1970,Martinazo PND,Almonte,Huelva,1,0,PV. Belman,7132,407.4810089617044,Anillamiento,1970-05-23,anillamiento,1989-12-01,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,A,0,Particular,NA,NA,Cazada escopeta solo anilla,muerto
A,F01078,Platalea leucorodia,13,6,1966,Martinazo PND,Almonte,Huelva,1,0,EBD,8572,407.4810089617044,Anillamiento,1966-06-13,anillamiento,1989-12-01,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,A,0,Particular,NA,NA,Cazada escopeta solo anilla,muerto
A,F01465,Platalea leucorodia,11,6,1968,Martinazo PND,Almonte,Huelva,1,0,E. Mackrill,7843,407.4810089617044,Anillamiento,1968-06-11,anillamiento,1989-12-01,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,A,0,Particular,NA,NA,Cazada escopeta solo anilla,muerto
A,F01764,Platalea leucorodia,17,6,1969,La Aulaga PND,Almonte,Huelva,,NA,EBD,7472,407.4810089617044,Anillamiento,1969-06-17,anillamiento,1989-12-01,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,A,0,Particular,NA,NA,Cazada escopeta solo anilla,muerto
A,G04345,Platalea leucorodia,8,4,1983,Marismas del Odiel,Huelva,Huelva,1,0,L. Garcia,2429,408.52367445663197,Anillamiento,1983-04-08,anillamiento,1989-12-01,Puebla del Rio,Puebla del Rio,Sevilla,-6.0702956,37.261833,-3.74922,40.46366700000001,A,0,Particular,NA,NA,Cazada escopeta solo anilla,muerto
A,G06032,Platalea leucorodia,8,4,1983,Marismas del Odiel,Huelva,Huelva,1,0,L. Garcia,2429,408.52367445663197,Anillamiento,1983-04-08,anillamiento,1989-12-01,Puebla del Rio,Puebla del Rio,Sevilla,-6.0702956,37.261833,-3.74922,40.46366700000001,A,0,Particular,NA,NA,Cazada escopeta solo anilla,muerto
A,G08673,Platalea leucorodia,22,4,1987,Marismas del Odiel,Huelva,Huelva,1,0,EBD,181,445.70266583921716,Anillamiento,1987-04-22,anillamiento,1987-10-20,Las Nuevas PND,Doñana,Huelva,-6.4344467,37.0427289,-3.74922,40.46366700000001,3,0,Particular,NA,NA,Ala rota,control
A,G08904,Platalea leucorodia,8,4,1987,Marismas del Odiel,Huelva,Huelva,1,0,EBD,80,445.70266583921716,Anillamiento,1987-04-08,anillamiento,1987-06-27,Las Nuevas PND,Doñana,Huelva,-6.4344467,37.0427289,-3.74922,40.46366700000001,3,0,Particular,NA,NA,Cazada escopeta,muerto
A,G23028,Platalea leucorodia,26,5,1998,Ayamonte,Ayamonte,Huelva,1,0,L. Garcia,67,480.36358148262417,Anillamiento,1998-05-26,anillamiento,1998-08-01,Laguna de los Tollos,El Cuervo,Sevilla,-7.4043413,37.2141237,-3.74922,40.46366700000001,3,0,JA. Cabral,68,125,Encontrado muerto,muerto
A,7062761,Plegadis falcinellus,23,5,2003,La Fao PND,Aznalcazar,Sevilla,1,0,L. Garcia,572,412.3208271094924,Anillamiento,2003-05-23,anillamiento,2004-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,3,0,M.Vazquez,572,24,Cazada escopeta,muerto
A,5096911,Tachibaptus ruficollis,11,8,2005,Veta La Palma,Puebla del Rio,Sevilla,3,0,JL. Valle,383,443.9341897129595,Anillamiento,2005-08-11,anillamiento,2006-08-29,Moguer,Moguer,Huelva,-6.8369079,37.27464,-3.74922,40.46366700000001,5,0,M.Vazquez,383,59,Encontrado muerto,muerto
A,6004230,Tachibaptus ruficollis,20,8,1985,Lucio del Buen Tiro PND,Doñana,Sevilla,1,0,P.Rodriguez,612,412.4398062948355,Anillamiento,1985-08-20,anillamiento,1987-04-24,Aznalcazar,Aznalcazar,Sevilla,-6.2477539,37.3026045,-3.74922,40.46366700000001,2,0,Cazador,614,31,Cazada escopeta,muerto
A,G3349,Tachibaptus ruficollis,30,7,1968,Lucio Marilopez PND,Aznalcazar,Sevilla,1,0,P.Rodriguez,7808,412.3208271094924,Anillamiento,1968-07-30,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,A,0,Cazador,NA,25,Cazada escopeta solo anilla,muerto
A,D05757,Anas platyrhynchos,1,5,1965,RB Doñana,Almonte,Huelva,4,1,EBD,8994,407.4810089617044,Anillamiento,1965-05-01,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,muerto
A,E22973,Anas platyrhynchos,10,7,1984,Caño Guadiamar PND,Almonte,Huelva,1,0,A. Herrera,1128,407.4810089617044,Anillamiento,1984-07-10,anillamiento,1987-08-12,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,9,0,Cazador,NA,NA,Cazada escopeta,muerto
A,DE09420,Anas platyrhynchos,26,7,1971,Aznalcazar,Aznalcazar,Sevilla,1,2,P. Clarita,6717,412.3208271094924,Anillamiento,1971-07-26,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,muerto
A,DE12562,Anas platyrhynchos,16,7,1975,Veladero PND,Aznalcazar,Sevilla,1,0,M. Espinar,5266,412.3208271094924,Anillamiento,1975-07-16,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,muerto
A,DE20516,Anas platyrhynchos,26,6,1975,Veladero PND,Aznalcazar,Sevilla,1,1,P. Clarita,2334,412.3208271094924,Anillamiento,1975-06-26,anillamiento,1981-11-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,A,0,Cazador,NA,NA,Cazada escopeta,muerto
A,DE25614,Anas platyrhynchos,2,6,1978,Lucio de Marilopez PND,Aznalcazar,Sevilla,1,1,P. Clarita,4214,412.3208271094924,Anillamiento,1978-06-02,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,muerto
A,DE29206,Anas platyrhynchos,30,6,1978,Lucio de Marilopez PND,Aznalcazar,Sevilla,4,2,P. Clarita,4186,412.3208271094924,Anillamiento,1978-06-30,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,muerto
A,H18319,Anas platyrhynchos,25,6,1972,Lucio Redondo PND,Aznalcazar,Sevilla,1,1,A. Sanchez,6382,412.3208271094924,Anillamiento,1972-06-25,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,muerto
A,H18865,Anas platyrhynchos,6,7,1972,Caño Travieso PND,Aznalcazar,Sevilla,4,1,M. Espinar,6371,412.3208271094924,Anillamiento,1972-07-06,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,muerto
A,H18754,Anas platyrhynchos,27,6,1972,Caño Travieso PND,Aznalcazar,Sevilla,1,2,M. Espinar,6380,412.3208271094924,Anillamiento,1972-06-27,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,muerto
A,7004906,Anas platyrhynchos,3,6,1986,Lucio del Molino PND,Aznalcazar,Sevilla,1,2,A. Herrera,438,412.3208271094924,Anillamiento,1986-06-03,anillamiento,1987-08-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,5,2,Cazador,NA,NA,Cazada escopeta,muerto
A,7013573,Anas platyrhynchos,7,7,1986,Las Nuevas PND,Aznalcazar,Sevilla,2,0,PND,108,412.3208271094924,Anillamiento,1986-07-07,anillamiento,1986-10-23,Cantaritas,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,2,0,FG. Vilches,NA,NA,Encontrado muerto,muerto
A,7014321,Anas platyrhynchos,25,6,1987,Caño Cardales PND,Aznalcazar,Sevilla,1,1,I. Fernandez,10,412.3208271094924,Anillamiento,1987-06-25,anillamiento,1987-07-05,Lucio del Cangrejo PND,Aznalcazar,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,3,1,M. Vazquez,NA,NA,Encontrado muerto,muerto
A,7015686,Anas platyrhynchos,6,6,1986,Lucio de la Piedra PND,Aznalcazar,Sevilla,4,2,A. Herrera,893,412.3208271094924,Anillamiento,1986-06-06,anillamiento,1988-11-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,8,2,M. Vazquez,NA,NA,Cazada escopeta,muerto
A,7015752,Anas platyrhynchos,12,6,1986,Caño Travieso PND,Aznalcazar,Sevilla,4,1,A. Herrera,887,412.3208271094924,Anillamiento,1986-06-12,anillamiento,1988-11-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,8,2,M. Vazquez,NA,NA,Cazada escopeta,muerto
A,7016118,Anas platyrhynchos,8,6,1987,Lucio del Rey PND,Aznalcazar,Sevilla,1,0,A. Herrera,526,412.3208271094924,Anillamiento,1987-06-08,anillamiento,1988-11-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495424999999996,37.3047112,-3.74922,40.46366700000001,5,0,M. Vazquez,NA,NA,Cazada escopeta,muerto
