MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple,FECHA CONTROL 2,LUGAR CONTROL 2,MUNICIPIO CONTROL 2,PROVINCIA CONTROL 2,LONGITUDE CONTROL 1,LATITUDE CONTROL 1,LONGITUDE CONTROL 2,LATITUDE CONTROL 2,EDAD CONTROL 2,SEXO CONTROL 2,ANILLADOR CONTROL 2,Dias anotados,Kms anotados,Observaciones control 2,Observaciones simple control 2
A,7044832,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,14,7,1999,RB Doñana,Almonte,Huelva,5.0,1.0,JL. Arroyo,1981,451.2627921041097,Anillamiento,1999-07-14,anillamiento,2004-12-15,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,1981.0,24.0,Cazada escopeta,muerto
A,7044879,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,8,1999,Laguna del Gobierno,Lantejuela,Sevilla,4.0,2.0,M.Vazquez,19,368.0531177927046,Anillamiento,1999-08-15,anillamiento,1999-09-03,Brazo del Este,Puebla del Rio,Sevilla,-5.2227526,37.3544458,-3.74922,40.46366700000001,4,2,CREA,19.0,75.0,Encontrada enferma y liberada en buen estado,control
A,7045293,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,22,7,1999,Veta La Palma,Puebla del Rio,Sevilla,5.0,1.0,JL. Arroyo,2114,451.2627921041097,Anillamiento,1999-07-22,anillamiento,2005-05-05,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,2114.0,26.0,Cazada escopeta solo anilla,muerto
A,7051751,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,29,7,1998,El Acebuche,Almonte,Huelva,4.0,1.0,PND,2472,451.2627921041097,Anillamiento,1998-07-29,anillamiento,2005-05-05,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,2472.0,24.0,Cazada escopeta solo anilla,muerto
A,7056853,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,31,10,1999,Veta La Palma,Puebla del Rio,Sevilla,4.0,1.0,I. Barroso,2054,451.2627921041097,Anillamiento,1999-10-31,anillamiento,2005-06-15,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,2054.0,26.0,Cazada escopeta solo anilla,muerto
A,7057927,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,6,8,1999,Veta La Palma,Puebla del Rio,Sevilla,6.0,1.0,EBD,1197,407.4810089617044,Anillamiento,1999-08-06,anillamiento,2002-11-15,Bonanza,Sanlucar de Barrameda,Cadiz,-6.063133,37.2694065,-3.74922,40.46366700000001,A,0,M.Vazquez,1197.0,45.0,Cazada escopeta,muerto
A,7057985,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,5,8,1999,Veta La Palma,Puebla del Rio,Sevilla,6.0,2.0,L. Garcia,1929,451.2627921041097,Anillamiento,1999-08-05,anillamiento,2004-11-15,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,1929.0,26.0,Cazada escopeta,muerto
A,7059054,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,10,9,1999,PN Tablas de Daimiel,Daimiel,Ciudad Real,4.0,1.0,GO Alcazar,2464,357.1267996367759,Anillamiento,1999-09-10,anillamiento,2006-06-09,Alcolea del Rio,Alcolea del Rio,Sevilla,-5.6681456,37.6158112,-3.74922,40.46366700000001,A,0,M.Vazquez,2464.0,238.0,Cazada escopeta,muerto
A,7060401,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,7,10,2002,Laguna del Gobierno,Lantejuela,Sevilla,4.0,1.0,M.Vazquez,100,377.4892827407329,Anillamiento,2002-10-07,anillamiento,2003-01-15,Marchena,Marchena,Sevilla,-5.4190568,37.3234383,-3.74922,40.46366700000001,6,1,Particular,100.0,12.0,Encontrado muerto,muerto
A,9045353,Gray Heron,Ardea cinerea,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",23,5,2006,Zalamea La Real,Zalamea La Real,Huelva,1.0,0.0,R. Olivares,98,443.62531057213016,Anillamiento,2006-05-23,anillamiento,2006-08-29,Moguer,Moguer,Huelva,-6.8328566,37.2757215,-3.74922,40.46366700000001,3,0,M.Vazquez,98.0,50.0,Encontrado muerto,muerto
